DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
1 Smith 4230037 0 191 950 19 0 0
1 Smith 4230038 0 400 823 34 0 0
1 Smith 4230039 0 130 121 7 0 0
1 Smith 4230040 0 447 2581 45 0 0
1 Smith 4230041 0 313 1813 35 0 0
1 Smith 4230042 0 401 1964 44 0 0
1 Smith 4230043 0 187 383 29 0 0
1 Smith 4230044 0 736 1179 35 0 0
1 Smith 4230045 0 80 707 4 0 0
1 Smith 4230046 0 167 406 5 0 0
1 Smith 4230047 0 60 142 2 0 0
1 Smith 4230048 0 82 123 6 0 0
1 Smith 4230049 0 70 41 2 0 0
1 Smith 4230050 0 351 1111 44 0 0
1 Smith 4230052 0 187 1025 13 0 0
1 Smith 4230054 0 510 1335 39 0 0
1 Smith 4230055 0 847 1668 45 0 0
1 Smith 4230056 0 498 1494 52 0 0
1 Smith 4230058 0 411 1512 38 0 0
1 Smith 4230059 0 459 1598 39 0 0
1 Smith 4230060 0 146 91 2 0 0
1 Smith 4230061 0 479 600 33 0 0
1 Smith 4230063 0 29 7 0 0 0
1 Smith 4230064 0 37 48 0 0 0
1 Smith 4230065 0 36 35 1 0 0
1 Smith 4230066 0 148 173 2 0 0
1 Smith 4230070 0 107 178 10 0 0
1 Smith 4230071 0 474 1976 40 0 0
1 Smith 4230072 0 42 73 0 0 0
1 Smith 4230073 0 142 160 5 0 0
1 Smith 4230074 0 32 161 7 0 0
1 Smith 4230075 0 247 1679 20 0 0
1 Smith 4230076 0 174 67 2 0 0
1 Smith 4230077 0 90 119 8 0 0
1 Smith 4230078 0 17 73 4 0 0
1 Smith 4230079 0 409 1598 43 0 0
1 Smith 4230080 0 3 9 0 0 0
1 Smith 4230081 0 84 42 1 0 0
1 Smith 4230082 0 11 9 0 0 0
1 Upshur 4590009 0 180 792 14 0 0
1 Upshur 4590010 0 126 1108 20 0 0
1 Upshur 4590011 0 75 270 7 0 0
1 Upshur 4590017 0 286 839 15 0 0
1 Upshur 4590018 0 86 189 4 0 0
1 Upshur 4590019A 0 1 4 0 0 0
1 Upshur 4590019B 0 0 0 0 0 0
1 Wood 49902-1 0 18 212 6 0 0
1 Wood 49903-1 0 94 573 6 0 0
1 Wood 49903-2 0 289 1723 13 0 0
1 Wood 49903-3 0 349 1425 21 0 0
1 Wood 49904-1 0 51 408 2 0 0
1 Wood 49904-2 0 185 1185 16 0 0
2 Harris 2010032 0 1329 538 43 15 0
2 Harris 2010033 0 1884 707 35 23 0
2 Harris 2010034 0 1716 359 37 14 0
2 Harris 2010037 0 1384 510 17 17 0
2 Harris 2010038 0 1623 597 21 22 0
2 Harris 2010039 0 1805 464 23 14 0
2 Harris 2010040 0 245 150 2 3 0
2 Harris 2010041 0 360 236 5 2 0
2 Harris 2010043 0 627 414 10 9 0
2 Harris 2010052 0 1135 612 17 19 0
2 Harris 2010054 0 729 486 20 9 0
2 Harris 2010056 0 425 507 13 8 0
2 Harris 2010058 0 1442 832 35 18 0
2 Harris 2010060 0 1647 406 24 18 0
2 Harris 2010070 0 1388 1371 29 14 0
2 Harris 2010071 0 2199 1528 63 35 0
2 Harris 2010082 0 621 1377 22 12 0
2 Harris 2010098 0 291 1436 17 7 0
2 Harris 2010108 0 773 729 12 9 0
2 Harris 2010110 0 888 1014 16 9 0
2 Harris 2010112 0 689 1092 22 12 0
2 Harris 2010113 0 773 730 15 8 0
2 Harris 2010117 0 551 266 7 8 0
2 Harris 2010120 0 1064 1222 33 23 0
2 Harris 2010123 0 779 182 14 15 0
2 Harris 2010125 0 647 662 14 6 0
2 Harris 2010148 0 1354 551 8 6 0
2 Harris 2010155 0 1074 1564 16 17 0
2 Harris 2010165 0 668 806 15 12 0
2 Harris 2010179A 0 601 435 12 15 0
2 Harris 2010179B 0 0 0 0 0 0
2 Harris 2010199 0 597 1718 21 26 0
2 Harris 2010200 0 1640 1029 32 30 0
2 Harris 2010204 0 1278 1143 28 24 0
2 Harris 2010222 0 1353 762 14 5 0
2 Harris 2010224 0 1071 598 11 6 0
2 Harris 2010244 0 941 769 9 15 0
2 Harris 2010246 0 1054 1439 26 16 0
2 Harris 2010260 0 425 336 8 10 0
2 Harris 2010262 0 1100 1116 32 29 0
2 Harris 2010263 0 847 1738 13 16 0
2 Harris 2010274 0 637 832 14 12 0
2 Harris 2010299 0 443 181 9 9 0
2 Harris 2010310 0 341 556 13 14 0
2 Harris 2010313 0 13 14 0 0 0
2 Harris 2010323 0 589 319 9 6 0
2 Harris 2010330 0 685 499 14 10 0
2 Harris 2010340 0 738 1677 14 23 0
2 Harris 2010350 0 1359 523 21 14 0
2 Harris 2010351 0 802 2335 15 13 0
2 Harris 2010357 0 667 1560 8 34 0
2 Harris 2010361 0 1214 102 9 3 0
2 Harris 2010363 0 1393 765 13 16 0
2 Harris 2010380 0 1694 1444 24 32 0
2 Harris 2010388 0 1784 1494 22 16 0
2 Harris 2010398 0 1182 889 23 21 0
2 Harris 2010407 0 1032 1253 18 48 0
2 Harris 2010421 0 769 569 9 11 0
2 Harris 2010424 0 393 338 5 5 0
2 Harris 2010444 0 1010 1132 20 25 0
2 Harris 2010445 0 564 692 12 21 0
2 Harris 2010446 0 77 36 1 0 0
2 Harris 2010447 0 1165 1638 30 21 0
2 Harris 2010451 0 454 1409 8 11 0
2 Harris 2010459 0 681 1847 15 17 0
2 Harris 2010464 0 594 743 11 17 0
2 Harris 2010469 0 416 1335 17 9 0
2 Harris 2010472 0 537 238 8 0 0
2 Harris 2010477 0 874 1597 20 19 0
2 Harris 2010478 0 1044 1434 30 18 0
2 Harris 2010479 0 647 1649 19 13 0
2 Harris 2010482 0 941 1500 22 18 0
2 Harris 2010484 0 899 1329 28 7 0
2 Harris 2010493 0 1081 594 17 9 0
2 Harris 2010496 0 799 331 6 5 0
2 Harris 2010500 0 904 1289 21 22 0
2 Harris 2010513 0 646 1340 15 9 0
2 Harris 2010514 0 919 1633 30 15 0
2 Harris 2010515 0 508 1630 13 9 0
2 Harris 2010516 0 799 684 13 7 0
2 Harris 2010523 0 816 1034 16 16 0
2 Harris 2010546 0 386 1569 13 15 0
2 Harris 2010548 0 675 464 11 11 0
2 Harris 2010551 0 892 2301 20 14 0
2 Harris 2010563 0 575 1625 13 19 0
2 Harris 2010577 0 557 605 17 6 0
2 Harris 2010586 0 966 1095 22 15 0
2 Harris 2010588 0 1018 1464 14 19 0
2 Harris 2010590 0 393 1083 15 8 0
2 Harris 2010593 0 1384 919 24 12 0
2 Harris 2010597 0 993 518 17 10 0
2 Harris 2010599 0 1103 507 14 7 0
2 Harris 2010601 0 848 1817 20 14 0
2 Harris 2010604 0 308 1651 17 7 0
2 Harris 2010609 0 1136 1334 22 16 0
2 Harris 2010610 0 654 349 8 6 0
2 Harris 2010612 0 590 1599 19 16 0
2 Harris 2010621 0 414 240 10 5 0
2 Harris 2010622 0 1236 1271 36 12 0
2 Harris 2010623 0 882 1210 14 18 0
2 Harris 2010628 0 638 313 4 7 0
2 Harris 2010631 0 627 1063 14 5 0
2 Harris 2010633 0 936 1675 20 12 0
2 Harris 2010634 0 763 843 12 16 0
2 Harris 2010635 0 534 1342 20 25 0
2 Harris 2010636 0 322 2605 9 7 0
2 Harris 2010648 0 730 1358 29 10 0
2 Harris 2010658 0 637 911 14 18 0
2 Harris 2010659 0 1005 2127 13 16 0
