COUNTY AREA TOTAL DEM REP Linn Savage Others
COUNTY AREA TOTAL GIDEON COLLINS Linn Savage Others
OXF Paris 2884 983 1668 60 137 0
OXF Peru 923 222 631 10 49 1
OXF Porter 883 254 547 23 50 0
OXF Roxbury 246 66 158 6 14 0
OXF Rumford 2900 997 1628 64 163 0
OXF Stoneham 186 70 106 2 6 0
OXF Stow 256 104 133 8 9 0
OXF Sumner 561 166 350 13 26 0
OXF Sweden 283 123 141 5 13 0
OXF Upton 64 14 47 1 1 0
OXF Waterford 1044 367 618 14 35 0
OXF "West Paris" 967 287 594 22 48 0
OXF "Woodstock/Milton Twp" 955 305 595 12 33 0
PEN Alton 481 118 333 11 15 0
PEN "Argyle Twp" 85 25 48 4 7 0
PEN Bangor 16387 7466 7559 304 842 21
PEN Bradford 694 152 510 9 18 0
PEN Bradley 895 283 568 12 26 0
PEN Brewer 5332 1933 3059 85 187 9
PEN Burlington 209 36 158 5 8 0
PEN Carmel 1794 414 1260 51 54 1
PEN "Carroll Plt" 88 7 75 4 2 0
PEN Charleston 765 127 609 4 17 0
PEN Chester 327 36 271 7 10 0
PEN Clifton 537 126 362 17 26 0
PEN Corinna 1254 251 926 25 38 0
PEN Corinth 1579 302 1199 30 32 1
PEN Dexter 1863 458 1281 39 71 0
PEN Dixmont 737 211 489 11 22 0
PEN "Drew Plt" 19 3 14 1 0 0
PEN "East Millinocket" 962 297 603 18 32 2
PEN Eddington 1473 366 1002 26 57 4
PEN Edinburg 106 22 74 4 6 0
PEN Enfield 887 211 626 15 24 0
PEN Etna 731 183 514 8 18 0
PEN Exeter 583 144 394 12 27 0
PEN Garland 615 134 421 17 31 0
PEN Glenburn 2815 809 1833 61 85 4
PEN "Grand Falls Twp" 11 2 7 0 1 0
PEN Greenbush 720 146 516 18 30 0
PEN Hampden 4930 1812 2820 65 182 7
PEN Hermon 3995 1080 2707 62 99 10
PEN "Herseytown Twp" 22 0 21 0 0 0
PEN Holden 2145 651 1356 45 72 6
PEN Howland 649 187 412 18 16 0
PEN Hudson 615 95 484 14 16 0
PEN Kenduskeag 774 175 555 11 24 5
PEN "Kingman Twp" 67 2 61 2 2 0
PEN "Lagrange/Orneville Twp" 360 91 243 6 15 0
PEN Lakeville 69 22 41 2 3 0
PEN Lee 513 104 374 12 16 0
PEN Levant 1678 344 1234 37 43 1
PEN Lincoln 2617 575 1845 55 100 0
PEN Lowell 258 38 206 3 9 0
PEN "Mattamiscontis Twp" 52 5 43 2 2 0
PEN "Mattawamkeag/Molunkus Twp" 392 99 277 4 8 0
PEN Maxfield 70 13 54 3 0 0
PEN Medway/Townships 759 147 569 17 17 0
PEN "Milford/Greenfield Twp" 1867 653 1074 26 99 2
PEN Millinocket 2417 735 1510 57 84 0
PEN "Millinocket Penobscot Twps" 172 57 108 5 2 0
PEN "Mount Chase" 125 24 91 0 7 0
PEN Newburgh 1004 274 671 23 31 1
PEN Newport 1760 430 1221 37 53 0
PEN "Old Town/Argyle Twp" 4305 1849 2090 71 249 3
PEN Orono 5268 3147 1603 99 356 3
PEN Orrington 2581 788 1629 42 85 20
PEN Passadumkeag 225 37 169 2 14 0
PEN Patten 526 99 383 6 18 0
PEN "Penobscot Nation Voting District" 309 206 68 6 24 0
PEN Plymouth 756 161 544 11 30 0
PEN "Prentiss Twp" 92 17 69 2 2 0
PEN "Seboeis Plt" 41 11 30 0 0 0
PEN Springfield 163 19 134 3 2 0
PEN Stacyville 210 22 170 9 4 0
PEN Stetson 773 166 561 12 28 0
PEN "T5 R7 Twp/T5 R8 Twp/T6 R8 Twp" 10 4 6 0 0 0
PEN Veazie 1228 494 649 21 56 0
PEN "Webster Plt" 42 7 28 2 1 0
PEN Winn 207 39 153 6 5 0
PEN Woodville 138 17 114 4 1 0
PIS Abbot 421 93 304 8 10 0
PIS "Atkinson Township" 175 39 122 6 5 0
PIS "Beaver Cove" 119 39 74 1 3 0
PIS Bowerbank 118 32 82 1 3 0
PIS Brownville/Twps 782 222 488 19 43 0
PIS Dover-Foxcroft 2363 676 1486 65 101 0
PIS Greenville 1169 363 741 13 38 0
PIS "Guilford/Kingsbury Plt" 738 188 487 13 40 0
PIS "Lake View Plt" 114 36 75 1 2 0
PIS Medford 164 31 115 3 11 0
PIS "Millinocket Piscataquis Twps" 88 21 63 0 0 0
PIS "Milo/Ornveille Twp" 1231 321 828 28 46 0
PIS "Monson/Elliotsville Twp" 484 132 308 11 22 0
PIS Parkman 493 118 347 10 13 0
PIS Sangerville 759 193 512 15 32 0
PIS Sebec 432 80 320 13 12 0
PIS Shirley 134 21 109 1 1 0
PIS Wellington 119 35 69 1 11 0
PIS Willimantic 93 15 73 1 1 0
SAG Arrowsic 375 207 132 3 32 0
SAG Bath 5202 2805 1851 79 400 0
SAG Bowdoin 1888 550 1216 23 72 2
SAG Bowdoinham 2084 928 967 33 135 0
SAG Georgetown 844 434 352 9 42 0
SAG Phippsburg 1586 645 847 16 64 0
SAG Richmond 2102 743 1205 33 108 1
SAG Topsham 6619 3095 3029 85 344 0
SAG "West Bath" 1407 581 756 13 49 0
SAG Woolwich 2173 799 1203 43 108 0
SOM Anson 1238 286 809 29 91 0
SOM Athens 515 114 345 6 39 0
SOM Bingham 584 133 390 9 45 0
SOM "Brighton Plt" 50 10 34 0 5 0
SOM Cambridge 258 54 185 6 10 0
SOM Canaan 1170 295 758 24 74 0
SOM Caratunk 61 20 37 0 4 0
SOM Cornville 789 213 507 7 54 1
SOM "Dennistown Plt" 24 3 20 1 0 0
SOM Detroit 442 110 294 12 17 0
