COUNTY AREA TOTAL DEM REP LIB IND Writein
COUNTY AREA TOTAL Hubbell Reynolds Porter Siegwarth Writein
Davis NORTHWEST 443 115 321 6 1 0
Davis SOUTHEAST 433 103 319 9 2 0
Davis SOUTHWEST 230 70 159 1 0 0
Decatur BL/FA/Lamoni 879 403 457 14 3 2
Decatur "BU/HA/MO/NB/Davis City/Pleasanton" 308 56 242 9 1 0
Decatur CE/ED/Leon 842 279 542 17 3 1
Decatur "DE/Decatur City" 162 40 117 5 0 0
Decatur "GG/HP/WO/Garden Grove/LeRoy" 275 75 191 9 0 0
Decatur "GR/RL/Grand River" 193 55 134 3 0 1
Decatur "FR/LC/Van Wert/Weldon" 297 100 189 5 3 0
Delaware "Adams/Hazel Green" 478 159 313 3 3 0
Delaware Colony 327 102 213 8 4 0
Delaware Delaware 524 150 361 5 8 0
Delaware "Delhi/Delaware Corp" 525 146 360 8 11 0
Delaware "Honey Creek/Elk" 627 198 408 7 14 0
Delaware "Manchester Ward 1" 590 250 316 13 9 2
Delaware "Manchester Ward 2" 756 309 417 16 14 0
Delaware "Manchester Ward 3" 750 351 379 10 10 0
Delaware Milo/Prairie 866 260 588 13 5 0
Delaware "Oneida/N Fork/Bremen" 1165 314 820 19 11 1
Delaware "Richland/Coffins Grove" 501 200 283 10 8 0
Delaware "South Fork/Union" 564 228 321 6 9 0
"Des Moines" "Pct 1T" 1396 685 699 8 4 0
"Des Moines" "Pct 2" 1115 707 388 14 6 0
"Des Moines" "Pct 3" 902 550 324 23 5 0
"Des Moines" "Pct 4" 756 477 245 26 7 1
"Des Moines" "Pct 5" 955 522 421 8 4 0
"Des Moines" "Pct 6" 471 315 141 10 4 1
"Des Moines" "Pct 7" 1177 719 429 16 12 1
"Des Moines" "Pct 8C" 1481 828 636 12 5 0
"Des Moines" "Pct 9" 1255 748 483 16 7 1
"Des Moines" "PCT DM" 731 296 419 9 7 0
"Des Moines" "PCT FM" 1170 567 585 12 5 1
"Des Moines" "PCT HJ" 602 209 387 4 1 1
"Des Moines" "PCT MY" 1234 451 758 20 5 0
"Des Moines" "PCT PW" 351 99 247 2 3 0
"Des Moines" "PCT Union" 383 166 215 2 0 0
"Des Moines" "PCT WB" 1173 699 450 19 4 1
Dickinson "Precinct No. 1" 599 181 405 9 4 0
