COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
Gila "Pinal Creek" 0 83 100 0 0 0 1 0 0
Gila "Pine-Strawberry East" 0 144 327 0 0 0 7 0 0
Gila "Pine Strawberry West" 0 405 923 0 0 0 10 0 0
Gila Roosevelt 0 46 127 0 0 0 1 0 0
Gila "San Carlos" 0 549 99 0 0 0 7 0 0
Gila "Sierra Ancha" 0 18 93 0 0 0 1 0 0
Gila "Star Valley" 0 456 1458 0 0 0 18 0 0
Gila "Tonto Basin" 0 198 700 0 0 0 5 0 0
Gila Wheatfields 0 34 55 0 0 0 0 0 0
Gila "Whispering Pines" 0 51 140 0 0 0 0 0 0
Gila Young 0 62 311 0 0 0 5 0 0
Gila "Zane Grey" 0 152 317 0 0 0 6 0 0
Graham "Artesia #20" 0 88 333 0 0 0 4 0 0
Graham "Bonita #13" 0 11 72 0 0 0 0 0 0
Graham "Bylas #11" 0 208 22 0 0 0 2 0 0
Graham "Cactus #17" 0 41 97 0 0 0 3 0 0
Graham "Central #8" 0 32 327 0 0 0 2 0 0
Graham "Desert Hills #19" 0 128 488 0 0 0 18 0 0
Graham "Ft Thomas #10" 0 21 114 0 0 0 1 0 0
Graham "Gila River #22" 0 9 13 0 0 0 0 0 0
Graham "Jackson #18" 0 151 565 0 0 0 9 0 0
Graham "Klondyke #12" 0 13 34 0 0 0 3 0 0
Graham "Layton #4" 0 157 224 0 0 0 1 0 0
Graham "Layton #5" 0 261 604 0 0 0 13 0 0
Graham "Peridot #16" 0 213 33 0 0 0 0 0 0
Graham "Pima #9" 0 223 1078 0 0 0 18 0 0
Graham "Quatro Cerros #21" 0 13 56 0 0 0 1 0 0
Graham "Safford #15" 0 371 632 0 0 0 11 0 0
Graham "Safford #2" 0 319 537 0 0 0 18 0 0
Graham "Safford #3" 0 109 305 0 0 0 2 0 0
Graham "Solomon #1" 0 208 336 0 0 0 5 0 0
Graham "Thatcher #6" 0 77 430 0 0 0 9 0 0
Graham "Thatcher #7" 0 246 829 0 0 0 20 0 0
Graham "Thunderbird #14" 0 45 160 0 0 0 5 0 0
Greenlee "001 Eagle" 0 0 14 0 0 0 0 0 0
Greenlee "002 Blue" 0 1 16 0 0 0 0 0 0
Greenlee "003 Clifton 1" 0 274 254 0 0 0 12 0 0
Greenlee "004 Clifton 2" 0 210 171 0 0 0 5 0 0
Greenlee "005 Morenci" 0 213 328 0 0 0 12 0 0
Greenlee "006 East Plantsite" 0 40 71 0 0 0 3 0 0
Greenlee "007 York/Sheldon" 0 137 311 0 0 0 7 0 0
Greenlee "008 Duncan" 0 121 406 0 0 0 12 0 0
"La Paz" "051 Parker" 0 593 634 0 0 0 20 0 0
"La Paz" "052 Poston" 0 89 32 0 0 0 3 0 0
"La Paz" "054 Upriver" 0 231 798 0 0 0 7 0 0
"La Paz" "055 Bouse" 0 52 191 0 0 0 0 0 0
"La Paz" "056 Wenden" 0 31 46 0 0 0 1 0 0
"La Paz" "057 Salome" 0 110 318 0 0 0 4 0 0
"La Paz" "058 Quartzsite Two" 0 182 400 0 0 0 5 0 0
"La Paz" "059 Cibola" 0 10 40 0 0 0 2 0 0
"La Paz" "060 Ehrenberg" 0 50 120 0 0 0 3 0 0
"La Paz" "062 Vicksburg" 0 46 136 0 0 0 1 0 0
"La Paz" "064 Quartzsite Three" 0 114 221 0 0 0 5 0 0
Maricopa "0001 ACACIA" 0 1621 1260 0 0 0 49 0 0
Maricopa "0002 ACOMA" 0 980 1591 0 0 0 44 0 0
Maricopa "0003 ACUNA" 0 1464 284 0 0 0 11 0 0
Maricopa "0004 ADOBE" 0 826 1046 0 0 0 41 0 0
Maricopa "0005 ADORA" 0 2746 3689 0 0 0 84 0 0
Maricopa "0006 AGUA FRIA" 0 567 757 0 0 0 18 0 0
Maricopa "0007 AGUILA" 0 75 163 0 0 0 1 0 0
Maricopa "0008 AHWATUKEE" 0 1886 1352 0 0 0 37 0 0
Maricopa "0009 AIRLINE CANAL" 0 1303 1036 0 0 0 41 0 0
Maricopa "0010 ALAMO" 0 1656 1085 0 0 0 61 0 0
Maricopa "0011 ALEXANDER" 0 2678 1744 0 0 0 45 0 0
Maricopa "0012 ALHAMBRA" 0 510 183 0 0 0 13 0 0
Maricopa "0013 ALPACA" 0 657 932 0 0 0 5 0 0
Maricopa "0014 ALSUP" 0 288 420 0 0 0 11 0 0
Maricopa "0015 ALTADENA" 0 435 724 0 0 0 17 0 0
Maricopa "0016 ALVARADO" 0 953 418 0 0 0 18 0 0
Maricopa "0017 AMBER" 0 788 637 0 0 0 23 0 0
Maricopa "0018 ANDERSON" 0 850 806 0 0 0 40 0 0
Maricopa "0019 ANDORA" 0 1110 883 0 0 0 44 0 0
Maricopa "0020 ANGELA" 0 1683 1993 0 0 0 42 0 0
Maricopa "0021 ANNETTE" 0 1351 1303 0 0 0 52 0 0
Maricopa "0022 APACHE" 0 436 788 0 0 0 16 0 0
Maricopa "0023 APACHE PARK" 0 771 999 0 0 0 43 0 0
Maricopa "0024 APACHE WELLS" 0 1641 2434 0 0 0 52 0 0
Maricopa "0025 APPLEBY" 0 2675 2638 0 0 0 66 0 0
Maricopa "0026 ARBOLEDA" 0 1051 2158 0 0 0 48 0 0
Maricopa "0027 ARCADIA" 0 1643 959 0 0 0 46 0 0
Maricopa "0028 ARDMORE" 0 2287 750 0 0 0 44 0 0
Maricopa "0029 ARLINGTON" 0 21 112 0 0 0 3 0 0
Maricopa "0030 ARROWHEAD RANCH" 0 787 894 0 0 0 21 0 0
Maricopa "0031 ARTESIAN" 0 1249 1131 0 0 0 43 0 0
Maricopa "0032 ASTER" 0 901 1040 0 0 0 32 0 0
Maricopa "0033 ATHENS" 0 994 1162 0 0 0 27 0 0
Maricopa "0034 AUGUSTA" 0 508 307 0 0 0 17 0 0
Maricopa "0035 AUGUSTA RANCH" 0 1145 1678 0 0 0 39 0 0
Maricopa "0036 AVIANO" 0 1984 1865 0 0 0 34 0 0
Maricopa "0037 AVONDALE" 0 783 319 0 0 0 13 0 0
Maricopa "0038 AZTEC SPRINGS" 0 1554 1754 0 0 0 45 0 0
Maricopa "0039 BALBOA" 0 1893 840 0 0 0 73 0 0
Maricopa "0040 BALSZ" 0 2062 478 0 0 0 41 0 0
Maricopa "0041 BARNES" 0 1053 716 0 0 0 26 0 0
Maricopa "0042 BAYSHORE" 0 2457 2331 0 0 0 68 0 0
