COUNTY AREA TOTAL DEM REP Hayes Others
COUNTY AREA TOTAL Mills Moody Hayes Others
OXF Byron 85 27 50 7 0
OXF Canton 438 135 220 62 1
OXF Denmark 649 281 318 35 0
OXF Dixfield 1002 353 535 95 0
OXF Fryeburg 1533 787 605 114 0
OXF Gilead 106 40 50 12 0
OXF Greenwood 406 180 183 29 0
OXF Hanover 151 70 70 7 0
OXF Hartford 534 156 258 114 0
OXF Hebron 632 207 318 87 0
OXF Hiram 663 272 347 32 0
OXF "Lincoln Plt" 29 11 16 2 0
OXF Lovell 634 298 281 43 0
OXF "Milton Twp" 64 21 35 7 0
OXF "Magalloway Plt" 15 6 8 1 0
OXF Mexico 1001 474 413 90 0
OXF Newry 258 118 112 19 0
OXF Norway 2217 952 1011 212 0
OXF Otisfield 914 371 458 73 0
OXF Oxford 1753 533 991 205 0
OXF Paris 2102 761 948 329 0
OXF Peru 781 264 413 86 0
OXF Porter 670 228 383 46 0
OXF Roxbury 205 78 105 18 0
OXF Rumford 2247 991 995 214 1
OXF Stoneham 165 66 82 9 1
OXF Stow 200 113 71 7 0
OXF Sumner 451 134 203 110 0
OXF Sweden 217 100 94 19 0
OXF Upton 47 10 35 0 0
OXF Waterford 806 333 387 71 0
OXF "West Paris" 749 274 379 78 0
OXF Woodstock 648 247 318 69 0
PEN "Argyle Twp  (Alton, Edinburg & Penobscot Nation)" 68 22 38 7 0
PEN Alton 371 133 215 16 0
PEN Bangor 12658 7116 4464 726 2
PEN Bradford 536 160 325 33 0
PEN Bradley 680 315 301 50 0
PEN Brewer 4092 1881 1893 217 0
PEN Burlington 153 48 93 7 0
PEN Carmel 1305 430 784 66 0
PEN "Carroll Plt" 72 9 55 5 0
PEN Charleston 590 129 423 18 0
PEN Chester 236 57 161 8 0
PEN Clifton 399 145 227 22 0
PEN Corinna 895 286 556 33 0
PEN Corinth 1162 293 786 54 0
PEN Dexter 1428 543 764 81 0
PEN Dixmont 619 239 320 35 0
PEN "Drew Plt" 21 4 17 0 0
