COUNTY AREA TOTAL DEM REP IND1 IND2
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins
Bexar 0292055 0 817 278 18 16
Bexar 0292056 0 567 241 16 9
Bexar 0292057 0 828 301 23 11
Bexar 0292058 0 815 365 29 16
Bexar 0292059 0 841 365 31 11
Bexar 0292060 0 579 249 17 11
Bexar 0292061 0 435 304 22 10
Bexar 0292062 0 506 283 9 8
Bexar 0292063a 0 265 442 11 4
Bexar 0292063b 0 293 492 12 5
Bexar 0292063c 0 9 16 1 0
Bexar 0292064 0 921 557 32 12
Bexar 0292065 0 1989 1241 69 23
Bexar 0292066 0 1409 1331 68 12
Bexar 0292067 0 137 33 5 1
Bexar 0292068 0 1515 1293 60 31
Bexar 0292069 0 1179 660 37 21
Bexar 0292070 0 727 172 21 14
Bexar 0292071 0 247 80 10 7
Bexar 0292072 0 1175 919 58 26
Bexar 0292073 0 443 220 18 6
Bexar 0292074 0 360 118 8 5
Bexar 0292075 0 373 91 13 15
Bexar 0292076 0 893 744 50 19
Bexar 0292077 0 925 714 43 15
Bexar 0292078 0 951 615 48 11
Bexar 0292079 0 223 45 6 7
Bexar 0292080 0 529 251 17 14
Bexar 0292081 0 365 166 17 7
Bexar 0292082 0 558 302 25 9
Bexar 0292083 0 383 140 11 6
Bexar 0292084 0 1113 1342 39 15
Bexar 0292085 0 552 264 20 9
Bexar 0292086 0 1357 969 55 11
Bexar 0292087 0 655 655 26 12
Bexar 0292088 0 1546 964 59 21
Bexar 0292089 0 176 60 7 2
Bexar 0292090 0 860 365 36 16
Bexar 0292091 0 1183 507 37 23
Bexar 0292092 0 159 123 5 2
Bexar 0292093 0 568 390 31 9
Bexar 0292094 0 59 66 1 0
Bexar 0292095a 0 545 809 21 8
Bexar 0292095b 0 195 294 5 1
Bexar 0292095c 0 0 0 0 0
Bexar 0292096 0 977 471 48 9
Bexar 0292097 0 983 588 57 21
Bexar 0292098 0 519 295 25 9
Bexar 0292099 0 548 528 25 3
Bexar 0292100 0 493 273 28 7
Bexar 0292101 0 505 599 25 5
Bexar 0292102 0 995 798 34 15
Bexar 0292103 0 104 28 3 0
Bexar 0292104 0 132 31 1 0
Bexar 0292105 0 217 71 6 4
Bexar 0292106 0 207 95 11 2
Bexar 0292107 0 1355 920 59 22
Bexar 0292108 0 412 477 10 3
Bexar 0292109 0 1 0 0 0
Bexar 0292110 0 441 349 10 8
Bexar 0292111 0 409 206 17 13
Bexar 0292112 0 683 471 29 14
Bexar 0292113 0 36 16 1 0
Bexar 0292114 0 829 429 21 24
Bexar 0292115 0 2476 2300 98 29
Bexar 0292116 0 0 0 0 0
Bexar 0292117 0 266 76 7 10
Bexar 0292118 0 14 0 0 0
Bexar 0292119 0 130 41 4 0
Bexar 0292120 0 876 742 34 12
Bexar 0292121 0 184 112 10 4
Bexar 0292122 0 652 259 24 18
Bexar 0292123 0 743 766 31 16
Bexar 0292124 0 273 192 4 4
Bexar 0292125 0 1156 1022 48 18
Bexar 0292126 0 543 359 12 12
Bexar 0292127 0 1006 734 46 15
Bexar 0292128 0 831 315 30 12
Bexar 0292129 0 0 0 0 0
Bexar 0292130 0 889 574 32 12
Bexar 0292131 0 166 103 4 4
Bexar 0292132 0 0 0 0 0
Bexar 0292133 0 145 106 6 1
Bexar 0292134 0 494 237 24 16
Bexar 0292135 0 289 148 12 5
Bexar 0292136 0 1540 1372 71 23
Bexar 0292137 0 467 288 15 4
Bexar 0292138 0 370 251 14 8
Bexar 0292139 0 710 619 29 10
Bexar 0292140 0 709 326 23 6
Bexar 0292141 0 554 423 28 10
Bexar 0292142 0 243 108 12 7
Bexar 0292143 0 738 603 25 9
Bexar 0292144 0 818 467 25 12
Bexar 0292145 0 149 114 5 2
Bexar 0292146 0 37 16 1 1
Bexar 0292147 0 222 164 7 4
Bexar 0292148a 0 1479 708 66 25
Bexar 0292148b 0 0 0 0 0
Bexar 0292149 0 840 399 33 12
Bexar 0292150 0 5 1 1 1
Bexar 0292151 0 11 5 0 0
Bexar 0292152 0 216 77 8 4
Bexar 0292153 0 121 70 6 3
Bexar 0292154a 0 983 744 53 13
Bexar 0292154b 0 395 298 21 5
Bexar 0292154c 0 61 48 3 0
Bexar 0292154d 0 98 74 5 1
Bexar 0292155 0 1 0 0 0
Bexar 0292156 0 553 267 26 5
Bexar 0292157 0 0 0 0 0
Bexar 0292158 0 0 0 0 0
Bexar 0292159 0 77 72 3 0
Bexar 0292160 0 2 2 0 0
Bexar 0293001 0 1153 1414 48 19
Bexar 0293002 0 839 791 40 15
Bexar 0293003 0 19 32 1 1
Bexar 0293004 0 0 0 0 0
Bexar 0293005 0 815 1636 23 10
Bexar 0293006 0 392 456 16 7
Bexar 0293007 0 1096 1173 43 20
Bexar 0293008 0 29 50 0 1
Bexar 0293009 0 0 11 0 0
Bexar 0293010 0 262 129 18 3
Bexar 0293011 0 394 406 9 2
Bexar 0293012 0 326 675 9 4
Bexar 0293013 0 741 587 33 10
Bexar 0293014 0 177 200 8 3
Bexar 0293015 0 419 346 17 9
Bexar 0293016 0 76 81 1 1
Bexar 0293017a 0 584 1408 30 4
Bexar 0293017b 0 23 56 1 0
Bexar 0293018 0 637 852 13 5
Bexar 0293019 0 319 156 16 6
Bexar 0293020 0 1046 1003 28 9
Bexar 0293021 0 530 1480 13 6
Bexar 0293022 0 619 686 15 7
Bexar 0293023 0 966 735 43 16
Bexar 0293024 0 0 0 0 0
Bexar 0293025 0 593 767 21 2
Bexar 0293026 0 497 738 7 5
Bexar 0293027 0 516 664 15 5
Bexar 0293028 0 689 738 30 14
Bexar 0293029 0 506 415 22 6
Bexar 0293030 0 751 1031 23 7
Bexar 0293031 0 12 6 0 0
Bexar 0293032 0 911 550 28 12
Bexar 0293033 0 552 1072 30 10
Bexar 0293034 0 462 1652 14 1
Bexar 0293035 0 324 271 10 5
Bexar 0293036 0 1739 1023 58 27
Bexar 0293037 0 1154 908 50 10
Bexar 0293038 0 456 446 12 5
Bexar 0293039 0 1138 2023 55 14
Bexar 0293040 0 756 810 34 9
Bexar 0293041 0 201 232 6 1
Bexar 0293042 0 760 1060 29 10
Bexar 0293043 0 751 1537 37 10
Bexar 0293044 0 541 564 16 8
Bexar 0293045 0 464 767 18 6
Bexar 0293046 0 580 588 11 14
Bexar 0293047 0 705 760 11 10
Bexar 0293048 0 658 600 19 5
Bexar 0293049 0 734 997 21 3
Bexar 0293050 0 416 454 10 7
Bexar 0293051 0 105 191 6 1
Bexar 0293052 0 1575 1943 53 14
Bexar 0293053 0 679 768 11 5
Bexar 0293054 0 723 522 23 8
Bexar 0293055 0 713 1856 43 9
Bexar 0293056 0 846 509 24 10
Bexar 0293057 0 202 229 5 2
Bexar 0293058 0 1409 934 68 24
Bexar 0293059 0 635 756 20 14
Bexar 0293060 0 729 673 23 14
Bexar 0293061 0 715 581 36 7
Bexar 0293062 0 10 10 0 1
Bexar 0293063 0 746 678 22 10
Bexar 0293064 0 174 157 6 3
Bexar 0293065 0 18 8 3 0
Bexar 0293066 0 718 695 17 7
Bexar 0293067 0 594 634 11 3
Bexar 0293068 0 1072 516 63 20
Bexar 0293069 0 1264 1190 43 10
Bexar 0293070 0 898 1028 27 13
Bexar 0293071 0 998 730 27 18
Bexar 0293072 0 1332 1844 53 23
Bexar 0293073 0 630 577 25 7
Bexar 0293074 0 916 1080 34 10
Bexar 0293075 0 873 1681 20 8
Bexar 0293076 0 418 696 11 2
Bexar 0293077 0 947 1017 29 9
Bexar 0293078 0 1025 1178 42 14
Bexar 0293079 0 1119 1303 29 10
Bexar 0293080 0 371 501 12 7
Bexar 0293081 0 828 824 30 9
Bexar 0293082 0 854 890 41 10
Bexar 0293083 0 506 645 23 4
Bexar 0293084 0 1123 1280 49 23
Bexar 0293085 0 442 484 24 2
Bexar 0293086a 0 652 763 19 8
Bexar 0293086b 0 0 0 0 0
Bexar 0293087 0 488 662 29 6
Bexar 0293088 0 1204 1579 51 17
Bexar 0293089 0 1185 2507 53 19
Bexar 0293090 0 1038 1268 51 15
Bexar 0293091 0 189 499 8 3
Bexar 0293092 0 682 1487 27 6
Bexar 0293093 0 1456 2080 42 12
Bexar 0293094 0 1225 1772 50 6
Bexar 0293095 0 1153 654 42 18
Bexar 0293096a 0 983 1529 48 9
Bexar 0293096b 0 0 0 0 0
Bexar 0293097 0 1 10 0 0
Bexar 0293098 0 451 537 17 7
Bexar 0293099 0 1275 1363 38 10
Bexar 0293100 0 1186 1172 60 27
Bexar 0293101 0 954 1127 34 4
Bexar 0293102 0 1043 1323 40 7
Bexar 0293103 0 296 216 11 5
Bexar 0293104 0 862 1144 43 16
Bexar 0293105 0 1109 1215 70 24
Bexar 0293106 0 457 842 25 3
Bexar 0293107 0 668 422 29 13
Bexar 0293108 0 472 738 22 4
Bexar 0293109 0 1130 864 61 11
Bexar 0293110 0 1072 1115 39 19
Bexar 0293111 0 0 0 0 0
Bexar 0293112 0 662 365 28 13
Bexar 0293113 0 444 224 33 6
Bexar 0293114 0 618 1236 19 6
Bexar 0293115 0 630 841 8 8
Bexar 0293116 0 614 446 21 7
Bexar 0293117 0 1012 1346 40 18
Bexar 0293118 0 378 361 11 4
Bexar 0293119 0 1469 1226 71 15
Bexar 0293120 0 1192 1253 50 19
Bexar 0293121 0 1548 1823 58 12
Bexar 0293122 0 822 898 19 10
Bexar 0293123 0 196 330 12 1
Bexar 0293124 0 1400 1819 43 27
Bexar 0293125 0 1177 1647 46 15
Bexar 0293126 0 628 887 19 11
Bexar 0293127 0 1418 1152 58 17
Bexar 0293128 0 17 23 0 1
Bexar 0293129 0 1344 958 51 22
Bexar 0293130 0 561 913 16 5
Bexar 0293131 0 0 2 0 0
Bexar 0293132 0 546 318 19 5
Bexar 0293133 0 0 0 0 0
Bexar 0293134 0 1127 537 55 20
