COUNTY AREA TOTAL DEM REP WI
COUNTY AREA TOTAL Siegelman James WRITEIN
Calhoun "200 PIEDMONT COMMUNITY BUILDING" 0 201 56 1
Calhoun "210 HOLLEYS CROSSROADS BAPTIST" 0 157 118 1
Calhoun "220 WHITE PLAINS HIGH SCHOOL" 0 210 197 1
Calhoun "230 DEARMANVILLE SCHOOL" 0 247 219 3
Calhoun "240 OXFORD - OXFORD CIVIC CENTER" 0 298 187 1
Calhoun "250 OXFORD - CHEAHA CLUBHOUSE" 0 250 216 1
Calhoun "260 COOSA VALLEY SADDLE CLUB" 0 149 100 1
Calhoun "270 HOBSON CITY - CITY HALL" 0 261 6 0
Calhoun "280 MOORE AVENUE CHURCH OF CHRIST" 0 699 71 0
Calhoun "290 ANNISTON - CARVER CENTER" 0 750 11 1
Calhoun "300 ANNISTON-F & WILMER FIRE ST." 0 511 58 0
Calhoun "310 ANNISTON - THANKFUL BAPTIST" 0 302 19 0
Calhoun "320 ANNISTON-LENLOCK FIRE STATION" 0 344 135 2
Calhoun "330 ANNISTON - CITY AUDITORIUM" 0 534 23 0
Calhoun "340 BETHEL UNITED METHODIST CHURCH" 0 90 59 0
Calhoun "350 CHOCCOLOCCO - HARMONY CHURCH" 0 280 309 1
Calhoun "360 OHATCHEE FIRE STATION" 0 476 270 0
Calhoun "370 READS MILL - READS STORE" 0 203 164 1
Calhoun "380 BLUE MOUNTAIN - BAPTIST CHURCH" 0 251 157 0
Calhoun "390 SAKS - HIGH SCHOOL #1" 0 879 624 0
Calhoun "391 SAKS - HIGH SCHOOL #2" 0 330 285 0
Calhoun "400 LEATHERWOOD RD CIVIL DEFENSE" 0 400 365 2
Calhoun "410 FRIENDSHIP COMMUNITY CENTER" 0 391 353 1
Calhoun "420 WELLINGTON - MT.VIEW BAPTIST" 0 194 127 0
Calhoun "430 JERRY GREENWOOD AUTO SALES" 0 14 21 1
Calhoun "440 ANNISTON - NATION GUARD ARMORY" 0 245 105 0
Calhoun "450 ANNISTON - FIRST PRESBYTERIAN" 0 569 281 4
Calhoun "460 ANNISTON - MENTAL HEALTH CNTR" 0 613 583 4
Calhoun "470 ANNISTON-GOLDEN SPRINGS COMM 1" 0 590 491 2
Calhoun "471 ANNISTON-GOLDEN SPRINGS COMM 2" 0 527 457 4
Calhoun "9001 ABSENTEE VOTERS" 0 378 246 6
Chambers "001 Standing Rock" 0 56 38 0
Chambers "002 Stroud" 0 90 39 0
Chambers "003 Mount Olive" 0 57 42 0
Chambers "004 MillTown" 0 80 63 0
Chambers "005 Sparkling Springs" 0 11 15 0
Chambers "006 Union Hill" 0 67 68 0
Chambers "007 Five Points" 0 165 65 0
Chambers "008 Buffalo" 0 121 110 0
Chambers "009 Penton" 0 60 57 0
Chambers "010 Fredonia" 0 120 71 0
Chambers "011 Lanett" 0 1292 774 0
Chambers "012 Rescue" 0 186 199 0
Chambers "013 Lakeview" 0 63 86 0
Chambers "014 Lafayette" 0 646 337 1
Chambers "015 Ridge Grove" 0 136 96 1
Chambers "016 Culebra" 0 145 23 0
Chambers "017 Waverly" 0 55 46 0
Chambers "018 Sturkie" 0 148 72 1
Chambers "019 Cusseta" 0 116 99 0
Chambers "020 Shawmut" 0 317 403 0
Chambers "021 Langdale" 0 353 331 0
Chambers "022 Fairfax" 0 675 527 2
Chambers "023 Riverview" 0 267 144 1
Chambers "024 Huguley" 0 349 246 0
Chambers Absentee 0 54 73 0
Cherokee "1-1 Alexis - Lindsey store" 0 58 26 0
Cherokee "1-2 Jack May Store" 0 137 47 0
Cherokee "2-1 McCords Crossroads" 0 88 65 0
Cherokee "2-2 Rock run" 0 36 24 0
Cherokee "3-1 Rock Run Station" 0 15 4 0
Cherokee "4-1 Spring Garden" 0 110 90 0
Cherokee "5-1 Key" 0 156 84 0
Cherokee "6-1 Center" 0 515 237 0
Cherokee "6-2 Center" 0 648 264 0
Cherokee "7-1 Mount Springs" 0 36 24 0
Cherokee "7-2 Goshen" 0 67 46 0
Cherokee "8-1 Ballplay" 0 56 46 0
Cherokee "8-2 Woodsbend" 0 107 19 0
Cherokee "9-1 Jack Adrian Store" 0 88 25 0
Cherokee "9-2 Stackland" 0 51 24 0
Cherokee "10-1 Little River" 0 64 30 0
Cherokee "11-1 Sand Rock" 0 209 113 0
Cherokee "12-1 Cedar Bluff" 0 419 174 0
Cherokee "13-1 Gaylesville" 0 99 42 0
Cherokee "14-1 Unity Church" 0 51 26 0
Cherokee "14-2 Watson Chapel" 0 43 34 0
Cherokee "15-1 Broomtown" 0 46 50 0
Cherokee "16-1 Jamestown" 0 45 30 0
Cherokee "16-2 Mentone" 0 6 20 0
Cherokee "17-1 Oak Bowery" 0 32 13 0
