COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Biden Trump Jorgensen
Powell "PRECINCT #16.78" 0 45 105 3
Powell "PRECINCT #2.80" 0 29 96 2
Powell "PRECINCT #3.78" 0 89 313 4
Powell "PRECINCT #4.78" 0 81 223 13
Powell "PRECINCT #5.78" 0 110 242 15
Powell "PRECINCT #6.78" 0 117 265 12
Powell "PRECINCT #7.78" 0 103 296 12
Powell "PRECINCT #8.80" 0 49 178 0
Prairie "PRECINCT NO. 1" 0 46 158 5
Prairie "PRECINCT NO. 2" 0 33 128 5
Prairie "PRECINCT NO. 3" 0 27 129 3
Prairie "PRECINCT NO. 4" 0 20 188 2
Ravalli "PCT 01" 0 155 536 18
Ravalli "PCT 02" 0 280 912 14
Ravalli "PCT 03" 0 201 590 11
Ravalli "PCT 04" 0 226 605 12
Ravalli "PCT 05" 0 520 951 23
Ravalli "PCT 06" 0 358 769 28
Ravalli "PCT 07" 0 578 929 32
Ravalli "PCT 08" 0 650 697 31
Ravalli "PCT 09" 0 465 699 41
Ravalli "PCT 10" 0 362 942 29
Ravalli "PCT 11" 0 360 949 29
Ravalli "PCT 12" 0 308 770 26
Ravalli "PCT 13" 0 290 842 26
Ravalli "PCT 14" 0 14 368 8
Ravalli "PCT 15" 0 396 957 25
Ravalli "PCT 16" 0 259 699 26
Ravalli "PCT 17" 0 370 786 14
Ravalli "PCT 18" 0 359 928 26
Ravalli "PCT 19" 0 457 1027 33
Ravalli "PCT 20" 0 426 690 44
Ravalli "PCT 21" 0 198 524 18
Ravalli "PCT 22" 0 494 1025 43
Ravalli "PCT 23" 0 512 1025 37
Ravalli "PCT 24" 0 525 894 36
Richland "PRECINCT 01" 0 63 229 8
Richland "PRECINCT 02" 0 70 366 12
Richland "PRECINCT 03" 0 108 466 12
Richland "PRECINCT 04" 0 51 277 4
Richland "PRECINCT 05" 0 55 342 3
Richland "PRECINCT 07" 0 46 179 11
Richland "PRECINCT 08" 0 113 576 22
Richland "PRECINCT 09" 0 45 272 5
Richland "PRECINCT 12" 0 102 594 18
Richland "PRECINCT 17" 0 14 133 3
Richland "PRECINCT 19" 0 14 110 4
Richland "PRECINCT 22" 0 75 483 6
Richland "PRECINCT 23" 0 119 773 15
Roosevelt "02 BAINVILLE" 0 42 242 5
Roosevelt "10 FROID" 0 46 142 8
Roosevelt "12 CULBERTSON" 0 107 421 11
Roosevelt "15 BROCKTON" 0 175 24 3
