COUNTY AREA TOTAL DEM REP Ringelstein Others
COUNTY AREA TOTAL King Brakey Ringelstein Others
PEN Glenburn 2068 908 981 156 0
PEN Greenbush 530 184 306 32 1
PEN "Herseytown Twp (Stacyville)" 16 2 13 1 0
PEN Hampden 3672 1865 1488 261 0
PEN Hermon 2890 1141 1502 199 0
PEN Holden 1769 822 835 93 0
PEN Howland 506 235 230 35 0
PEN Hudson 608 186 375 40 1
PEN "Kingman Twp (Webster Plt)" 49 13 35 1 0
PEN Kenduskeag 572 239 300 28 0
PEN Lagrange 245 89 118 32 1
PEN Lakeville 56 26 29 1 0
PEN Lee 400 143 230 15 0
PEN Levant 1203 388 688 69 0
PEN Lincoln 1939 764 1012 133 0
PEN Lowell 196 57 124 8 0
PEN "Mattamiscontis Twp (Chester)" 36 8 25 0 0
PEN "Millinocket Penobscot Twps" 123 64 58 1 0
PEN "Millinocket Piscataquis Twps" 57 26 30 1 0
PEN "Molunkus Twp (Mattawamkeag & Medway)" 27 16 9 2 0
PEN Mattawamkeag 290 124 137 15 0
PEN Maxfield 47 14 29 3 0
PEN Medway 572 213 320 26 1
PEN "Milford (and Greenfield Twp)" 1432 730 542 141 0
PEN Millinocket 1875 1032 706 101 0
PEN "Mount Chase" 91 43 40 7 0
PEN Newburgh 822 362 408 41 1
PEN Newport 1344 580 676 71 0
PEN "Old Town (and Argyle Twp)" 3201 1756 1017 368 0
PEN "Orneville Twp (Lagrange)" 1 0 1 0 0
PEN Orono 4404 2572 804 974 0
PEN Orrington 2051 912 962 131 0
PEN "Prentiss Twp (Webster Plt)" 58 9 41 8 0
PEN Passadumkeag 175 64 104 6 0
PEN Patten 393 171 176 18 0
PEN "Penobscot Nation Voting District" 211 122 22 53 0
PEN Plymouth 553 210 301 28 0
PEN "Seboeis Plt" 30 17 10 3 0
PEN Springfield 125 40 81 3 0
PEN Stacyville 151 56 86 3 0
PEN Stetson 585 219 320 36 0
PEN "T3 ND Twp" 5 3 2 0 0
PEN "T5 R7, T5 R8, T6 R8 Twps (Mount Chase)" 11 5 6 0 0
PEN Veazie 999 559 338 92 0
PEN "Webster Plt" 32 10 16 2 0
PEN Winn 155 62 81 8 0
PEN Woodville 98 28 64 4 1
PIS Abbot 312 143 152 12 0
PIS Atkinson 205 74 102 13 0
PIS "Barnard/Ebeemee/T4 R9 NWP/Williamsburg Twps (Brownville)" 98 44 43 7 0
PIS "Beaver Cove" 99 57 37 5 0
PIS Bowerbank 92 33 53 6 0
PIS Brownville 481 202 228 39 0
PIS Dover-Foxcroft 1791 843 761 159 0
PIS "Elliotsville Twp (Monson)" 15 5 5 5 0
PIS Greenville 956 460 428 59 0
PIS Guilford 548 257 245 38 2
PIS "Kingsbury Plt" 23 12 10 0 0
PIS "Lake View Plt" 74 37 30 6 0
PIS Medford 108 39 63 6 0
PIS Milo 894 400 419 69 0
PIS Monson 371 149 192 24 0
PIS Parkman 385 167 191 17 0
PIS Sangerville 564 223 285 35 1
PIS Sebec 330 111 191 21 0
PIS Shirley 123 53 66 2 0
PIS Wellington 89 46 31 10 0
PIS Willimantic 76 24 46 1 0
SAG Arrowsic 332 229 66 34 0
SAG Bath 4216 2737 960 462 0
SAG Bowdoin 1513 691 726 82 0
SAG Bowdoinham 1678 974 567 120 0
SAG Georgetown 707 452 208 34 0
SAG Phippsburg 1310 739 468 97 0
SAG Richmond 1643 850 659 117 0
SAG Topsham 5230 3220 1537 381 0
SAG "West Bath" 1144 649 376 74 0
SAG Woolwich 1770 932 717 106 0
SOM Anson 902 393 439 60 0
SOM Athens 385 172 179 24 0
SOM Bingham 447 211 185 38 0
SOM "Brighton Plt" 40 18 17 3 0
SOM "Concord Twp (Solon)" 1 0 1 0 0
SOM Cambridge 188 64 113 8 0
SOM Canaan 851 358 409 70 0
SOM Caratunk 45 16 24 5 0
SOM Cornville 588 242 291 43 0
