COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Hegar Cornyn McKennon Collins Writein
Harris 335 0 599 254 15 7 0
Harris 336 0 3775 552 85 38 0
Harris 337 0 501 117 15 8 0
Harris 338 0 1661 1128 38 24 0
Harris 339 0 837 281 36 12 0
Harris 340 0 928 1986 78 24 0
Harris 341 0 492 211 20 8 0
Harris 342 0 420 145 12 9 0
Harris 343 0 871 338 27 23 0
Harris 344 0 545 54 8 9 0
Harris 345 0 872 267 20 21 0
Harris 346 0 0 1 0 0 0
Harris 347 0 1046 1350 47 21 0
Harris 348 0 430 740 27 6 0
Harris 349 0 388 518 28 11 0
Harris 350 0 1733 698 35 13 0
Harris 351 0 1092 2777 62 15 0
Harris 352 0 906 2238 73 24 0
Harris 353 0 2009 616 61 36 0
Harris 354 0 1572 615 45 22 0
Harris 355 0 1117 146 19 13 0
Harris 356 0 1244 1183 67 31 0
Harris 357 0 851 1854 38 19 0
Harris 358 0 1152 217 21 14 0
Harris 359 0 1199 254 22 17 0
Harris 360 0 1737 1169 41 15 0
Harris 361 0 1014 126 12 7 0
Harris 362 0 1381 2470 73 24 0
Harris 363 0 2322 1153 78 32 0
Harris 364 0 1053 823 46 20 0
Harris 365 0 864 152 9 10 0
Harris 366 0 1571 688 44 28 0
Harris 367 0 648 234 20 12 0
Harris 368 0 439 201 9 5 0
Harris 369 0 244 55 5 3 0
Harris 370 0 1294 2515 82 17 0
Harris 371 0 245 18 1 4 0
Harris 372 0 635 126 17 7 0
Harris 373 0 61 6 4 2 0
Harris 374 0 226 138 8 4 0
Harris 375 0 759 553 29 20 0
Harris 376 0 781 528 21 12 0
Harris 377 0 590 1681 47 15 0
Harris 378 0 489 710 48 18 0
Harris 379 0 1028 165 18 13 0
Harris 380 0 2343 1925 85 23 0
Harris 381 0 1403 979 47 31 1
Harris 382 0 318 483 16 5 0
Harris 383 0 868 502 37 23 0
Harris 384 0 1286 516 22 15 0
Harris 385 0 523 1265 12 5 0
Harris 386 0 707 1617 31 19 1
Harris 387 0 951 2024 55 26 0
Harris 388 0 2566 2006 102 24 0
Harris 389 0 528 58 15 8 0
Harris 390 0 936 145 21 6 0
Harris 391 0 694 805 29 8 0
Harris 392 0 734 36 12 9 0
Harris 393 0 482 380 35 11 0
Harris 394 0 241 185 13 2 0
Harris 395 0 519 891 32 6 0
Harris 396 0 1162 81 21 10 0
Harris 397 0 254 154 4 5 0
Harris 398 0 1497 1224 41 11 0
Harris 399 0 1418 667 35 25 0
Harris 400 0 1024 1265 48 18 0
Harris 401 0 891 92 20 15 0
Harris 402 0 1157 111 17 17 0
Harris 403 0 775 670 19 9 0
