COUNTY AREA TOTAL DEM REP LIB UPC
COUNTY AREA TOTAL Polis Stapleton Helker Hammons
Arapahoe 6263803142 0 396 326 9 8
Arapahoe 6263803144 0 284 349 1 2
Arapahoe 6263803145 0 256 219 18 8
Arapahoe 6263803146 0 300 384 9 3
Arapahoe 6263803147 0 307 403 14 3
Arapahoe 6263803148 0 207 277 11 5
Arapahoe 6263803149 0 361 707 8 0
Arapahoe 6263803150 0 427 468 21 8
Arapahoe 6263803151 0 344 212 17 8
Arapahoe 6263803152 0 381 284 12 5
Arapahoe 6263803154 0 509 273 37 11
Arapahoe 6263803155 0 507 513 15 2
Arapahoe 6263803156 0 193 203 10 2
Arapahoe 6263803157 0 340 233 7 1
Arapahoe 6263803158 0 370 271 19 3
Arapahoe 6263803159 0 320 239 20 9
Arapahoe 6263803160 0 340 269 20 15
Arapahoe 6263803163 0 356 237 10 5
Arapahoe 6263803165 0 426 351 26 11
Arapahoe 6263803166 0 207 143 9 5
Arapahoe 6263803167 0 367 300 22 3
Arapahoe 6263803168 0 432 357 10 7
Arapahoe 6263803169 0 454 385 31 8
Arapahoe 6263803170 0 459 383 31 9
Arapahoe 6263803171 0 645 571 22 7
Arapahoe 6263803172 0 318 321 16 4
Arapahoe 6263803173 0 385 272 20 11
Arapahoe 6263803174 0 290 231 9 3
Arapahoe 6263803175 0 400 304 21 5
Arapahoe 6263803176 0 576 453 17 4
Arapahoe 6264003255 0 493 282 15 9
Arapahoe 6264003258 0 121 48 6 3
Arapahoe 6264003323 0 10 17 0 0
Arapahoe 6264003424 0 0 0 0 0
Arapahoe 6264003453 0 253 202 1 0
Arapahoe 6264003455 0 303 174 8 9
Arapahoe 6264103401 0 582 157 23 5
Arapahoe 6264103403 0 406 83 16 7
Arapahoe 6264103404 0 392 110 11 8
Arapahoe 6264103405 0 394 99 11 6
Arapahoe 6264103406 0 235 53 13 4
Arapahoe 6264103407 0 607 341 17 6
Arapahoe 6264103408 0 408 128 15 4
Arapahoe 6264103409 0 768 175 14 8
Arapahoe 6264103410 0 625 263 13 2
Arapahoe 6264103411 0 652 165 22 9
Arapahoe 6264103412 0 701 144 19 7
Arapahoe 6264103413 0 536 127 18 7
Arapahoe 6264103414 0 428 188 21 11
Arapahoe 6264103416 0 689 347 20 10
Arapahoe 6264103417 0 498 210 22 6
Arapahoe 6264103418 0 434 228 11 6
Arapahoe 6264103419 0 475 272 10 6
Arapahoe 6264103423 0 710 274 14 8
Arapahoe 6264103425 0 678 276 13 9
Arapahoe 6264103426 0 352 172 16 6
Arapahoe 6264103442 0 324 304 10 7
Arapahoe 6264103443 0 245 222 11 4
Arapahoe 6270303245 0 254 149 7 0
Arapahoe 6270303246 0 505 284 20 2
Arapahoe 6270303247 0 756 389 26 10
Arapahoe 6270303248 0 303 172 13 1
Arapahoe 6270303250 0 513 328 15 0
Arapahoe 6270303251 0 713 459 22 2
Arapahoe 6270303252 0 671 502 19 4
Arapahoe 6273603335 0 593 458 23 5
Arapahoe 6273603336 0 527 440 27 5
Arapahoe 6273603337 0 497 398 26 10
Arapahoe 6273603368 0 243 130 11 6
Arapahoe 6273703218 0 406 243 15 6
Arapahoe 6273703220 0 434 298 11 3
Arapahoe 6273703221 0 323 338 6 5
Arapahoe 6273703222 0 379 370 11 4
Arapahoe 6273703223 0 396 303 17 2
Arapahoe 6273703224 0 408 294 8 8
Arapahoe 6273703225 0 458 330 16 3
Arapahoe 6273703226 0 350 229 13 1
Arapahoe 6273703227 0 309 232 6 5
Arapahoe 6273703228 0 327 267 22 4
Arapahoe 6273703233 0 322 132 13 3
Arapahoe 6273703235 0 292 202 16 7
Arapahoe 6273703236 0 283 216 9 2
Arapahoe 6273703237 0 545 375 27 3
Arapahoe 6273703238 0 328 285 19 5
Arapahoe 6273703239 0 415 294 15 4
Arapahoe 6273703240 0 636 464 17 3
Arapahoe 6273703241 0 514 315 10 5
Arapahoe 6273703242 0 369 260 10 2
Arapahoe 6273703243 0 368 198 9 8
Arapahoe 6273703244 0 394 340 19 11
