DIST COUNTY AREA TOTAL DEM REP IND OTHER
DIST COUNTY AREA TOTAL Dem Rep Ind Other
4 Milwaukee "City Of Milwaukee Ward 80" 0 1144 0 0 38
4 Milwaukee "City Of Milwaukee Ward 81" 0 448 0 0 22
4 Milwaukee "City Of Milwaukee Ward 9" 0 636 0 0 15
4 Milwaukee "City Of Wauwatosa Ward 24" 0 749 0 0 22
4 Milwaukee "Village Of Shorewood Wards 1-4" 0 2679 0 0 68
4 Milwaukee "Village Of Shorewood Wards 5-8" 0 2262 0 0 58
4 Milwaukee "Village Of Shorewood Wards 9-12" 0 2244 0 0 46
6 Milwaukee "City Of Milwaukee Ward 100" 0 567 30 9 1
6 Milwaukee "City Of Milwaukee Ward 101" 0 882 19 7 0
6 Milwaukee "City Of Milwaukee Ward 102" 0 1049 52 7 2
6 Milwaukee "City Of Milwaukee Ward 103" 0 1150 72 2 2
6 Milwaukee "City Of Milwaukee Ward 104" 0 968 23 4 0
6 Milwaukee "City Of Milwaukee Ward 105" 0 408 12 0 0
6 Milwaukee "City Of Milwaukee Ward 106" 0 308 9 1 0
6 Milwaukee "City Of Milwaukee Ward 107" 0 591 7 2 0
6 Milwaukee "City Of Milwaukee Ward 108" 0 567 13 5 1
6 Milwaukee "City Of Milwaukee Ward 109" 0 601 14 0 1
6 Milwaukee "City Of Milwaukee Ward 110" 0 328 4 0 0
6 Milwaukee "City Of Milwaukee Ward 111" 0 448 13 0 1
6 Milwaukee "City Of Milwaukee Ward 138" 0 1756 140 0 2
6 Milwaukee "City Of Milwaukee Ward 139" 0 1158 121 2 3
6 Milwaukee "City Of Milwaukee Ward 141" 0 525 27 0 1
6 Milwaukee "City Of Milwaukee Ward 142" 0 587 21 1 2
6 Milwaukee "City Of Milwaukee Ward 143" 0 442 12 0 0
6 Milwaukee "City Of Milwaukee Ward 144" 0 330 7 2 0
6 Milwaukee "City Of Milwaukee Ward 145" 0 201 4 2 0
6 Milwaukee "City Of Milwaukee Ward 147" 0 683 10 0 0
6 Milwaukee "City Of Milwaukee Ward 148" 0 522 14 2 0
6 Milwaukee "City Of Milwaukee Ward 149" 0 632 27 0 1
6 Milwaukee "City Of Milwaukee Ward 150" 0 535 28 0 2
6 Milwaukee "City Of Milwaukee Ward 151" 0 389 13 0 2
6 Milwaukee "City Of Milwaukee Ward 152" 0 322 16 0 0
6 Milwaukee "City Of Milwaukee Ward 153" 0 624 30 1 0
6 Milwaukee "City Of Milwaukee Ward 154" 0 477 29 4 2
6 Milwaukee "City Of Milwaukee Ward 155" 0 417 28 0 1
6 Milwaukee "City Of Milwaukee Ward 156" 0 632 46 2 1
6 Milwaukee "City Of Milwaukee Ward 157" 0 436 48 0 0
6 Milwaukee "City Of Milwaukee Ward 158" 0 428 17 0 1
6 Milwaukee "City Of Milwaukee Ward 159" 0 402 42 0 1
6 Milwaukee "City Of Milwaukee Ward 160" 0 520 14 0 6
6 Milwaukee "City Of Milwaukee Ward 161" 0 178 4 0 0
6 Milwaukee "City Of Milwaukee Ward 162" 0 312 20 1 0
6 Milwaukee "City Of Milwaukee Ward 163" 0 570 27 0 1
6 Milwaukee "City Of Milwaukee Ward 164" 0 672 84 5 0
6 Milwaukee "City Of Milwaukee Ward 165" 0 631 119 0 1
6 Milwaukee "City Of Milwaukee Ward 166" 0 272 39 0 1
6 Milwaukee "City Of Milwaukee Ward 167" 0 660 136 0 0
6 Milwaukee "City Of Milwaukee Ward 168" 0 1172 289 0 1
6 Milwaukee "City Of Milwaukee Ward 169" 0 404 26 0 2
6 Milwaukee "City Of Milwaukee Ward 170" 0 332 25 0 0
6 Milwaukee "City Of Milwaukee Ward 171" 0 116 19 2 0
6 Milwaukee "City Of Milwaukee Ward 172" 0 389 20 2 0
6 Milwaukee "City Of Milwaukee Ward 173" 0 560 15 5 1
6 Milwaukee "City Of Milwaukee Ward 174" 0 774 31 2 0
6 Milwaukee "City Of Milwaukee Ward 175" 0 504 41 1 3
6 Milwaukee "City Of Milwaukee Ward 176" 0 645 34 0 4
6 Milwaukee "City Of Milwaukee Ward 177" 0 1714 421 0 3
6 Milwaukee "City Of Milwaukee Ward 187" 0 540 176 0 0
6 Milwaukee "City Of Milwaukee Ward 188" 0 401 153 0 0
6 Milwaukee "City Of Milwaukee Ward 189" 0 605 159 1 1
6 Milwaukee "City Of Milwaukee Ward 190" 0 641 229 0 0
6 Milwaukee "City Of Milwaukee Ward 191" 0 364 160 0 0
6 Milwaukee "City Of Milwaukee Ward 192" 0 614 180 0 1
6 Milwaukee "City Of Milwaukee Ward 193" 0 483 53 0 0
6 Milwaukee "City Of Milwaukee Ward 194" 0 429 50 1 0
