COUNTY AREA TOTAL DEM REP WRI
COUNTY AREA TOTAL Smith McMaster Writein
Berkeley "STRATFORD 1" 0 257 274 0
Berkeley "STRATFORD 2" 2 278 613 2
Berkeley "STRATFORD 3" 4 367 439 4
Berkeley "STRATFORD 4" 0 303 423 0
Berkeley "WASSAMASSAW 1" 0 258 268 0
Berkeley "WASSAMASSAW 2" 3 389 601 3
Berkeley "WESTVIEW 1" 0 210 466 0
Berkeley "WESTVIEW 2" 3 313 504 3
Berkeley "WESTVIEW 3" 2 232 446 2
Berkeley "BEVERLY HILLS" 0 268 204 0
Berkeley "HOWE HALL 1" 1 505 336 1
Berkeley "HOWE HALL 2" 2 230 223 2
Berkeley "LIBERTY HALL" 0 589 446 0
Berkeley MEDWAY 3 898 629 3
Berkeley "WHITESVILLE 1" 1 543 473 1
Berkeley "WHITESVILLE 2" 1 253 374 1
Berkeley "DANIEL ISLAND 3" 0 377 416 0
Berkeley "DANIEL ISLAND 4" 1 489 647 1
Berkeley "THE VILLAGE" 0 345 575 0
Berkeley "YELLOW HOUSE" 0 427 447 0
Berkeley "CANE BAY" 4 931 1289 4
Berkeley DISCOVERY 1 453 376 1
Berkeley "FOX BANK" 0 415 506 0
Berkeley "HANAHAN 5" 2 171 495 2
Berkeley MOULTRIE 0 422 109 0
Berkeley "OLD 52" 2 179 243 2
Berkeley ROYLE 0 227 314 0
Berkeley "SEVENTY EIGHT" 0 250 313 0
Berkeley "STONE LAKE" 2 226 393 2
Berkeley "STRATFORD 5" 1 291 224 1
Berkeley "WESTVIEW 4" 2 281 424 2
Berkeley "FOSTER CREEK 1" 0 207 266 0
Berkeley "FOSTER CREEK 2" 1 336 529 1
Berkeley "FOSTER CREEK 3" 2 324 435 2
Berkeley "HARBOUR LAKE" 2 409 170 2
Berkeley "ST. JAMES" 1 289 323 1
Berkeley "SEDGEFIELD 1" 1 313 277 1
Berkeley "SEDGEFIELD 2" 0 222 241 0
Berkeley TRAMWAY 2 386 550 2
Berkeley WEATHERSTONE 3 353 321 3
Berkeley CYPRESS 3 474 420 3
Berkeley "NORTH CREEK" 0 23 44 0
Berkeley Absentee 11 4761 4152 11
Berkeley "Absentee 2" 1 823 644 1
Berkeley Emergency 0 200 350 0
Berkeley "Emergency 2" 0 35 44 0
Berkeley Failsafe 0 31 21 0
Berkeley "Failsafe 2" 0 7 3 0
Berkeley Provisional 0 28 14 0
Berkeley "Provisional 2" 0 4 3 0
Berkeley "Failsafe Provisional" 0 27 27 0
Calhoun Bethel 0 126 286 0
Calhoun Cameron 0 185 184 0
Calhoun "Center Hill" 1 264 235 1
Calhoun Creston 0 44 68 0
Calhoun Dixie 2 569 193 2
Calhoun "Fall Branch" 0 109 139 0
Calhoun "Fort Motte" 0 67 64 0
Calhoun "Lone Star" 1 151 219 1
Calhoun Midway 0 47 130 0
Calhoun "Murph Hill" 0 120 93 0
Calhoun "Sandy Run" 0 256 558 0
Calhoun "St. Matthews" 0 264 377 0
Calhoun Absentee 1 740 352 1
Calhoun Emergency 1 31 51 1
Calhoun Failsafe 0 17 3 0
Calhoun Provisional 0 0 0 0
Calhoun "Failsafe Provisional" 0 0 0 0
Charleston Awendaw 1 317 274 1
Charleston "Christ Church" 0 207 193 0
Charleston "Isle Of Palms 1A" 4 202 325 4
Charleston "Isle of Palms 1B" 0 294 433 0
Charleston "Isle of Palms 1C" 3 278 528 3
Charleston "Sullivans Island" 4 482 450 4
Charleston McClellanville 1 536 238 1
Charleston "Deer Park 1A" 0 266 113 0
Charleston "Deer Park 1B" 1 466 306 1
Charleston "Deer Park 2A" 2 462 339 2
Charleston "Deer Park 2B" 0 353 182 0
Charleston "Deer Park 2C" 3 202 180 3
Charleston "Deer Park 3" 1 516 200 1
Charleston Lincolnville 0 431 310 0
Charleston Ladson 2 570 307 2
Charleston "Edisto Island" 2 371 346 2
Charleston "Wadmalaw Island 1" 2 292 217 2
Charleston "Wadmalaw Island 2" 1 344 183 1
Charleston "Kiawah Island" 2 310 591 2
Charleston "Town of Seabrook" 3 491 701 3
Charleston "Folly Beach 1" 1 300 250 1
Charleston "Folly Beach 2" 0 334 339 0
Charleston "Charleston 1" 3 153 257 3
Charleston "Charleston 2" 0 163 257 0
Charleston "Charleston 3" 1 289 246 1
Charleston "Charleston 4" 0 236 150 0
Charleston "Charleston 5" 0 241 160 0
Charleston "Charleston 6" 1 302 180 1
Charleston "Charleston 7" 1 300 151 1
Charleston "Charleston 8" 0 355 40 0
Charleston "Charleston 9" 0 273 71 0
Charleston "Charleston 10" 1 181 37 1
Charleston "Charleston 11" 1 350 149 1
Charleston "Charleston 12" 0 415 110 0
Charleston "Charleston 13" 0 430 50 0
Charleston "Charleston 14" 0 291 54 0
Charleston "Charleston 15" 1 334 25 1
Charleston "Charleston 16" 0 441 74 0
Charleston "Charleston 17" 0 384 71 0
Charleston "Charleston 18" 0 488 39 0
Charleston "Charleston 19" 1 295 36 1
Charleston "Charleston 20" 1 507 123 1
Charleston "Charleston 21" 0 234 31 0
Charleston "Mt. Pleasant 1" 3 373 432 3
Charleston "Mt. Pleasant 2" 0 227 243 0
Charleston "Mt. Pleasant 3" 2 366 303 2
Charleston "Mt. Pleasant 4" 0 349 325 0
Charleston "Mt. Pleasant 5" 1 245 393 1
Charleston "Mt. Pleasant 6" 1 354 409 1
Charleston "Mt. Pleasant 7" 0 213 192 0
Charleston "Mt. Pleasant 8" 0 161 204 0
Charleston "Mt. Pleasant 9" 0 189 239 0
Charleston "Mt. Pleasant 10" 1 162 242 1
Charleston "Mt. Pleasant 11" 0 249 239 0
Charleston "Mt. Pleasant 12" 0 419 373 0
Charleston "Mt. Pleasant 13" 2 248 227 2
Charleston "Mt. Pleasant 14" 0 275 281 0
Charleston "Mt. Pleasant 15" 1 480 565 1
Charleston "Mt. Pleasant 16" 0 133 244 0
Charleston "Mt. Pleasant 17" 1 473 626 1
Charleston "Mt. Pleasant 18" 0 247 378 0
Charleston "Mt. Pleasant 19" 1 424 405 1
Charleston "Mt. Pleasant 20" 2 271 266 2
Charleston "Mt. Pleasant 21" 0 222 268 0
Charleston "Mt. Pleasant 22" 0 311 365 0
Charleston "Mt. Pleasant 23" 1 406 332 1
Charleston "Mt. Pleasant 24" 1 159 187 1
Charleston "Mt. Pleasant 25" 3 152 209 3
Charleston "Mt. Pleasant 26" 0 228 5 0
Charleston "Mt. Pleasant 27" 1 511 783 1
Charleston "Mt. Pleasant 28" 2 244 329 2
Charleston "Mt. Pleasant 29" 0 48 97 0
Charleston "Mt. Pleasant 30" 1 457 661 1
Charleston "Mt. Pleasant 31" 0 243 319 0
Charleston "Mt. Pleasant 32" 2 417 785 2
Charleston "Mt. Pleasant 33" 1 591 1229 1
Charleston "Mt. Pleasant 34" 0 270 403 0
Charleston "Mt. Pleasant 35" 3 738 1140 3
Charleston "Mt. Pleasant 36" 0 357 405 0
Charleston "Mt. Pleasant 37" 0 725 743 0
Charleston "Mt. Pleasant 38" 1 224 372 1
Charleston "Mt. Pleasant 39" 0 472 817 0
Charleston "James Island 1A" 0 519 318 0
Charleston "James Island 1B" 1 321 61 1
Charleston "James Island 3" 0 364 51 0
Charleston "James Island 5A" 1 293 361 1
Charleston "James Island 5B" 2 123 208 2
Charleston "James Island 6" 1 406 318 1
Charleston "James Island 7" 1 448 382 1
Charleston "James Island 8A" 0 323 175 0
Charleston "James Island 8B" 0 454 251 0
Charleston "James Island 9" 2 364 249 2
Charleston "James Island 10" 0 356 314 0
Charleston "James Island 11" 1 381 321 1
Charleston "James Island 12" 0 238 292 0
Charleston "James Island 13" 0 297 312 0
Charleston "James Island 14" 0 225 287 0
Charleston "James Island 15" 1 424 314 1
Charleston "James Island 17" 1 419 322 1
Charleston "James Island 19" 1 440 276 1
Charleston "James Island 20" 1 427 236 1
Charleston "James Island 22" 1 439 261 1
Charleston "Johns Island 1A" 0 238 315 0
Charleston "Johns Island 1B" 0 369 219 0
Charleston "Johns Island 2" 3 748 667 3
Charleston "Johns Island 3A" 1 737 684 1
Charleston "Johns Island 3B" 0 382 371 0
Charleston "Johns Island 4" 0 281 175 0
Charleston "St. Pauls 1" 2 326 107 2
Charleston "St. Pauls 2A" 0 220 142 0
Charleston "St. Pauls 2B" 0 341 227 0
Charleston "St. Pauls 3" 1 278 590 1
Charleston "St. Pauls 4" 1 514 165 1
Charleston "St. Pauls 5" 0 201 216 0
Charleston "St. Pauls 6" 1 314 485 1
Charleston "St. Andrews 1" 0 138 69 0
Charleston "St. Andrews 2" 0 340 137 0
Charleston "St. Andrews 3" 1 424 110 1
Charleston "St. Andrews 4" 1 311 281 1
Charleston "St. Andrews 5" 1 322 225 1
Charleston "St. Andrews 6" 0 243 363 0
Charleston "St. Andrews 7" 0 405 387 0
Charleston "St. Andrews 8" 0 237 41 0
Charleston "St. Andrews 9" 1 416 37 1
Charleston "St. Andrews 10" 1 296 186 1
Charleston "St. Andrews 11" 0 206 241 0
Charleston "St. Andrews 12" 0 246 260 0
Charleston "St. Andrews 13" 2 254 254 2
Charleston "St. Andrews 14" 1 354 296 1
