COUNTY AREA TOTAL DEM REP None ACN Green LBT PSL None
COUNTY AREA TOTAL Biden Trump Boddie Cummings Hawkins Jorgensen LaRiva Simmons
"La Paz" "062 Vicksburg" 0 1 29 0 0 0 0 0 0
"La Paz" "064 Quartzsite Three" 0 14 84 0 0 0 1 0 0
Maricopa "0001 ACACIA" 0 134 205 0 0 0 12 0 0
Maricopa "0002 ACOMA" 0 45 193 0 0 0 1 0 0
Maricopa "0003 ACUNA" 0 179 43 0 0 0 2 0 0
Maricopa "0004 ADOBE" 0 48 144 0 0 0 3 0 0
Maricopa "0005 ADORA" 0 104 371 0 0 0 7 0 0
Maricopa "0006 AGUA FRIA" 0 8 47 0 0 0 1 0 0
Maricopa "0007 AGUILA" 0 28 60 0 0 0 0 0 0
Maricopa "0008 AHWATUKEE" 0 48 115 0 0 0 0 0 0
Maricopa "0009 AIRLINE CANAL" 0 116 157 0 0 0 6 0 0
Maricopa "0010 ALAMO" 0 162 210 0 0 0 8 0 0
Maricopa "0011 ALEXANDER" 0 51 126 0 0 0 2 0 0
Maricopa "0012 ALHAMBRA" 0 72 35 0 0 0 6 0 0
Maricopa "0013 ALPACA" 0 3 21 0 0 0 0 0 0
Maricopa "0014 ALSUP" 0 15 66 0 0 0 2 0 0
Maricopa "0015 ALTADENA" 0 14 76 0 0 0 1 0 0
Maricopa "0016 ALVARADO" 0 139 121 0 0 0 3 0 0
Maricopa "0017 AMBER" 0 23 69 0 0 0 3 0 0
Maricopa "0018 ANDERSON" 0 59 99 0 0 0 5 0 0
Maricopa "0019 ANDORA" 0 64 118 0 0 0 5 0 0
Maricopa "0020 ANGELA" 0 57 193 0 0 0 5 0 0
Maricopa "0021 ANNETTE" 0 76 158 0 0 0 3 0 0
Maricopa "0022 APACHE" 0 25 83 0 0 0 3 0 0
Maricopa "0023 APACHE PARK" 0 40 114 0 0 0 1 0 0
Maricopa "0024 APACHE WELLS" 0 62 237 0 0 0 3 0 0
Maricopa "0025 APPLEBY" 0 71 244 0 0 0 3 0 0
Maricopa "0026 ARBOLEDA" 0 45 200 0 0 0 8 0 0
Maricopa "0027 ARCADIA" 0 57 91 0 0 0 1 0 0
Maricopa "0028 ARDMORE" 0 114 93 0 0 0 4 0 0
Maricopa "0029 ARLINGTON" 0 0 14 0 0 0 0 0 0
Maricopa "0030 ARROWHEAD RANCH" 0 22 116 0 0 0 1 0 0
