COUNTY AREA TOTAL DEM REP LIB Knupp Elworth_Jr Grandanette Writein
COUNTY AREA TOTAL Axne Young Holder Knupp Elworth_Jr Grandanette Writein
Pottawattamie "CB 10B" 1415 557 821 31 2 3 1 0
Pottawattamie "CB 11" 1153 599 491 40 8 12 1 2
Pottawattamie "CB 12" 1162 500 605 40 7 7 3 0
Pottawattamie "CB 13" 596 324 237 22 3 9 1 0
Pottawattamie "CB 14" 625 343 242 23 4 10 2 1
Pottawattamie "CB 15" 670 345 278 28 6 10 2 1
Pottawattamie "CB 16" 698 339 299 40 8 8 3 1
Pottawattamie "CB 17" 936 501 381 37 4 11 1 1
Pottawattamie "CB 18" 863 421 410 17 5 6 4 0
Pottawattamie "CB 19" 632 319 282 16 3 9 3 0
Pottawattamie "CB 20" 773 314 420 29 6 3 1 0
Pottawattamie "CB 21" 648 275 339 18 5 8 3 0
Pottawattamie "Carter Lake 1" 585 239 310 14 3 15 3 1
Pottawattamie "Carter Lake 2" 553 216 290 19 2 23 3 0
Pottawattamie Avoca 766 294 448 14 4 4 1 1
Pottawattamie Carson 388 119 256 6 1 5 1 0
Pottawattamie Crescent 1292 467 770 38 9 3 5 0
Pottawattamie Garner 1591 505 1025 49 4 3 4 1
Pottawattamie GLWCW 397 92 293 5 2 1 2 2
Pottawattamie Hancock 191 59 128 3 1 0 0 0
Pottawattamie "Lewis 1" 1124 404 685 24 4 3 4 0
Pottawattamie "Lewis 2" 1276 424 807 31 6 3 5 0
Pottawattamie Macedonia 163 50 108 3 1 1 0 0
Pottawattamie McClelland 556 128 414 8 3 3 0 0
Pottawattamie Minden 610 179 421 7 1 1 1 0
Pottawattamie Neola 883 279 574 23 4 1 1 1
Pottawattamie Oakland 900 276 596 12 4 8 4 0
Pottawattamie Treynor 869 234 622 10 1 0 1 1
Pottawattamie Underwood 1308 487 781 30 3 4 3 0
Pottawattamie Walnut 365 139 211 9 4 2 0 0
Ringgold ATHENS 254 76 169 5 2 2 0 0
Ringgold CLINTON 152 56 92 3 1 0 0 0
Ringgold "MOUNT AYR 1" 546 190 342 7 3 3 1 0
Ringgold "MOUNT AYR 2" 568 195 361 5 4 2 1 0
Ringgold TINGLEY 152 35 113 1 1 1 1 0
Ringgold UNION 220 77 137 6 0 0 0 0
Ringgold WASHINGTON 382 87 279 8 2 3 3 0
Taylor "Bedford City - Legion" 543 146 384 9 1 2 1 0
Taylor "Bedford Township - Legion" 337 73 258 1 2 2 1 0
Taylor Blockton 149 33 111 2 2 1 0 0
Taylor Clearfield 155 41 106 4 2 1 1 0
Taylor Gravity 196 49 141 4 1 1 0 0
Taylor Lenox 705 245 434 13 8 3 1 1
Taylor "New Market" 343 86 249 3 2 2 1 0
Union Afton 674 209 428 18 12 3 4 0
Union "AR - Arispe" 226 58 158 7 2 1 0 0
Union "CS1 - Salem Lutheran Church" 440 186 220 24 3 6 1 0
Union "CS2 - SWCC" 1242 377 825 20 7 11 2 0
Union "CS3 - Trinity Lutheran Church" 610 287 299 11 5 5 3 0
Union "CS4 - Supertel" 528 223 284 7 7 7 0 0
Union "CS5 - Crest Baptist Church" 834 299 505 22 6 0 2 0
Union "LR - Lorimor" 303 78 211 5 2 5 2 0
Warren "Allen 2" 873 397 439 22 3 8 3 1
Warren "Allen 3" 1177 535 604 20 5 9 4 0
Warren Belmont 200 43 144 8 3 1 1 0
Warren "Cumming / WDM" 371 133 217 11 5 4 1 0
Warren "Greenfield 1 - GR Twp" 774 334 414 12 5 4 4 1
Warren "Greenfield 1/DM 85" 810 414 358 21 7 4 5 1
Warren "Greenfield 1/DM 86" 84 42 40 2 0 0 0 0
Warren "Greenfield 2/Lincoln 2" 1192 457 698 22 8 5 2 0
Warren "Indianola 1" 719 348 351 11 2 2 5 0
Warren "Indianola 2" 1175 606 525 25 6 5 6 2
Warren "Indianola 3" 551 320 215 13 0 2 0 1
Warren "Indianola 4" 1459 742 689 19 4 2 2 1
Warren "Indianola 5" 930 402 486 24 4 9 2 3
Warren "Indianola 6" 728 325 374 15 4 5 5 0
Warren "Indianola 7" 1319 602 643 46 10 11 7 0
Warren Jackson 506 190 287 18 5 1 4 1
Warren Jefferson 875 307 536 21 3 5 3 0
Warren Liberty 238 67 157 9 2 1 2 0
Warren "Lincoln 1-LC Twp (2)" 388 142 228 11 1 5 1 0
Warren "Norwalk 1" 1390 605 736 33 6 8 2 0
Warren "Norwalk 2 / Greenfield 1" 1034 513 489 13 4 10 3 2
Warren "Norwalk 3/Linn" 1866 843 960 37 12 6 6 2
Warren "Norwalk 4" 1726 766 905 38 3 7 7 0
Warren Otter/Milo 745 249 466 18 6 4 2 0
Warren Palmyra 286 93 191 1 1 0 0 0
Warren Richland/Palmyra 572 207 328 17 6 9 5 0
Warren "Squaw Creek" 367 115 233 13 2 2 2 0
Warren Union 292 93 189 6 1 2 1 0
Warren Virginia 523 167 330 10 12 3 1 0
Warren "White Breast" 339 123 201 10 3 0 2 0
Warren "White Oak" 542 183 345 6 3 2 1 2
