COUNTY AREA TOTAL DEM REP DEM2
COUNTY AREA TOTAL Dem Rep Dem2
Napa 521226 4 3 1 0
Napa 521226A 295 229 58 0
Napa 561141 0 0 0 0
Napa 561141A 2 1 1 0
Napa 561142 1 0 1 0
Napa 561142A 8 5 3 0
Napa 561340 135 82 51 0
Napa 561340A 2039 1548 398 0
Napa 561341 3 3 0 0
Napa 561341A 62 48 12 0
Napa 561342 76 43 33 0
Napa 561342A 1223 891 275 0
Napa 561343 72 41 30 0
Napa 561343A 897 638 218 0
Napa 561344 102 43 59 0
Napa 561344A 957 692 227 0
Napa 561345 49 27 20 0
Napa 561345A 729 528 156 0
Napa 561346 80 55 24 0
Napa 561346A 981 716 229 0
Napa 561347 63 34 24 0
Napa 561347A 948 708 192 0
Napa 561348 9 3 6 0
Napa 561348A 177 131 30 0
Napa 561349 127 61 62 0
Napa 561349A 1845 1393 353 0
Napa SOV_CD05 0 52204 18472 0
Napa SOV_SD03 0 0 0 0
Napa SOV_AD04 0 0 0 0
Napa SOV_BE02 0 0 0 0
Napa SOV_AD00 0 0 0 0
Napa SOV_CD00 0 0 0 0
Napa SOV_SD00 0 0 0 0
Napa SOV_BE00 0 0 0 0
Sonoma 1002 18 13 2 0
Sonoma 1002A 18 15 2 0
Sonoma 1003 1 1 0 0
Sonoma 1003A 0 0 0 0
Sonoma 1005 34 14 19 0
Sonoma 1005A 69 53 15 0
Sonoma 1006 0 0 0 0
Sonoma 1006A 0 0 0 0
Sonoma 1007 18 16 1 0
Sonoma 1007A 39 34 4 0
Sonoma 1008 23 14 7 0
Sonoma 1008A 105 81 22 0
Sonoma 1009 45 28 16 0
Sonoma 1009A 85 61 24 0
Sonoma 1012 3 3 0 0
Sonoma 1012A 17 13 4 0
Sonoma 1017 203 143 56 0
Sonoma 1017A 530 450 72 0
Sonoma 1018 6 4 1 0
Sonoma 1018A 7 4 3 0
Sonoma 1022 17 12 5 0
Sonoma 1022A 25 15 8 0
Sonoma 1023 125 83 33 0
Sonoma 1023A 347 281 60 0
Sonoma 1024 15 8 6 0
Sonoma 1024A 17 9 7 0
Sonoma 1027 2 1 1 0
Sonoma 1027A 0 0 0 0
Sonoma 1029 0 0 0 0
Sonoma 1029A 0 0 0 0
Sonoma 1031 34 14 17 0
Sonoma 1031A 117 79 37 0
Sonoma 1032 29 23 5 0
Sonoma 1032A 149 123 21 0
Sonoma 1033 18 9 9 0
Sonoma 1033A 42 38 4 0
Sonoma 1039 0 0 0 0
Sonoma 1039A 1 0 1 0
Sonoma 1040 8 5 3 0
Sonoma 1040A 45 34 10 0
Sonoma 1041 4 3 0 0
Sonoma 1041A 12 12 0 0
Sonoma 1043 7 2 5 0
Sonoma 1043A 5 5 0 0
Sonoma 1044 0 0 0 0
Sonoma 1044A 2 2 0 0
Sonoma 1045 8 7 1 0
Sonoma 1045A 50 39 10 0
Sonoma 1046 0 0 0 0
Sonoma 1046A 0 0 0 0
Sonoma 1047 40 23 16 0
Sonoma 1047A 142 98 41 0
Sonoma 1048 29 14 15 0
Sonoma 1048A 118 86 30 0
Sonoma 1049 25 18 7 0
Sonoma 1049A 63 57 5 0
Sonoma 1052 29 22 6 0
Sonoma 1052A 80 63 15 0
Sonoma 1053 39 17 19 0
Sonoma 1053A 112 88 19 0
Sonoma 1054 3 3 0 0
Sonoma 1054A 14 13 1 0
Sonoma 1055 55 35 15 0
Sonoma 1055A 119 91 26 0
Sonoma 1056 50 30 18 0
Sonoma 1056A 170 127 40 0
Sonoma 1057 2 0 2 0
Sonoma 1057A 19 11 8 0
Sonoma 1058 3 3 0 0
Sonoma 1058A 8 6 2 0
Sonoma 1059 0 0 0 0
Sonoma 1059A 0 0 0 0
Sonoma 1061 8 5 3 0
Sonoma 1061A 19 12 7 0
Sonoma 1062 1 1 0 0
Sonoma 1062A 9 9 0 0
Sonoma 1063 5 4 1 0
