COUNTY AREA TOTAL DEM REP LIB WI
COUNTY AREA TOTAL Baxley Armistead Adams WRITEIN
Clay "Millerville F.D. 08" 0 45 75 3 0
Clay "Millerville F.D. 22" 0 70 69 3 0
Clay "Tri-Community F.D. 10" 0 46 72 3 0
Clay "Tri-Community F.D. 23" 0 63 43 2 0
Clay Challenged 0 0 0 0 0
Cleburne "ABSENTEE VOTERS" 0 113 63 3 1
Cleburne ABEL 0 44 76 3 1
Cleburne "BEASON MILL" 0 55 62 6 0
Cleburne "BELLS MILL" 0 128 108 5 1
Cleburne "BORDEN SPRINGS VOL_ FIRE" 0 49 28 5 1
Cleburne "BUD BLAKE" 0 60 34 5 0
Cleburne CAVENDER 0 35 53 2 0
Cleburne CHULAFINNIE 0 249 222 8 1
Cleburne EDWARDSVILLE 0 103 125 14 2
Cleburne FRUITHURST 0 106 91 6 0
Cleburne "HEFLIN NATIONAL GUARD ARMORY 1" 0 431 279 13 1
Cleburne "HEFLIN NATIONAL GUARD ARMORY 2" 0 333 247 9 1
Cleburne HIGHTOWER 0 145 177 8 0
Cleburne HOPEWELL 0 71 109 8 0
Cleburne MUSCADINE 0 91 76 11 2
Cleburne "OAK LEVEL VOL FIRE DEPARTMENT" 0 107 66 5 1
Cleburne "PLAINVIEW COMMUNITY CENTER" 0 45 82 0 1
Cleburne "RANBURNE RESCUE SQUAD BUILDING" 0 198 336 14 7
Coffee "ABSENTEE VOTERS" 0 171 157 5 1
Coffee BASIN 0 71 47 4 0
Coffee "BLUFF SPRINGS" 0 37 8 0 0
Coffee "CHESTNUT GROVE" 0 45 41 5 0
Coffee "COOL SPRINGS" 0 134 166 6 1
Coffee DAMASCUS 0 189 165 4 2
Coffee "DANLEYS CROSS ROADS" 0 88 33 1 0
Coffee EANON 0 76 113 7 1
Coffee "ELBA MULBERRY HEIGHTS" 0 193 10 7 0
Coffee "ELBA RESERVE ARMORY" 0 374 165 6 2
Coffee "ENTERPRISE CIVIC CENTER" 0 355 335 16 2
Coffee "ENTERPRISE RECREATION CENTER 1" 0 642 834 17 4
Coffee "ENTERPRISE RECREATION CENTER 2" 0 265 354 9 1
Coffee "ENTERPRISE YMCA 1" 0 277 382 13 4
Coffee "ENTERPRISE YMCA 2" 0 526 655 19 2
Coffee FAIRVIEW 0 19 24 0 0
Coffee FRESCO 0 173 99 2 1
Coffee GOODMAN 0 148 117 4 0
Coffee "HERITAGE CHURCH - ENTERPRISE" 0 282 314 15 0
Coffee "HOLLEYS STORE" 0 33 10 0 0
Coffee "INO COMMUNITY" 0 64 57 4 1
Coffee "JOHNS CHAPEL AME CHURCH 1" 0 716 158 21 5
