COUNTY AREA TOTAL DEM REP CST GRE LIB
COUNTY AREA TOTAL DEM REP CST GRE LIB
CABARRUS 01-04 0 542 600 0 0 0
CABARRUS 01-06 0 357 401 0 0 0
CABARRUS 01-07 0 232 456 0 0 0
CABARRUS 01-08 0 536 596 0 0 0
CABARRUS 01-09 0 92 218 0 0 0
CABARRUS 01-10 0 310 480 0 0 0
CABARRUS 02-01 0 240 419 0 0 0
CABARRUS 02-02 0 551 710 0 0 0
CABARRUS 02-03 0 633 934 0 0 0
CABARRUS 02-05 0 507 768 0 0 0
CABARRUS 02-06 0 480 409 0 0 0
CABARRUS 02-07 0 346 565 0 0 0
CABARRUS 02-08 0 770 791 0 0 0
CABARRUS 02-09 0 846 706 0 0 0
CABARRUS 03-00 0 407 831 0 0 0
CABARRUS 04-01 0 305 351 0 0 0
CABARRUS 04-02 0 364 313 0 0 0
CABARRUS 04-03 0 356 436 0 0 0
CABARRUS 04-04 0 181 196 0 0 0
CABARRUS 04-05 0 177 188 0 0 0
CABARRUS 04-06 0 221 261 0 0 0
CABARRUS 04-07 0 144 376 0 0 0
CABARRUS 04-08 0 132 293 0 0 0
CABARRUS 04-09 0 283 638 0 0 0
CABARRUS 04-10 0 355 538 0 0 0
CABARRUS 05-00 0 140 615 0 0 0
CABARRUS 06-00 0 135 742 0 0 0
CABARRUS 07-00 0 82 426 0 0 0
CABARRUS 08-00 0 235 1099 0 0 0
CABARRUS 09-00 0 168 765 0 0 0
CABARRUS 10-00 0 369 1325 0 0 0
CABARRUS 11-01 0 609 665 0 0 0
CABARRUS 11-02 0 240 705 0 0 0
CABARRUS 12-01 0 102 111 0 0 0
CABARRUS 12-02 0 291 151 0 0 0
CABARRUS 12-03 0 214 368 0 0 0
CABARRUS 12-04 0 245 252 0 0 0
CABARRUS 12-05 0 258 421 0 0 0
CABARRUS 12-06 0 249 252 0 0 0
CABARRUS 12-07 0 348 29 0 0 0
CABARRUS 12-08 0 152 193 0 0 0
CABARRUS 12-09 0 250 469 0 0 0
CABARRUS 12-10 0 152 265 0 0 0
CABARRUS 12-11 0 172 239 0 0 0
CABARRUS 12-12 0 234 423 0 0 0
CABARRUS ABSENTEE 0 1383 1068 0 0 0
CABARRUS OS-CFS 0 2460 2730 0 0 0
CABARRUS OS-HBP 0 4459 4348 0 0 0
CABARRUS OS-KTD 0 4137 3619 0 0 0
CABARRUS OS-LOB 0 5418 6820 0 0 0
CABARRUS PROVISIONAL 0 347 299 0 0 0
CABARRUS TRANSFER 0 0 0 0 0 0
CALDWELL "ABSENTEE MAIL" 0 142 213 0 0 5
CALDWELL "OS GRANITE FALLS" 0 1317 4815 0 0 88
CALDWELL "OS LENOIR" 0 2831 6414 0 0 132
CALDWELL PR01 0 155 357 0 0 7
CALDWELL PR02 0 90 225 0 0 4
CALDWELL PR07 0 93 366 0 0 7
CALDWELL PR08 0 93 267 0 0 11
CALDWELL PR13 0 101 606 0 0 16
CALDWELL PR14 0 140 317 0 0 20
CALDWELL PR16 0 144 140 0 0 6
CALDWELL PR17 0 110 253 0 0 11
CALDWELL PR18 0 161 510 0 0 18
CALDWELL PR21 0 130 545 0 0 15
CALDWELL PR22 0 96 543 0 0 14
CALDWELL PR24 0 49 270 0 0 8
CALDWELL PR25 0 59 250 0 0 8
CALDWELL PR29 0 158 283 0 0 16
CALDWELL PR30 0 173 197 0 0 6
CALDWELL PR31 0 81 152 0 0 3
CALDWELL PR32 0 115 555 0 0 16
CALDWELL PR33 0 223 789 0 0 23
CALDWELL PR34 0 175 770 0 0 31
CALDWELL PR35 0 55 330 0 0 7
CALDWELL PROVISIONAL 0 10 45 0 0 3
CASWELL ABSENTEE 0 53 92 0 0 0
CASWELL ANDE 0 110 329 0 0 0
CASWELL CURBSIDE 0 0 0 0 0 0
CASWELL LEAS 0 161 196 0 0 0
CASWELL LOCU 0 609 443 0 0 0
CASWELL MILT 0 684 449 0 0 0
CASWELL "OS CURBSIDE" 0 79 16 0 0 0
CASWELL PELH 0 518 954 0 0 0
CASWELL PH 0 382 627 0 0 0
CASWELL PROVI 0 155 284 0 0 0
CASWELL PROVISIONAL 0 11 5 0 0 0
CASWELL STON 0 399 651 0 0 0
CASWELL YANC 0 568 513 0 0 0
CATAWBA 01 0 288 1459 0 0 0
CATAWBA 02 0 255 910 0 0 0
CATAWBA 03 0 280 845 0 0 0
CATAWBA 04 0 187 170 0 0 0
CATAWBA 05 0 440 1072 0 0 0
CATAWBA 06 0 387 924 0 0 0
CATAWBA 07 0 553 845 0 0 0
CATAWBA 08 0 435 1025 0 0 0
CATAWBA 09 0 186 1073 0 0 0
CATAWBA 10 0 153 93 0 0 0
CATAWBA 11 0 289 284 0 0 0
CATAWBA 12 0 564 146 0 0 0
CATAWBA 13 0 365 268 0 0 0
CATAWBA 14 0 453 540 0 0 0
CATAWBA 15 0 290 10 0 0 0
CATAWBA 16 0 526 645 0 0 0
CATAWBA 17 0 278 398 0 0 0
CATAWBA 19 0 206 360 0 0 0
CATAWBA 20 0 389 1184 0 0 0
CATAWBA 21 0 223 747 0 0 0
CATAWBA 22 0 451 1187 0 0 0
CATAWBA 23 0 706 1548 0 0 0
CATAWBA 24 0 575 1600 0 0 0
CATAWBA 25 0 315 517 0 0 0
CATAWBA 26 0 487 631 0 0 0
CATAWBA 27 0 426 1347 0 0 0
CATAWBA 28 0 484 993 0 0 0
CATAWBA 29 0 344 933 0 0 0
CATAWBA 30 0 722 1127 0 0 0
CATAWBA 31 0 613 1871 0 0 0
CATAWBA 32 0 576 830 0 0 0
CATAWBA 33 0 846 2238 0 0 0
CATAWBA 34 0 743 1896 0 0 0
CATAWBA 35 0 388 574 0 0 0
CATAWBA 36 0 515 889 0 0 0
CATAWBA 37 0 540 706 0 0 0
CATAWBA 38 0 623 1118 0 0 0
CATAWBA 39 0 463 1065 0 0 0
CATAWBA 40 0 330 483 0 0 0
CATAWBA 41 0 449 1489 0 0 0
CHATHAM 15 0 261 207 0 0 0
CHATHAM 18 0 139 384 0 0 0
CHATHAM 20 0 224 435 0 0 0
CHATHAM 21 0 200 269 0 0 0
CHATHAM 24 0 28 296 0 0 0
CHATHAM 3 0 146 454 0 0 0
CHATHAM 30 0 120 257 0 0 0
CHATHAM 42 0 179 335 0 0 0
CHATHAM 45 0 95 209 0 0 0
CHATHAM 6 0 58 303 0 0 0
CHATHAM 75 0 509 595 0 0 0
CHATHAM 78 0 386 360 0 0 0
CHATHAM 85 0 235 283 0 0 0
CHATHAM 9 0 107 332 0 0 0
CHATHAM "ABSENTEE BY MAIL" 0 744 335 0 0 0
CHATHAM ESC114 0 392 322 0 0 0
CHATHAM MCH110 0 736 516 0 0 0
CHATHAM NWM117 0 587 373 0 0 0
CHATHAM "ONE STOP" 0 14597 8683 0 0 0
CHATHAM PIT113 0 668 529 0 0 0
CHATHAM PROVISIONAL 0 33 49 0 0 0
CHEROKEE ANNW 0 188 529 0 0 16
CHEROKEE ANSW 0 200 586 0 0 21
CHEROKEE BELL 0 179 480 0 0 8
CHEROKEE BRAS 0 148 329 0 0 2
CHEROKEE CSON 0 100 344 0 0 7
CHEROKEE GCRK 0 38 205 0 0 5
CHEROKEE HANG 0 59 376 0 0 8
CHEROKEE HIWA 0 222 784 0 0 18
CHEROKEE HOTH 0 138 546 0 0 17
CHEROKEE MARB 0 124 506 0 0 17
CHEROKEE MURN 0 297 724 0 0 17
CHEROKEE MURS 0 272 870 0 0 23
CHEROKEE PCHT 0 261 840 0 0 22
CHEROKEE RGER 0 210 648 0 0 14
CHEROKEE TOPT 0 44 208 0 0 2
CHEROKEE UNKA 0 77 216 0 0 5
CLAY BRAS 0 143 326 0 0 17
CLAY HAY1 0 174 521 0 0 19
CLAY HAY2 0 245 583 0 0 26
CLAY HAYC 0 70 170 0 0 6
CLAY HIAW 0 212 602 0 0 16
CLAY SHCR 0 131 586 0 0 18
CLAY SWEE 0 107 290 0 0 14
CLAY TUSQ 0 110 314 0 0 10
CLAY WARN 0 116 325 0 0 12
CLEVELAND BETHWR 0 206 733 0 0 0
CLEVELAND BR 0 675 1807 0 0 0
CLEVELAND CASAR 0 85 644 0 0 0
CLEVELAND FALSTN 0 131 659 0 0 0
CLEVELAND GROVER 0 393 1113 0 0 0
CLEVELAND KINGST 0 338 191 0 0 0
CLEVELAND "KM N" 0 853 1502 0 0 0
CLEVELAND "KM S" 0 769 1341 0 0 0
CLEVELAND LATT 0 275 1130 0 0 0
CLEVELAND LAWNDL 0 443 469 0 0 0
CLEVELAND MRB-YO 0 169 619 0 0 0
CLEVELAND MULLS 0 182 763 0 0 0
CLEVELAND OAKGRV 0 393 1380 0 0 0
CLEVELAND POLKVL 0 232 991 0 0 0
CLEVELAND RIPPY 0 552 1180 0 0 0
CLEVELAND "S 4A" 0 1181 1233 0 0 0
CLEVELAND "S 5" 0 662 762 0 0 0
CLEVELAND "S C" 0 1676 1687 0 0 0
CLEVELAND "S S" 0 1361 1505 0 0 0
CLEVELAND SHANGI 0 439 1019 0 0 0
CLEVELAND WACO 0 548 1071 0 0 0
COLUMBUS P01A 0 358 463 17 0 0
COLUMBUS P02B 0 377 171 7 0 0
COLUMBUS P03 0 51 210 4 0 0
COLUMBUS P04 0 68 113 2 0 0
COLUMBUS P05 0 50 176 4 0 0
COLUMBUS P06 0 125 382 5 0 0
COLUMBUS P07 0 739 765 31 0 0
COLUMBUS P08 0 23 210 2 0 0
COLUMBUS P09 0 294 285 9 0 0
COLUMBUS P10 0 45 359 2 0 0
COLUMBUS P11 0 117 354 2 0 0
COLUMBUS P12 0 24 84 3 0 0
COLUMBUS P13 0 67 264 5 0 0
COLUMBUS P14 0 927 876 24 0 0
COLUMBUS P15 0 498 612 13 0 0
COLUMBUS P16B 0 311 587 19 0 0
COLUMBUS P17 0 407 223 4 0 0
COLUMBUS P18 0 107 184 5 0 0
COLUMBUS P19 0 637 664 8 0 0
COLUMBUS P20A 0 252 134 3 0 0
COLUMBUS P21 0 184 457 11 0 0
COLUMBUS P22A 0 318 703 13 0 0
COLUMBUS P23 0 488 595 14 0 0
COLUMBUS P24 0 113 803 14 0 0
