DIST COUNTY AREA TOTAL DEM REP NPA NPA OverVotes REF NPA UnderVotes WriteinVotes
DIST COUNTY AREA TOTAL Gillum DeSantis Foley Gibson OverVotes Richardson Stanley UnderVotes WriteinVotes
NA Brevard 433 0 5 20 0 0 0 0 0 0 0
NA Brevard 434 0 4 2 0 0 0 0 0 0 0
NA Brevard 435 0 20 33 0 0 1 0 0 0 0
NA Brevard 436 0 0 0 0 0 0 0 0 0 0
NA Brevard 437 0 125 214 0 0 1 1 0 0 0
NA Brevard 438 0 0 0 0 0 0 0 0 0 0
NA Brevard 439 0 0 0 0 0 0 0 0 0 0
NA Brevard 440 0 4 9 0 0 0 0 0 0 0
NA Brevard 441 0 491 635 0 2 1 4 1 9 0
NA Brevard 442 0 0 0 0 0 0 0 0 0 0
NA Brevard 443 0 0 0 0 0 0 0 0 0 0
NA Brevard 500 0 463 575 5 7 7 9 3 12 2
NA Brevard 501 0 227 241 0 3 0 3 0 3 0
NA Brevard 502 0 753 1118 7 6 5 24 7 5 3
NA Brevard 503 0 896 1288 2 11 2 14 2 23 7
NA Brevard 504 0 211 363 2 5 2 7 1 1 2
NA Brevard 505 0 984 1586 3 4 1 15 3 24 1
NA Brevard 506 0 770 1066 2 5 2 6 2 9 4
NA Brevard 507 0 1142 1551 8 22 7 28 8 21 2
NA Brevard 508 0 553 873 0 6 1 10 2 5 1
NA Brevard 509 0 247 204 3 3 4 3 0 3 1
NA Brevard 510 0 2467 2748 12 22 10 36 6 31 10
NA Brevard 511 0 524 1239 7 7 4 18 7 14 3
NA Brevard 512 0 593 1443 2 14 3 16 4 15 4
NA Brevard 513 0 149 257 0 2 4 5 0 6 1
NA Brevard 515 0 968 1426 2 9 8 18 4 18 3
NA Brevard 516 0 2057 1716 7 10 11 20 12 20 2
NA Brevard 517 0 1824 1665 6 12 1 26 13 20 1
NA Brevard 518 0 935 1389 6 10 4 12 5 16 3
NA Brevard 519 0 2050 1679 12 20 10 36 3 15 3
NA Brevard 520 0 1427 1364 6 12 7 13 4 18 7
NA Brevard 521 0 1528 1496 5 8 8 20 8 17 2
NA Brevard 522 0 106 179 0 0 1 2 0 3 0
NA Brevard 523 0 261 314 4 4 0 3 0 10 2
NA Brevard 524 0 3 6 0 1 0 0 0 0 0
NA Brevard 525 0 436 692 3 1 0 5 3 4 3
NA Brevard 527 0 686 772 6 3 3 6 2 11 0
NA Brevard 528 0 335 298 0 5 6 9 1 3 0
NA Brevard 529 0 465 572 4 5 1 9 4 5 2
NA Brevard 530 0 226 358 0 4 3 3 1 4 1
NA Brevard 531 0 0 4 0 0 0 0 0 0 0
NA Brevard 999 0 151 210 0 3 0 4 0 2 1
NA Broward A001 0 1118 1615 4 8 9 7 2 11 3
NA Broward A002 0 441 311 2 3 5 3 1 2 4
NA Broward A003 0 622 552 2 2 8 6 1 7 1
NA Broward A004 0 512 353 0 0 2 3 0 3 1
NA Broward A005 0 467 566 1 1 6 2 0 13 0
NA Broward A006 0 846 353 0 2 6 5 1 4 0
NA Broward A007 0 555 508 0 4 3 5 2 4 1
NA Broward A008 0 285 33 0 0 1 1 0 6 0
NA Broward A009 0 1055 847 1 2 14 8 4 14 0
NA Broward A010 0 313 350 1 2 3 1 3 1 0
NA Broward A011 0 1144 22 1 1 5 1 1 4 0
NA Broward A012 0 681 484 4 5 8 7 1 12 2
NA Broward A013 0 1084 818 1 3 5 7 2 6 1
NA Broward A014 0 1160 647 3 3 6 8 1 11 4
NA Broward A015 0 1097 51 1 0 6 2 1 2 0
NA Broward A016 0 683 469 2 1 8 1 3 9 0
NA Broward A017 0 133 109 0 0 2 4 0 2 0
NA Broward A018 0 660 116 1 1 7 4 0 4 0
NA Broward A019 0 565 444 2 2 0 6 1 1 0
NA Broward A020 0 691 384 1 0 6 4 1 6 0
NA Broward A021 0 692 185 0 1 3 4 0 4 0
NA Broward A022 0 785 62 0 0 1 0 2 5 1
NA Broward A023 0 427 56 0 1 3 1 0 6 0
NA Broward A024 0 574 96 0 0 1 0 3 0 0
NA Broward B001 0 206 650 0 1 1 4 0 4 0
NA Broward B002 0 443 847 0 2 8 1 0 4 0
NA Broward B003 0 270 604 0 1 2 2 1 6 0
NA Broward B004 0 509 1209 0 3 4 4 3 11 2
NA Broward B005 0 221 270 1 0 3 5 1 5 0
NA Broward B006 0 194 303 0 1 2 3 2 2 0
NA Broward C001 0 874 1074 2 3 9 6 1 11 1
NA Broward C002 0 255 398 3 1 1 5 1 2 1
NA Broward C003 0 305 302 2 2 1 0 2 4 0
NA Broward C004 0 410 522 1 1 5 1 0 6 0
NA Broward C005 0 1379 31 2 0 2 2 2 3 0
NA Broward C006 0 1724 80 1 2 4 3 0 6 1
NA Broward C007 0 141 184 0 0 1 0 0 6 0
NA Broward C008 0 337 375 5 0 3 0 0 7 1
NA Broward C009 0 296 84 0 0 0 2 0 0 1
NA Broward C010 0 777 683 4 4 0 9 2 16 0
NA Broward C011 0 556 657 1 0 8 4 1 9 0
NA Broward C012 0 508 562 3 0 1 1 0 4 0
NA Broward C013 0 322 359 0 1 2 7 0 4 0
NA Broward C014 0 325 408 4 2 3 1 1 2 1
NA Broward C015 0 1237 64 1 1 4 3 0 4 1
NA Broward C016 0 845 1067 1 3 3 7 2 7 1
NA Broward C017 0 302 476 0 0 0 2 3 2 3
NA Broward C018 0 441 593 1 2 1 4 0 8 0
NA Broward C019 0 396 635 0 1 3 1 0 2 1
NA Broward C020 0 435 60 0 3 3 0 1 1 0
NA Broward C021 0 643 460 4 2 4 2 0 9 1
NA Broward C022 0 376 618 1 4 3 4 0 4 0
NA Broward C023 0 2341 1261 1 4 9 5 7 24 2
NA Broward C024 0 1065 579 1 4 14 5 3 13 0
NA Broward C025 0 353 26 1 0 1 0 1 2 0
NA Broward C026 0 236 76 1 1 3 3 5 0 0
NA Broward C027 0 196 39 0 0 2 0 0 0 0
NA Broward C028 0 1593 40 0 2 8 2 3 5 0
NA Broward C029 0 312 281 1 0 4 3 2 4 0
NA Broward C030 0 721 442 1 2 11 2 1 9 0
NA Broward C031 0 811 387 2 4 11 6 1 5 0
NA Broward C032 0 180 31 1 1 3 0 0 1 1
NA Broward C033 0 279 139 3 2 5 0 3 4 1
NA Broward C034 0 897 478 1 2 7 5 5 8 0
NA Broward C035 0 698 77 1 1 8 3 0 3 0
NA Broward C036 0 175 36 0 1 2 1 1 0 0
NA Broward C037 0 340 305 0 1 2 1 2 11 0
NA Broward C038 0 57 70 0 0 0 0 0 0 1
NA Broward D001 0 628 392 0 4 1 3 2 7 0
NA Broward D002 0 816 260 1 1 9 3 1 10 0
NA Broward D003 0 772 463 4 2 2 3 1 9 0
NA Broward D004 0 660 262 0 0 2 4 4 3 1
NA Broward D005 0 1157 207 1 0 3 5 0 3 1
NA Broward D006 0 733 331 1 3 2 3 1 2 1
NA Broward D007 0 597 72 1 1 1 2 0 3 0
NA Broward D008 0 664 354 0 2 5 1 2 2 1
NA Broward D009 0 1498 191 1 2 2 3 0 3 2
NA Broward D010 0 379 76 0 0 1 3 3 2 1
NA Broward D011 0 150 16 0 0 2 1 0 0 0
NA Broward D012 0 306 32 0 0 0 1 0 1 0
NA Broward D013 0 694 137 0 1 4 1 1 4 0
NA Broward D014 0 543 268 1 2 5 4 2 5 0
NA Broward D015 0 830 415 2 4 4 5 0 4 0
NA Broward D016 0 1209 625 3 4 9 3 6 9 0
NA Broward E001 0 290 40 1 1 1 3 0 0 0
NA Broward E002 0 944 348 1 3 0 5 0 12 1
