COUNTY AREA TOTAL DEM REP LIB
COUNTY AREA TOTAL Tester Rosendale Breckenridge
Lake "FER 1 HD10" 0 273 427 18
Lake "PAB 1_HD93" 0 153 234 7
Lake "PAB 2_HD15" 0 553 374 27
Lake "POL 1 HD12" 0 403 439 20
Lake "POL 2 HD12" 0 367 484 17
Lake "POL 3 HD12" 0 276 211 14
Lake "POL 4 HD12" 0 659 529 24
Lake "POL 5 HD12" 0 766 645 53
Lake "POL 6 HD93" 0 82 152 8
Lake "POL 7 HD93" 0 243 249 9
Lake "POL 8 HD15" 0 10 16 1
Lake "RON 1 HD93" 0 652 530 41
Lake "RON 2 HD15" 0 366 277 17
Lake "STI 1 HD93" 0 341 298 23
Lake "STI 2 HD15" 0 464 255 14
Lake "SWA 1 HD10" 0 24 66 0
Lake "SWA 2 HD15" 0 32 78 1
"Lewis & Clark" "PCT 01" 0 515 553 43
"Lewis & Clark" "PCT 02" 0 546 603 29
"Lewis & Clark" "PCT 03" 0 573 485 35
"Lewis & Clark" "PCT 04" 0 580 521 29
"Lewis & Clark" "PCT 05" 0 698 246 33
"Lewis & Clark" "PCT 06" 0 719 518 34
"Lewis & Clark" "PCT 07" 0 759 328 19
"Lewis & Clark" "PCT 08" 0 1157 285 20
"Lewis & Clark" "PCT 09" 0 935 387 25
"Lewis & Clark" "PCT 10" 0 652 915 36
"Lewis & Clark" "PCT 11" 0 621 561 41
"Lewis & Clark" "PCT 12" 0 333 378 28
"Lewis & Clark" "PCT 13" 0 1455 421 28
"Lewis & Clark" "PCT 14" 0 943 131 24
"Lewis & Clark" "PCT 15" 0 447 312 34
"Lewis & Clark" "PCT 16" 0 339 192 14
"Lewis & Clark" "PCT 16A" 0 104 55 4
"Lewis & Clark" "PCT 16B" 0 429 221 11
"Lewis & Clark" "PCT 17" 0 925 219 24
"Lewis & Clark" "PCT 18" 0 668 411 28
"Lewis & Clark" "PCT 19" 0 369 359 28
"Lewis & Clark" "PCT 20" 0 612 506 58
"Lewis & Clark" "PCT 21" 0 558 723 33
"Lewis & Clark" "PCT 22" 0 481 132 12
"Lewis & Clark" "PCT 23" 0 553 477 26
"Lewis & Clark" "PCT 24" 0 905 506 30
"Lewis & Clark" "PCT 25" 0 729 334 23
"Lewis & Clark" "PCT 26" 0 998 730 34
"Lewis & Clark" "PCT 27" 0 688 767 61
"Lewis & Clark" "PCT 28" 0 473 647 31
"Lewis & Clark" "PCT 29" 0 246 247 10
"Lewis & Clark" "PCT 30" 0 67 106 2
"Lewis & Clark" "PCT 31" 0 218 384 21
"Lewis & Clark" "PCT 32" 0 17 62 0
"Lewis & Clark" "PCT 33" 0 116 224 11
"Lewis & Clark" "PCT 33A" 0 10 52 2
"Lewis & Clark" "PCT 33B" 0 68 108 6
Liberty "#1 Precinct - West" 0 89 213 10
Liberty "#2 Precinct - North" 0 120 122 3
Liberty "#3 Precinct - South" 0 94 129 6
Liberty "#4 Precinct - Joplin" 0 62 122 11
Lincoln "CITY OF LIBBY" 0 468 586 53
Lincoln "EUREKA RURAL" 0 464 1263 35
Lincoln FORTINE 0 119 330 10
Lincoln "LIBBY EAST" 0 132 519 13
Lincoln "LIBBY NORTH" 0 276 526 17
Lincoln "LIBBY WEST" 0 296 686 44
Lincoln LIBBY/PLUMMER 0 340 560 32
Lincoln "MC CORMICK" 0 88 166 9
Lincoln "TOWN OF EUREKA" 0 135 281 21
Lincoln TREGO 0 76 208 13
Lincoln "TROY COMBINED" 0 148 250 15
Lincoln "TROY NORTH" 0 73 166 5
Lincoln "TROY RURAL" 0 242 489 29
Lincoln YAAK 0 45 107 2
Madison "ALDER - WARD 2" 0 63 106 6
Madison "ENNIS - RURAL" 0 679 1036 49
Madison "ENNIS - TOWN" 0 237 234 27
Madison "HARRISON - WARD 2" 0 119 210 21
Madison "JEFFERSON ISLAND - WARD 1" 0 52 155 4
Madison SHERIDAN 0 395 593 25
Madison "TWIN BRIDGES" 0 258 485 33
Madison "VIRGINIA CITY - WARD 1" 0 87 79 6
McCone "PRECINCT 27" 0 67 201 9
McCone "PRECINCT 4" 0 96 304 10
McCone "PRECINCT 8" 0 64 268 10
Meagher "Precinct 5" 0 319 629 28
Mineral ALBERTON 0 179 163 13
Mineral "ST. REGIS" 0 138 220 16
Mineral SUPERIOR_24 0 81 77 14
Mineral SUPERIOR_25 0 157 270 10
Mineral SUPERIOR_30 0 195 349 29
Mineral "WEST END" 0 35 102 10
Missoula "BONNER 89" 0 105 74 1
Missoula "BONNER 92" 0 771 526 37
Missoula "CHIEF CHARLO 90" 0 883 418 24
Missoula "CLINTON 89" 0 220 230 15
Missoula "CLINTON 92" 0 297 305 25
Missoula "COLD SPRINGS 89" 0 874 674 34
Missoula "COLD SPRINGS 99" 0 873 609 24
Missoula "CSPORTER 98" 0 1151 486 63
Missoula "EAST MSLA 92" 0 635 253 37
Missoula "EVARO 94" 0 288 168 6
Missoula "FRANKLIN 100N" 0 1156 194 29
Missoula "FRANKLIN 100S" 0 681 162 14
Missoula "FRENCHTWN 14N" 0 84 113 1
Missoula "FRENCHTWN 14S" 0 115 127 3
Missoula "FRENCHTWN 94" 0 519 692 31
Missoula "FRENCHTWN 96" 0 246 354 17
Missoula "HAWTHORNE 95" 0 953 349 38
Missoula "HAWTHORNE 98N" 0 420 171 17
Missoula "HAWTHORNE 98S" 0 992 450 31
Missoula "HELLGATE 94" 0 986 540 22
Missoula "HELLGATE 95" 0 504 191 32
Missoula "HELLGATE 96E" 0 2540 1511 114
Missoula "HELLGATE 96W" 0 371 441 18
Missoula "HELLGATE 97" 0 596 456 31
Missoula "LEWIS CLK 89" 0 170 86 2
Missoula "LEWIS CLK 90E" 0 1022 389 20
Missoula "LEWIS CLK 90W" 0 1714 489 39
Missoula "LIBRARY 91" 0 1730 191 21
Missoula "LOLO 89" 0 313 337 8
Missoula "LOLO 97" 0 1484 1395 78
Missoula "LOWELL 94" 0 1202 153 25
Missoula "LOWELL 95" 0 1634 222 40
Missoula "MEADOW HILL 99" 0 1202 562 47
Missoula "PAXSON 89" 0 1318 181 16
Missoula "PETTY CRK 97" 0 154 213 7
Missoula "POTOMAC 92" 0 364 378 17
Missoula "RATTLSNK 91E" 0 1153 290 30
Missoula "RATTLSNK 91W" 0 1652 307 14
Missoula "RUSSELL 90" 0 373 114 18
