COUNTY AREA TOTAL DEM REP LMN GLC Writein
COUNTY AREA TOTAL Smith Lewis OConnor Steinberg Writein
Beltrami SOLWAY 41 10 31 0 0 0
Beltrami "SPRUCE GROVE TWP" 43 18 25 0 0 0
Beltrami "STEENERSON TWP" 17 4 13 0 0 0
Beltrami "SUGAR BUSH TWP" 113 47 59 4 3 0
Beltrami "SUMMIT TWP" 172 25 143 2 2 0
Beltrami "TAYLOR TWP" 74 20 53 1 0 0
Beltrami "TEN LAKE TWP" 525 290 179 45 11 0
Beltrami TENSTRIKE 100 29 69 1 1 0
Beltrami "TURTLE LAKE TWP" 893 329 528 28 8 0
Beltrami "TURTLE RIVER" 59 38 19 2 0 0
Beltrami "TURTLE RIVER TWP" 851 360 467 15 7 2
Beltrami "UNORG DIST 1" 20 7 12 0 1 0
Beltrami "UNORG DIST 2" 16 5 9 2 0 0
Beltrami "UNORG DIST 3" 112 48 51 8 5 0
Beltrami "WASKISH TWP" 81 28 47 4 2 0
Beltrami WILTON 119 42 65 8 4 0
Beltrami "WOODROW TWP" 50 18 31 0 1 0
Benton "ALBERTA TWP" 473 98 349 19 7 0
Benton FOLEY 1250 323 798 91 36 2
Benton GILMAN 119 22 81 12 4 0
Benton "GILMANTON TWP" 551 126 391 28 6 0
Benton "GLENDORADO TWP" 479 109 340 24 6 0
Benton "GRAHAM TWP" 358 63 287 6 2 0
Benton "GRANITE LEDGE TWP" 471 81 369 15 6 0
Benton "LANGOLA TWP" 663 140 492 27 4 0
Benton "MAYHEW LAKE TWP" 544 111 406 22 5 0
Benton "MAYWOOD TWP" 592 128 428 31 5 0
Benton "MINDEN TWP P-1" 1020 221 744 49 5 1
Benton "MINDEN TWP P-2" 5 2 3 0 0 0
Benton RICE 1046 258 672 95 20 1
Benton ROYALTON 0 0 0 0 0 0
Benton "ST CLOUD W2 P1" 1098 499 492 79 28 0
Benton "ST CLOUD W2 P3" 961 460 357 96 48 0
Benton "ST CLOUD W2 P4" 644 323 206 78 34 3
Benton "ST GEORGE TWP" 768 156 571 32 9 0
Benton "SARTELL P-2" 1055 392 531 102 29 1
Benton "SAUK RAPIDS P-1" 1225 444 640 106 33 2
Benton "SAUK RAPIDS P-2" 1161 415 621 95 28 2
Benton "SAUK RAPIDS P-3" 1660 595 927 107 29 2
Benton "SAUK RAPIDS P-4" 1261 485 610 129 36 1
Benton "SAUK RAPIDS P-5" 1941 681 1052 165 41 2
Benton "SAUK RAPIDS P-6" 0 0 0 0 0 0
Benton "SAUK RAPIDS TWP" 380 120 234 16 10 0
Benton "WATAB TWP" 2046 583 1314 115 34 0
"Big Stone" "AKRON TWP" 119 54 59 5 1 0
"Big Stone" "ALMOND TWP" 66 28 36 1 1 0
"Big Stone" "ARTICHOKE TWP" 52 27 23 1 1 0
"Big Stone" BARRY 11 7 4 0 0 0
"Big Stone" "BIG STONE TWP" 204 66 135 3 0 0
"Big Stone" "BROWNS VALLEY TWP" 84 38 43 3 0 0
"Big Stone" BEARDSLEY 117 57 51 9 0 0
"Big Stone" CLINTON 207 92 95 14 6 0
"Big Stone" CORRELL 15 4 7 4 0 0
"Big Stone" "FOSTER TWP" 86 35 46 3 2 0
"Big Stone" GRACEVILLE 331 116 197 13 5 0
"Big Stone" "GRACEVILLE TWP" 62 19 38 5 0 0
"Big Stone" JOHNSON 14 5 8 1 0 0
"Big Stone" "MALTA TWP" 52 15 35 1 0 1
"Big Stone" "MOONSHINE TWP" 53 12 39 2 0 0
"Big Stone" ODESSA 61 21 33 5 2 0
"Big Stone" "ODESSA TWP" 87 16 66 5 0 0
"Big Stone" "ORTONVILLE P-1" 708 276 371 44 15 2
"Big Stone" "ORTONVILLE P-2" 362 120 201 36 5 0
"Big Stone" "ORTONVILLE TWP" 57 18 38 1 0 0
"Big Stone" "OTREY TWP" 52 19 30 3 0 0
"Big Stone" "PRIOR TWP" 126 56 65 4 1 0
"Big Stone" "TOQUA TWP" 22 5 17 0 0 0
"Blue Earth" AMBOY 283 114 138 24 6 1
"Blue Earth" "BEAUFORD TWP" 240 70 159 5 6 0
"Blue Earth" "BUTTERNUT VALLEY TWP" 182 66 108 8 0 0
"Blue Earth" "CAMBRIA TWP" 165 82 73 8 2 0
"Blue Earth" "CERESCO TWP" 103 35 67 1 0 0
"Blue Earth" "DANVILLE TWP" 163 76 85 2 0 0
"Blue Earth" "DECORIA TWP" 740 254 450 31 5 0
"Blue Earth" "EAGLE LAKE" 1731 695 874 122 38 2
"Blue Earth" "GARDEN CITY TWP" 470 188 240 28 14 0
"Blue Earth" "GOOD THUNDER" 292 109 151 26 6 0
"Blue Earth" "JAMESTOWN TWP" 459 170 262 16 11 0
"Blue Earth" "JUDSON TWP" 346 148 173 21 4 0
"Blue Earth" "LAKE CRYSTAL" 1381 640 608 99 32 2
"Blue Earth" "LE RAY TWP" 474 159 288 20 7 0
"Blue Earth" "LIME TWP" 593 218 341 29 5 0
"Blue Earth" "LINCOLN TWP" 137 37 95 3 2 0
"Blue Earth" "LYRA TWP" 199 73 119 4 1 2
"Blue Earth" "MCPHERSON TWP" 269 84 177 5 1 2
"Blue Earth" "MADISON LAKE" 746 261 425 44 16 0
"Blue Earth" "MANKATO W-05 P-01" 651 370 207 49 23 2
"Blue Earth" "MANKATO W-05 P-02" 219 116 61 34 8 0
"Blue Earth" "MANKATO W-05 P-03" 851 484 312 34 21 0
"Blue Earth" "MANKATO W-05 P-04" 394 271 105 11 6 1
"Blue Earth" "MANKATO W-05 P-05" 667 359 216 71 20 1
"Blue Earth" "MANKATO W-05 P-06" 419 144 121 129 24 1
"Blue Earth" "MANKATO W-03 P-07" 778 403 246 93 35 1
"Blue Earth" "MANKATO W-03 P-08" 1325 672 536 94 21 2
"Blue Earth" "MANKATO W-03 P-09" 2066 975 709 315 66 1
"Blue Earth" "MANKATO W-04 P-10" 1310 750 328 175 56 1
"Blue Earth" "MANKATO W-04 P-10A" 1309 686 428 144 51 0
"Blue Earth" "MANKATO W-01 P-11" 1487 782 454 181 68 2
"Blue Earth" "MANKATO W-01 P-12" 962 498 389 57 16 2
"Blue Earth" "MANKATO W-04 P-13" 844 466 261 86 30 1
"Blue Earth" "MANKATO W-01 P-14" 1854 953 741 126 32 2
"Blue Earth" "MANKATO W-02 P-15" 3486 1972 1089 314 105 6
"Blue Earth" "MANKATO W-02 P-16" 1889 850 875 128 34 2
