DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
7 Flagler 27 0 1717 2937 249
7 Flagler 29 0 1454 3118 195
7 Flagler 3 0 421 1501 95
7 Flagler 31 0 896 1653 113
7 Flagler 33 0 1061 2147 163
7 Flagler 35 0 651 1005 98
7 Flagler 37 0 810 1632 133
7 Flagler 5 0 169 474 28
7 Flagler 7 0 534 1362 92
7 Flagler 8 0 1291 2017 198
7 Flagler 9 0 1002 1485 142
7 "St. John's" "PCT 101" 0 1439 2850 5
7 "St. John's" "PCT 102" 0 842 1905 2
7 "St. John's" "PCT 103" 0 565 1727 2
7 "St. John's" "PCT 104" 0 950 2440 2
7 "St. John's" "PCT 105" 0 2313 3781 5
7 "St. John's" "PCT 106" 0 1037 3483 5
7 "St. John's" "PCT 107" 0 2042 4721 6
7 "St. John's" "PCT 108" 0 623 1357 3
7 "St. John's" "PCT 109" 0 974 2633 5
7 "St. John's" "PCT 110" 0 143 567 0
7 "St. John's" "PCT 111" 0 927 1755 2
