COUNTY AREA TOTAL DEM REP LIB Peterson Writein
COUNTY AREA TOTAL Scholten King Aldrich Peterson Writein
O'Brien "Sheldon 1st Ward" 949 254 683 10 2 0
O'Brien "Sheldon 2nd Ward" 532 162 361 8 1 0
O'Brien "Sheldon 3rd Ward" 518 170 332 14 2 0
O'Brien Summit-Center-Dale-Highland 719 284 422 9 4 0
O'Brien Union-Baker-Caledonia 702 237 454 9 2 0
O'Brien Waterman-Grant-Liberty 530 211 307 9 3 0
Osceola "Ashton Precinct" 306 74 227 4 0 1
Osceola "Harris Precinct" 129 29 99 1 0 0
Osceola "May City Precinct" 138 42 89 4 3 0
Osceola "Melvin Precinct" 209 63 138 4 3 1
Osceola "Ocheyedan Precinct" 229 77 144 5 3 0
Osceola "Osceola 1 Precinct" 377 97 275 5 0 0
Osceola "Osceola 2 Precinct" 493 161 323 3 6 0
Osceola "Osceola 3 Precinct" 541 166 368 4 3 0
"Palo Alto" "Emmetsburg Ward 1" 403 222 177 3 1 0
"Palo Alto" "Emmetsburg Ward 2" 373 210 155 8 0 0
"Palo Alto" "EM Ward 3/SL/pt. HL&WL&EM" 698 351 327 16 2 2
"Palo Alto" EMWard4/FV/FF/FR/IN/VN/ptEM 770 361 394 12 1 2
"Palo Alto" "GR/RV/LI/pt. HL&WL" 638 307 320 7 3 1
"Palo Alto" WB/EL/RL/BO/GO/NV 818 250 552 12 4 0
Plymouth "Akron Public Library" 708 272 419 14 3 0
Plymouth "American Bank" 352 105 245 2 0 0
Plymouth "Courthouse Annex" 431 141 280 6 4 0
Plymouth "Brunsville Legion" 643 220 412 6 5 0
Plymouth "Remsen Library" 1001 358 630 11 2 0
Plymouth "Westfield Community Center" 348 126 218 3 1 0
Plymouth "Kissinger Community Center" 745 288 445 10 2 0
Plymouth "Perry Township Hall" 847 280 555 9 3 0
Plymouth "Hinton Community Center" 1015 364 638 11 2 0
Plymouth "Kingsley Community Center" 817 306 494 12 5 0
Plymouth "Le Mars Convention Center 11" 1391 583 768 35 3 2
Plymouth "Le Mars Convention Center 12" 1571 639 911 20 1 0
Plymouth "Le Mars Convention Center 13" 915 402 488 19 4 2
Pocahontas "Swan Lake-N Marshall" 547 213 319 13 2 0
Pocahontas "DM - Cum - Pow - N Gar -N Sher- N Roos" 578 207 345 17 9 0
Pocahontas "Grant-S Marshall-S Sherman" 196 56 135 5 0 0
Pocahontas "Pocahontas #1" 678 329 333 15 1 0
Pocahontas "Poc #2 - Cent - S Roos - N Lin - N Lake - S Gar" 312 122 183 7 0 0
Pocahontas "Cedar - Colfax - Dover" 439 167 260 9 3 0
Pocahontas "Bellville- Lizard - S Lincoln - S Lake" 370 107 256 6 1 0
Sac Schaller 524 221 290 7 6 0
Sac Nemaha 170 78 90 1 1 0
Sac Early 329 135 187 5 2 0
Sac "Sac City" 989 470 493 21 5 0
Sac Lytton 233 100 127 4 2 0
Sac Odebolt 590 162 420 5 2 1
Sac "Lake View" 817 304 502 7 4 0
Sac Auburn 190 77 112 0 1 0
Sac "Wall Lake" 473 139 328 5 1 0
Shelby Therkildsen-Harlan 748 241 491 12 4 0
Shelby "Library Elk Horn" 506 195 292 15 3 1
Shelby "Irwin Hall" 533 156 363 10 3 1
