COUNTY AREA TOTAL DEM REP LIB GRN AIP PAF
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins DeLaFuente LaRiva
Alameda 502920 3524 2249 1131 58 9 12 1
Alameda 510100 278 83 186 4 1 0 0
Alameda 510120 5 0 5 0 0 0 0
Alameda 510150 7 1 6 0 0 0 0
Alameda 510300 875 354 481 19 3 3 0
Alameda 510400 119 36 82 0 0 0 0
Alameda 510700 0 0 0 0 0 0 0
Alameda 510730 4 3 1 0 0 0 0
Alameda 510840 175 64 106 0 1 1 0
Alameda 510890 0 0 0 0 0 0 0
Alameda 510910 0 0 0 0 0 0 0
Alameda 510920 0 0 0 0 0 0 0
Alameda 510950 0 0 0 0 0 0 0
Alameda 510960 0 0 0 0 0 0 0
Alameda 510970 0 0 0 0 0 0 0
Alameda 510980 0 0 0 0 0 0 0
Alameda 510990 0 0 0 0 0 0 0
Alameda 511000 0 0 0 0 0 0 0
Alameda 520220 4303 2743 1367 58 16 13 8
Alameda 520230 4058 2668 1217 55 17 17 7
Alameda 520250 364 253 95 5 2 2 0
Alameda 520500 3092 2035 926 48 10 11 6
Alameda 520630 2608 1763 745 20 19 10 3
Alameda 520700 2938 2008 794 44 9 15 7
Alameda 520710 3618 2418 1054 46 17 8 6
Alameda 520730 0 0 0 0 0 0 0
Alameda 520860 4449 3166 1117 48 28 21 4
Alameda 520900 5 3 0 0 0 1 0
Alameda 520910 2 1 0 0 0 0 0
Alameda 521200 1690 1101 513 22 5 7 2
Alameda 521500 2583 1775 720 28 13 8 3
Alameda 522110 3731 2527 1051 56 11 10 3
Alameda 522130 3643 2475 1000 49 21 6 2
Alameda 523100 960 656 268 6 1 8 3
Alameda 523120 734 500 213 3 2 1 2
Alameda 523700 3432 2248 1047 46 17 13 5
Alameda 530200 0 0 0 0 0 0 0
Alameda 532000 0 0 0 0 0 0 0
Alameda 532100 4 3 1 0 0 0 0
Alameda 532200 0 0 0 0 0 0 0
Alameda 532300 0 0 0 0 0 0 0
Alameda 532400 0 0 0 0 0 0 0
Alameda 535000 0 0 0 0 0 0 0
Alameda 535020 0 0 0 0 0 0 0
Alameda 535040 2 1 0 1 0 0 0
Alameda 535050 0 0 0 0 0 0 0
Alameda 535060 0 0 0 0 0 0 0
Alameda 535080 0 0 0 0 0 0 0
Alameda 535090 0 0 0 0 0 0 0
