COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cunningham Tillis Bray Hayes
CABARRUS 04-01 0 150 148 35 8
CABARRUS 04-03 0 167 223 27 16
CABARRUS 04-08 0 82 172 20 11
CABARRUS 04-09 0 125 255 29 8
CABARRUS 04-11 0 157 220 25 9
CABARRUS 04-12 0 287 318 31 19
CABARRUS 04-13 0 182 423 34 23
CABARRUS 05-00 0 69 315 16 8
CABARRUS 06-00 0 55 568 14 7
CABARRUS 07-00 0 42 295 3 5
CABARRUS 08-00 0 87 449 35 13
CABARRUS 09-00 0 61 499 25 7
CABARRUS 10-00 0 168 785 30 28
CABARRUS 11-01 0 326 358 38 11
CABARRUS 11-02 0 106 322 24 19
CABARRUS 12-03 0 99 186 15 2
CABARRUS 12-04 0 129 188 25 12
CABARRUS 12-05 0 103 231 12 9
CABARRUS 12-08 0 96 138 14 7
CABARRUS 12-09 0 110 291 19 9
CABARRUS 12-11 0 116 149 19 5
CABARRUS 12-12 0 120 236 16 7
CABARRUS 12-13 0 345 141 33 8
CABARRUS 12-14 0 158 301 25 14
CABARRUS ABSENTEE 0 13203 7144 882 254
CABARRUS "OS CAE" 0 6864 14943 695 338
CABARRUS "OS HAR" 0 8946 8914 583 189
CABARRUS "OS KTD" 0 5469 7545 453 221
CABARRUS "OS NTP" 0 8547 10327 643 300
CABARRUS PROVISIONAL 0 163 200 29 6
CABARRUS TRANSFER 0 0 0 0 0
CALDWELL ABSENTEE 0 2458 2097 180 91
CALDWELL "OS GRANITE REC" 0 2208 10809 360 233
CALDWELL "OS RESOURCE CENTER" 0 4246 11997 492 318
CALDWELL PR01 0 106 284 13 8
CALDWELL PR02 0 54 202 15 2
CALDWELL PR07 0 54 331 8 7
CALDWELL PR08 0 50 223 8 5
CALDWELL PR13 0 59 384 12 13
CALDWELL PR14 0 52 206 16 5
CALDWELL PR16 0 58 67 5 5
CALDWELL PR17 0 58 126 8 4
CALDWELL PR18 0 54 242 20 8
CALDWELL PR21 0 64 347 19 13
CALDWELL PR22 0 68 335 16 9
CALDWELL PR24 0 37 148 10 5
CALDWELL PR25 0 34 164 4 9
CALDWELL PR29 0 87 188 19 7
CALDWELL PR30 0 114 168 13 8
CALDWELL PR31 0 61 94 4 3
CALDWELL PR32 0 79 386 13 11
CALDWELL PR33 0 119 423 25 16
CALDWELL PR34 0 88 416 27 9
CALDWELL PR35 0 44 232 8 7
CALDWELL PROVISIONAL 0 36 102 4 3
CALDWELL TRANSFER 0 0 0 0 0
CAMDEN ABSENTEE 0 249 243 25 7
CAMDEN CH 0 54 274 18 2
CAMDEN "ONE STOP" 0 976 2801 85 47
CAMDEN PROVISIONAL 0 2 13 3 0
CAMDEN SH 0 43 319 18 5
CAMDEN SM 0 79 531 34 10
CAMDEN TRANSFER 0 0 0 0 0
CARTERET ABCH 0 281 871 30 15
CARTERET ASCI 0 145 435 9 13
CARTERET BCRK 0 333 1126 44 24
CARTERET BFT1 0 660 519 40 7
CARTERET BFT2 0 1077 1613 115 44
CARTERET BOGU 0 508 1769 89 48
CARTERET CCCP 0 586 1981 81 31
CARTERET DASW 0 102 399 12 5
CARTERET EMIS 0 985 2105 66 37
CARTERET HAIS 0 159 626 8 6
CARTERET ISPK 0 503 901 38 11
CARTERET MASM 0 157 326 12 10
CARTERET MCRK 0 78 341 10 19
CARTERET MERR 0 134 271 9 1
CARTERET MHD1 0 604 1233 47 27
CARTERET MHD2 0 777 1228 85 39
CARTERET MHD3 0 776 1774 86 33
CARTERET MHD4 0 642 1622 58 19
CARTERET NPT1 0 659 1779 97 51
CARTERET NPT2 0 436 1680 84 42
CARTERET NRIV 0 286 220 8 11
CARTERET OTBEG 0 345 1106 40 13
CARTERET PELE 0 248 790 38 15
CARTERET STEL 0 255 952 63 25
CARTERET WIHA 0 383 1030 45 18
CARTERET WILD 0 704 1795 98 37
CASWELL ANDE 0 179 486 12 11
CASWELL LEAS 0 249 256 15 6
CASWELL LOCU 0 831 671 40 13
CASWELL MILT 0 875 626 33 17
CASWELL PELH 0 688 1457 55 29
CASWELL PH 0 507 906 29 14
CASWELL PROVI 0 229 404 13 3
CASWELL STON 0 550 1138 38 17
CASWELL YANC 0 808 699 43 14
CATAWBA 01 0 431 2268 78 53
CATAWBA 02 0 323 1410 41 33
CATAWBA 03 0 429 1312 56 56
CATAWBA 04 0 297 304 27 12
CATAWBA 05 0 619 1762 61 48
CATAWBA 06 0 524 1355 48 35
CATAWBA 07 0 804 1287 86 40
CATAWBA 08 0 636 1393 49 43
CATAWBA 09 0 308 1609 47 40
CATAWBA 10 0 239 152 16 12
CATAWBA 11 0 349 363 29 5
CATAWBA 12 0 751 224 30 21
CATAWBA 13 0 587 410 37 30
CATAWBA 14 0 551 708 40 16
CATAWBA 15 0 383 31 8 7
CATAWBA 16 0 763 1036 75 42
CATAWBA 17 0 455 672 43 33
CATAWBA 19 0 309 521 28 15
CATAWBA 20 0 617 1820 78 57
CATAWBA 21 0 280 1121 55 24
CATAWBA 22 0 677 1824 86 59
CATAWBA 23 0 977 2315 89 60
CATAWBA 24 0 807 2331 104 52
CATAWBA 25 0 567 854 62 31
CATAWBA 26 0 626 852 56 17
CATAWBA 27 0 632 2266 102 75
CATAWBA 28 0 701 1471 81 46
CATAWBA 29 0 893 2549 103 47
CATAWBA 30 0 1059 1633 105 49
CATAWBA 31 0 912 2938 123 56
