COUNTY AREA TOTAL DEM REP GRN IND1 IND2 WI1
COUNTY AREA TOTAL Strickland Portman DeMare Connors Rupert Stahl
Athens "ATHENS BAKER" 971 499 404 17 11 10 0
Athens "ATHENS EAST" 348 219 106 5 3 3 0
Athens "ATHENS SOUTH" 661 367 233 12 6 3 0
Athens "PLAINS 1" 620 314 227 15 12 15 0
Athens "PLAINS 2" 810 417 323 16 13 12 0
Athens "BERN TOWNSHIP" 270 142 97 6 5 4 0
Athens "CANAAN TOWNSHIP" 789 460 262 18 11 6 0
Athens "CARTHAGE TOWNSHIP" 711 197 434 11 14 22 0
Athens "CHAUNCEY VLG" 327 144 143 4 4 7 0
Athens "CIRCLE HILL" 433 222 177 7 5 6 0
Athens MILLFIELD 454 206 189 14 18 7 0
Athens "SUGAR CREEK" 284 156 79 15 8 4 0
Athens "ALBANY VILLAGE" 442 165 223 13 8 14 0
Athens "LEE TOWNSHIP" 1075 397 584 12 9 21 0
Athens "LODI TOWNSHIP" 744 330 327 10 13 16 0
Athens "ROME TOWNSHIP" 601 249 292 7 11 14 0
Athens JACKSONVILLE 213 112 73 3 4 5 0
Athens "TRIMBLE TOWNSHIP" 737 320 331 8 14 17 0
Athens "TRIMBLE VILLAGE" 124 50 55 3 5 3 0
Athens "GLOUSTER VILLAGE" 605 298 222 9 12 13 0
Athens "COOLVILLE VILLAGE" 194 61 117 3 3 3 0
Athens "TROY EAST" 574 143 366 10 12 8 0
Athens "TROY WEST" 364 74 244 10 6 11 0
Athens "NEW MARSHFIELD" 538 274 210 12 10 11 0
Athens WATERLOO 572 265 245 8 10 18 0
Athens "BUCHTEL VLG" 246 124 92 6 6 5 0
Athens "YORK TOWNSHIP" 810 340 382 6 20 14 0
Athens "ATHENS 2-5" 694 380 205 20 6 3 0
Athens "ATHENS 4-5" 912 445 295 33 13 5 0
Auglaize "ST. MARYS 1A" 631 86 486 9 11 10 0
Auglaize "ST. MARYS 1B" 410 70 308 9 4 6 0
Auglaize "ST. MARYS 2A" 509 111 361 4 9 8 0
Auglaize "ST. MARYS 2B" 806 134 610 5 6 17 0
Auglaize "ST. MARYS 3A" 772 134 582 7 12 9 0
Auglaize "ST. MARYS 4A" 520 105 358 9 13 12 0
Auglaize "WAPAKONETA 1A" 888 130 699 7 12 16 0
Auglaize "WAPAKONETA 1B" 784 125 613 3 8 12 0
Auglaize "WAPAKONETA 2A" 427 75 312 6 8 13 0
Auglaize "WAPAKONETA 2B" 577 92 451 5 10 4 0
Auglaize "WAPAKONETA 3A" 373 61 279 6 9 10 0
Auglaize "WAPAKONETA 3B" 435 57 342 4 5 12 0
Auglaize "WAPAKONETA 4A" 340 63 254 5 6 8 0
Auglaize "WAPAKONETA 4B" 709 99 552 8 12 10 0
Auglaize CLAY 447 43 370 3 11 7 0
Auglaize "DUCHOUQUET E" 883 79 759 13 8 7 0
Auglaize "DUCHOUQUET W" 718 94 580 6 6 13 0
Auglaize "CRIDERS E" 353 59 264 4 9 9 0
Auglaize GERMAN 505 39 451 2 3 2 0
Auglaize "NEW BREMEN E" 1064 112 909 7 13 2 0
Auglaize "NEW BREMEN W" 682 86 542 7 13 12 0
Auglaize GOSHEN 279 25 241 1 2 5 0
Auglaize JACKSON 541 46 478 3 4 3 0
Auglaize "MINSTER N" 933 110 771 5 7 8 0
Auglaize "MINSTER S" 848 72 730 7 13 10 0
Auglaize BUCKLAND 121 28 77 2 6 1 0
Auglaize LOGAN 544 43 470 2 9 6 0
Auglaize MOULTON 1025 98 882 10 5 13 0
Auglaize NOBLE 735 80 613 4 6 14 0
Auglaize PUSHETA 753 79 634 4 7 12 0
Auglaize "ST. MARYS E" 871 114 711 3 12 10 0
Auglaize "ST. MARYS W" 880 142 672 18 18 8 0
Auglaize SALEM 253 22 215 0 5 8 0
Auglaize UNION 1031 103 854 14 10 26 0
Auglaize "NEW KNOXVILLE" 467 37 403 4 3 9 0
Auglaize WASHINGTON 619 40 542 2 11 11 0
Auglaize WAYNE 442 39 371 6 6 9 0
Auglaize WAYNESFIELD 309 37 248 5 7 6 0
Auglaize "CRIDERS W" 535 75 420 9 3 8 0
Belmont "BELLAIRE VILLAGE 1" 609 217 316 8 27 10 0
Belmont "BELLAIRE VILLAGE 2" 439 181 194 6 18 15 0
Belmont "BELLAIRE VILLAGE 3" 394 149 204 2 17 8 0
Belmont "MARTINS FERRY 1-A" 753 300 405 4 6 13 0
