COUNTY AREA TOTAL DEM REP De_La_Fuente Hawkins Jorgensen Others
COUNTY AREA TOTAL Biden Trump De_La_Fuente Hawkins Jorgensen Others
WAL Montville 658 346 266 1 17 20 0
WAL Morrill 614 242 355 0 4 9 1
WAL Northport 1119 670 408 0 20 11 0
WAL Palermo 956 381 537 0 9 12 0
WAL Prospect 430 170 242 0 3 8 0
WAL Searsmont 943 430 481 1 11 14 0
WAL Searsport 1627 843 721 1 16 27 0
WAL "Stockton Springs" 1070 529 508 2 11 15 0
WAL Swanville 835 339 454 1 13 19 0
WAL Thorndike 449 228 211 0 3 4 0
WAL Troy 599 233 340 0 10 10 0
WAL Unity 957 444 455 3 25 23 0
WAL Waldo 507 227 261 0 10 4 0
WAL Winterport 2350 1034 1245 2 18 36 0
WAS Addison 718 235 451 0 0 20 0
WAS Alexander 316 73 224 0 8 3 0
WAS Baileyville 676 239 421 1 2 8 2
WAS "Baring Plt" 114 42 68 0 1 1 0
WAS Beals 296 98 191 1 1 2 0
WAS Beddington 51 13 36 0 1 1 0
WAS Calais 1534 626 856 5 7 22 0
WAS "Cathance Twp" 7 2 5 0 0 0 0
WAS "Centerville Twp" 20 7 12 0 0 0 0
WAS Charlotte 219 68 145 0 1 2 0
WAS Cherryfield/T10 656 212 417 0 5 10 1
WAS Columbia 234 67 156 0 2 3 0
WAS "Columbia Falls" 335 119 204 0 2 10 0
WAS Cooper 98 33 60 0 3 0 0
WAS Crawford 66 18 45 0 1 2 0
WAS Cutler 317 86 218 0 3 8 0
WAS Danforth 427 98 314 0 9 0 0
WAS Deblois 40 5 35 0 0 0 0
WAS Dennysville 362 137 214 0 5 1 0
WAS "East Machias/Twps" 820 270 528 2 2 12 0
WAS Eastport 840 474 339 0 14 8 0
WAS "Grand Lake Stream Plt" 100 37 60 0 0 1 0
WAS Harrington 547 168 363 2 1 4 0
WAS "Indian Township" 268 191 69 0 0 3 0
WAS Jonesboro 348 124 212 2 5 3 0
WAS Jonesport 720 243 447 0 5 17 0
