COUNTY AREA TOTAL DEM REP DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
COUNTY AREA TOTAL Biden Trump DeLaFuente Blankenship King Hawkins Jorgensen Pierce West Writein
"Buena Vista" SL03 1001 439 541 1 2 0 3 8 0 2 5
"Buena Vista" SL04 862 484 350 2 2 0 1 15 0 2 6
"Buena Vista" TRWG 503 131 362 0 0 1 1 5 1 2 0
Butler 1-GR 1080 385 670 0 1 0 6 11 2 1 4
Butler 2-CL 1331 441 874 0 0 0 2 12 0 0 2
Butler 3-DU 760 161 593 0 1 1 0 2 1 1 0
Butler 4-AL 764 188 558 0 1 0 1 8 1 7 0
Butler 5-AP 962 208 736 1 0 0 1 9 2 1 4
Butler 6-SR 1279 458 795 2 3 1 2 11 1 3 3
Butler 7-PB 1324 382 925 1 2 0 1 13 0 0 0
Butler 8-NH 598 201 391 0 0 1 1 2 1 0 1
Calhoun "Butler Williams" 492 147 338 1 0 0 1 3 0 2 0
Calhoun "Calhoun, Jackson, Elm Grove & Lake City" 1112 355 744 1 2 0 1 6 0 3 0
Calhoun Cedar 184 40 142 0 1 1 0 0 0 0 0
Calhoun "Center, Logan, Twin Lakes, Garfield & Lake Creek" 470 104 357 0 0 0 1 4 0 2 2
Calhoun "Greenfield and Lincoln 2" 223 48 168 0 1 1 0 4 0 1 0
Calhoun "Lincoln 1" 989 280 681 2 2 1 0 19 1 1 2
Calhoun Reading 274 67 203 0 1 0 0 3 0 0 0
Calhoun "Rockwell City" 916 293 601 1 1 0 0 16 1 1 2
Calhoun Sherman 346 83 262 0 0 0 0 1 0 0 0
Calhoun Union 252 53 193 0 0 0 0 3 0 0 3
Carroll "Arcadia Precinct" 406 85 318 0 0 0 0 2 0 0 1
Carroll "Carroll Ward One" 1458 454 986 1 2 0 1 8 0 4 2
Carroll "Carroll Ward Two - N1/2 Maple River" 1639 587 1028 2 2 1 3 8 0 4 4
Carroll "Carroll Ward Three - S1/2 Maple River" 1349 471 856 1 1 1 3 8 0 3 5
Carroll "Carroll Ward Four" 1167 477 675 1 2 0 0 8 0 1 3
Carroll "Eden Precinct" 359 82 276 0 1 0 0 0 0 0 0
Carroll "Ewoldt Precinct" 987 285 689 1 0 0 0 7 0 1 4
Carroll "Glidden-Richland Precinct" 883 241 633 0 0 0 2 5 0 1 1
Carroll "Pleasant Valley-Newton Precinct" 467 86 376 1 0 0 0 2 0 0 2
Carroll "Sheridan-Grant-Jasper Precinct" 666 191 466 0 0 0 3 3 0 0 3
Carroll "Union Precinct" 792 240 542 0 0 0 0 9 0 0 1
Carroll "Washington - Roselle Precinct" 524 123 394 1 0 0 0 5 0 0 1
Carroll "Wheatland - Kniest Precinct" 638 132 498 1 0 0 1 3 0 1 2
Cass "AT1 / MR / BR-GV-WS-PY-TWPS" 1286 358 910 0 1 0 2 8 0 3 4
Cass "AT2, 3" 1323 477 826 0 3 0 1 12 0 3 1
Cass "AT4, 5" 1652 555 1076 1 3 0 1 12 0 1 3
Cass "LW / CS-BG TWPS" 483 123 356 0 0 1 0 3 0 0 0
Cass "GS / PL-NO TWPS" 876 223 640 1 1 0 0 7 0 3 1
Cass "CU / UN TWP" 230 47 181 0 0 0 0 1 0 1 0
