COUNTY AREA TOTAL DEM REP LMN IND Writein
COUNTY AREA TOTAL Smith Housley Wellington Trooien Writein
"Blue Earth" "Mankato W-1 P-11" 1227 730 386 99 11 1
"Blue Earth" "Mankato W-1 P-12" 704 390 295 16 3 0
"Blue Earth" "Mankato W-4 P-13" 634 343 226 56 8 1
"Blue Earth" "Mankato W-1 P-14" 1551 845 603 91 11 1
"Blue Earth" "Mankato W-2 P-15" 2614 1602 823 166 23 0
"Blue Earth" "Mankato W-2 P-16" 1336 674 602 44 16 0
"Blue Earth" "Mankato W-2 P-17" 202 109 74 16 3 0
"Blue Earth" "Mankato Twp P-1" 126 48 75 1 2 0
"Blue Earth" "Mankato Twp P-2" 865 417 414 23 10 1
"Blue Earth" Mapleton 694 316 344 27 7 0
"Blue Earth" "Mapleton Twp" 144 56 80 6 2 0
"Blue Earth" "Medo Twp" 150 48 102 0 0 0
"Blue Earth" "Minnesota Lake" 2 0 2 0 0 0
"Blue Earth" "North Mankato" 2 1 1 0 0 0
"Blue Earth" Pemberton 78 32 42 3 1 0
"Blue Earth" "Pleasant Mound Twp" 100 27 65 5 3 0
"Blue Earth" "Rapidan Twp" 608 260 316 26 6 0
"Blue Earth" "Saint Clair" 362 156 184 15 5 2
"Blue Earth" "Shelby Twp" 140 51 80 7 2 0
"Blue Earth" Skyline 179 111 63 2 3 0
"Blue Earth" "South Bend Twp" 635 302 289 34 9 1
"Blue Earth" "Sterling Twp" 125 47 75 3 0 0
"Blue Earth" "Vernon Center" 112 38 65 6 2 1
"Blue Earth" "Vernon Center Twp" 116 49 61 6 0 0
Brown "Albin Twp" 152 37 113 1 1 0
Brown "Bashaw Twp" 122 38 81 1 2 0
Brown "Burnstown Twp" 131 37 92 2 0 0
Brown Cobden 12 4 6 2 0 0
Brown Comfrey 167 67 89 9 2 0
Brown "Cottonwood Twp" 454 142 289 14 9 0
Brown "Eden Twp" 118 23 91 2 2 0
Brown Evan 31 10 19 1 1 0
Brown Hanska 165 76 70 15 4 0
Brown "Home Twp" 259 45 208 3 3 0
Brown "Lake Hanska Twp" 144 57 86 1 0 0
Brown "Leavenworth Twp" 142 35 103 2 2 0
Brown "Linden Twp" 142 52 82 7 1 0
Brown "Milford Twp" 403 116 278 7 2 0
Brown "Mulligan Twp" 96 32 58 5 1 0
Brown "New Ulm W-1 P-1" 618 273 290 46 9 0
Brown "New Ulm W-1 P-2" 828 395 386 37 10 0
Brown "New Ulm W-2 P-1" 744 354 341 41 8 0
Brown "New Ulm W-2 P-2" 613 263 306 32 12 0
Brown "New Ulm W-3 P-1" 1114 478 593 29 12 2
Brown "New Ulm W-3 P-2" 733 325 353 43 12 0
Brown "New Ulm W-4 P-1" 865 332 489 35 9 0
Brown "New Ulm W-4 P-2" 832 327 464 27 14 0
Brown "North Star Twp" 127 28 98 1 0 0
Brown "Prairieville Twp" 136 18 115 2 1 0
Brown "Sigel Twp" 201 79 114 7 1 0
Brown "Sleepy Eye W-1" 520 179 307 27 7 0
Brown "Sleepy Eye W-2" 809 245 532 26 6 0
Brown "Springfield W-1" 413 142 255 9 7 0
Brown "Springfield W-2" 425 167 242 13 3 0
Brown "Stark Twp" 160 23 135 0 2 0
Brown "Stately Twp" 83 15 66 1 1 0
Carlton "Atkinson Twp" 214 104 105 4 1 0
Carlton "Automba Twp" 68 34 32 2 0 0
Carlton Barnum 168 88 66 13 1 0
Carlton "Barnum Twp" 601 311 265 23 2 0
Carlton "Beseman Twp" 56 25 31 0 0 0
Carlton "Blackhoof Twp" 512 279 208 18 6 1
Carlton Carlton 445 286 130 27 2 0
Carlton "Cloquet W-1" 1196 708 460 21 7 0
Carlton "Cloquet W-2" 870 517 287 55 9 2
Carlton "Cloquet W-3" 961 566 329 58 7 1
Carlton "Cloquet W-4" 1078 648 367 55 8 0
Carlton "Cloquet W-5 P-1" 983 584 364 33 2 0
Carlton "Cloquet W-5 P-2" 243 170 28 42 3 0
Carlton "Clear Creek Unorg" 71 37 32 1 1 0
Carlton "Corona Unorg" 60 31 25 4 0 0
Carlton Cromwell 92 54 29 9 0 0
Carlton "Eagle Twp" 301 152 142 4 3 0
Carlton "Holyoke Twp" 115 54 56 5 0 0
Carlton "Kalevala Twp" 138 59 72 6 1 0
Carlton "Kettle River" 77 41 25 10 1 0
Carlton "Lakeview Twp" 110 65 43 1 1 0
