COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Writein
Harris 2010486 0 1104 2428 48 7 0
Harris 2010487 0 1402 954 14 5 0
Harris 2010488 0 1013 504 10 8 0
Harris 2010489 0 999 346 11 9 0
Harris 2010490 0 1053 451 15 2 2
Harris 2010491 0 1125 742 24 3 0
Harris 2010492 0 1009 726 11 5 0
Harris 2010493 0 1467 954 12 8 2
Harris 2010494 0 1468 357 12 10 0
Harris 2010495 0 883 1244 16 4 0
Harris 2010496 0 935 576 11 4 0
Harris 2010497 0 1155 92 4 7 0
Harris 2010498 0 1157 520 22 8 0
Harris 2010499 0 837 1182 23 1 0
Harris 2010500 0 1249 1574 23 11 0
Harris 2010501 0 1330 535 34 1 0
Harris 2010502 0 384 1525 20 5 0
Harris 2010503 0 727 1413 29 3 0
Harris 2010504 0 905 999 26 4 0
Harris 2010505 0 1801 1039 53 13 0
Harris 2010506 0 2025 457 8 8 1
Harris 2010507 0 683 421 10 5 0
Harris 2010508 0 1693 1174 15 11 0
Harris 2010509 0 1685 2088 71 21 0
Harris 2010510 0 1825 933 37 9 0
Harris 2010511 0 3357 3903 61 14 0
Harris 2010512 0 1928 1243 35 17 0
Harris 2010513 0 925 1447 21 5 0
Harris 2010514 0 1260 1960 39 8 0
Harris 2010515 0 788 1735 31 5 0
Harris 2010516 0 1064 932 14 8 0
Harris 2010517 0 1533 1142 18 18 0
Harris 2010518 0 1505 1578 28 10 0
Harris 2010519 0 851 1224 34 9 0
Harris 2010520 0 2437 448 22 16 0
Harris 2010521 0 1253 901 25 5 0
Harris 2010522 0 758 1465 22 2 0
Harris 2010523 0 1255 1277 39 10 0
Harris 2010524 0 1625 757 14 9 0
Harris 2010525 0 1727 519 10 5 0
Harris 2010526 0 329 133 7 2 0
Harris 2010527 0 138 115 1 1 0
Harris 2010528 0 34 4 0 0 0
Harris 2010529 0 649 2287 50 5 0
Harris 2010530 0 417 180 9 1 0
Harris 2010531 0 439 1287 9 0 0
Harris 2010532 0 239 433 7 1 0
Harris 2010533 0 291 313 3 2 0
Harris 2010534 0 870 1931 29 2 0
Harris 2010535 0 114 98 1 2 0
Harris 2010536 0 2399 1755 21 14 0
Harris 2010537 0 905 1889 13 5 0
Harris 2010538 0 570 26 3 4 0
Harris 2010539 0 681 598 10 8 0
Harris 2010540 0 1571 467 20 5 0
Harris 2010541 0 3012 481 20 13 0
Harris 2010542 0 1534 181 8 3 0
Harris 2010543 0 645 316 10 7 0
Harris 2010544 0 121 17 1 1 0
Harris 2010545 0 1807 1694 24 15 0
Harris 2010546 0 524 1512 21 1 0
Harris 2010547 0 679 1107 30 7 0
Harris 2010548 0 898 659 26 9 0
Harris 2010549 0 1464 322 16 4 0
Harris 2010550 0 1218 627 11 12 0
Harris 2010551 0 1504 2780 38 4 1
Harris 2010552 0 846 2414 42 5 0
Harris 2010553 0 1225 789 16 5 0
Harris 2010554 0 788 241 5 3 0
Harris 2010555 0 854 246 5 1 0
Harris 2010556 0 1025 424 7 9 0
Harris 2010557 0 1040 739 16 4 0
Harris 2010558 0 2072 981 25 9 0
Harris 2010559 0 2438 662 17 15 0
Harris 2010560 0 402 159 1 0 0
Harris 2010561 0 770 1227 27 13 0
Harris 2010562 0 317 59 5 1 0
Harris 2010563 0 851 1685 22 2 0
Harris 2010564 0 2184 461 31 10 0
Harris 2010565 0 423 170 4 1 0
Harris 2010566 0 1368 490 15 15 0
Harris 2010567 0 1136 466 9 5 0
Harris 2010568 0 1319 1502 34 4 0
Harris 2010569 0 2159 1325 40 8 0
Harris 2010570 0 853 296 10 7 0
Harris 2010571 0 585 331 6 7 0
Harris 2010572 0 1549 790 22 7 0
Harris 2010573 0 806 31 2 7 0
Harris 2010574 0 154 38 0 1 0
Harris 2010575 0 1638 1518 31 11 0
Harris 2010576 0 1554 169 11 9 0
Harris 2010577 0 775 817 27 3 0
Harris 2010578 0 786 782 20 2 0
Harris 2010579 0 458 142 1 1 0
Harris 2010580 0 479 39 2 5 0
Harris 2010581 0 553 27 1 3 0
Harris 2010582 0 774 90 3 2 0
Harris 2010583 0 608 40 2 0 0
Harris 2010584 0 473 56 5 0 0
Harris 2010585 0 1088 132 10 4 0
Harris 2010586 0 1447 1456 34 9 0
Harris 2010587 0 1594 663 15 10 0
Harris 2010588 0 1326 1664 38 9 1
Harris 2010589 0 1593 1066 22 9 0
Harris 2010590 0 552 1162 21 4 0
Harris 2010591 0 795 393 13 7 0
Harris 2010592 0 644 250 8 7 0
Harris 2010593 0 1634 1444 28 8 0
Harris 2010594 0 1257 419 13 7 0
Harris 2010595 0 882 213 9 5 0
Harris 2010596 0 1354 919 28 15 0
Harris 2010597 0 1499 884 24 11 0
Harris 2010598 0 2706 1402 42 23 0
Harris 2010599 0 1696 716 15 10 1
Harris 2010600 0 1878 1030 17 15 0
Harris 2010601 0 1155 2087 44 6 0
Harris 2010602 0 449 760 13 2 0
Harris 2010603 0 1992 1997 44 7 0
Harris 2010604 0 446 2195 38 2 0
Harris 2010605 0 1888 783 21 13 0
Harris 2010606 0 458 22 2 0 0
Harris 2010607 0 463 76 2 2 0
Harris 2010608 0 177 127 4 2 0
Harris 2010609 0 1489 1785 28 9 0
Harris 2010610 0 834 571 8 8 0
Harris 2010611 0 1193 94 7 7 0
Harris 2010612 0 830 1760 40 7 0
Harris 2010613 0 1309 392 10 6 0
Harris 2010614 0 2133 945 9 16 0
Harris 2010615 0 961 764 12 9 0
Harris 2010616 0 1247 1574 52 6 0
Harris 2010617 0 1934 930 27 6 0
Harris 2010618 0 1722 1109 40 12 0
Harris 2010619 0 1494 2381 66 8 0
Harris 2010620 0 1527 1145 26 6 0
Harris 2010621 0 588 389 6 4 0
Harris 2010622 0 1673 1709 32 11 0
Harris 2010623 0 1488 1530 33 14 2
Harris 2010624 0 284 627 12 3 0
Harris 2010625 0 827 674 21 4 0
Harris 2010626 0 1970 1500 42 19 0
Harris 2010627 0 1230 617 11 6 0
Harris 2010628 0 892 558 17 4 0
Harris 2010629 0 298 32 1 2 0
Harris 2010630 0 3742 409 21 11 0
Harris 2010631 0 1009 1310 18 8 0
Harris 2010632 0 3 0 0 1 0
Harris 2010633 0 1318 1929 41 5 1
Harris 2010634 0 1113 1134 17 9 0
Harris 2010635 0 815 1632 36 8 0
Harris 2010636 0 521 3413 43 5 0
Harris 2010637 0 1298 489 12 7 0
Harris 2010638 0 1226 152 5 6 0
Harris 2010639 0 499 1319 23 12 0
Harris 2010640 0 1337 1435 42 5 0
Harris 2010641 0 1291 1508 21 8 0
Harris 2010642 0 435 963 22 3 0
Harris 2010643 0 1638 1298 19 15 0
Harris 2010644 0 1654 1765 49 21 0
Harris 2010645 0 2532 1185 43 17 0
Harris 2010646 0 1022 633 8 4 0
Harris 2010647 0 1640 1246 9 10 0
Harris 2010648 0 1106 1631 30 11 0
Harris 2010649 0 2014 936 16 12 0
Harris 2010650 0 1348 1856 36 7 1
Harris 2010651 0 1444 1321 37 8 0
Harris 2010652 0 1671 426 8 6 0
Harris 2010653 0 265 90 4 0 0
Harris 2010654 0 1913 1951 37 9 0
Harris 2010655 0 1673 1636 45 8 0
Harris 2010656 0 1400 108 5 2 0
Harris 2010657 0 786 374 17 4 0
Harris 2010658 0 873 1117 37 7 0
Harris 2010659 0 1443 2566 33 7 0
Harris 2010660 0 2026 353 7 12 1
Harris 2010661 0 1824 1462 44 14 0
