DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Bexar 2128 0 826 313 12 30 2
NA Bexar 2129 0 0 0 0 0 0
NA Bexar 2130 0 884 574 12 32 0
NA Bexar 2131 0 165 103 4 4 0
NA Bexar 2132 0 0 0 0 0 0
NA Bexar 2133 0 144 106 1 6 0
NA Bexar 2134 0 490 235 16 24 1
NA Bexar 2135 0 288 148 5 12 0
NA Bexar 2136 0 1534 1367 23 71 3
NA Bexar 2137 0 466 287 4 15 0
NA Bexar 2138 0 368 250 8 14 0
NA Bexar 2139 0 705 616 10 29 1
NA Bexar 2140 0 706 324 6 23 2
NA Bexar 2141 0 553 421 10 28 0
NA Bexar 2142 0 242 106 7 12 0
NA Bexar 2143 0 734 602 9 25 1
NA Bexar 2144 0 817 467 12 25 0
NA Bexar 2145 0 148 114 2 5 0
NA Bexar 2146 0 37 16 1 1 0
NA Bexar 2147 0 221 164 4 7 0
NA Bexar 2148 0 1474 704 24 65 3
NA Bexar 2149 0 836 396 12 33 2
NA Bexar 2150 0 5 1 1 1 0
NA Bexar 2151 0 11 5 0 0 0
NA Bexar 2152 0 216 77 4 8 0
NA Bexar 2153 0 121 69 3 6 1
NA Bexar 2154 0 1529 1156 19 82 0
NA Bexar 2155 0 1 0 0 0 0
NA Bexar 2156 0 550 264 5 26 0
NA Bexar 2157 0 0 0 0 0 0
NA Bexar 2158 0 0 0 0 0 0
NA Bexar 2159 0 77 71 0 3 0
NA Bexar 2160 0 2 2 0 0 0
NA Bexar 3001 0 1149 1410 18 47 5
NA Bexar 3002 0 835 791 15 40 3
NA Bexar 3003 0 19 32 1 1 0
NA Bexar 3004 0 0 0 0 0 0
NA Bexar 3005 0 811 1634 9 22 2
NA Bexar 3006 0 390 455 7 16 0
NA Bexar 3007 0 1089 1170 20 43 0
NA Bexar 3008 0 29 50 1 0 0
NA Bexar 3009 0 0 11 0 0 1
NA Bexar 3010 0 261 128 3 18 0
NA Bexar 3011 0 393 404 2 9 0
NA Bexar 3012 0 323 674 4 9 0
NA Bexar 3013 0 740 585 10 33 0
NA Bexar 3014 0 176 199 3 8 0
NA Bexar 3015 0 417 345 9 17 1
NA Bexar 3016 0 76 81 1 1 0
NA Bexar 3017 0 604 1461 4 31 0
NA Bexar 3018 0 636 852 5 13 0
NA Bexar 3019 0 317 155 6 16 2
NA Bexar 3020 0 1045 1003 9 28 1
NA Bexar 3021 0 529 1479 6 13 0
NA Bexar 3022 0 619 686 7 15 0
NA Bexar 3023 0 961 734 16 43 1
NA Bexar 3024 0 0 0 0 0 0
NA Bexar 3025 0 593 767 2 21 0
NA Bexar 3026 0 496 738 5 7 0
NA Bexar 3027 0 512 663 5 15 1
