COUNTY AREA TOTAL DEM REP LIB OTH
COUNTY AREA TOTAL Northam Gillespie Hyra Other
"Bedford County" "704 - Bedford Central Library" 1186 441 735 10 0
"Bedford County" "Ab - Central Absentee Precinct" 777 251 518 8 0
"Bedford County" "Ab - Central Absentee Precinct" 545 193 343 9 0
"Bedford County" Provisional 8 2 6 0 0
"Bedford County" Provisional 4 1 3 0 0
"Bland County" "101 - Bastian" 236 44 192 0 0
"Bland County" "102 - Ceres" 274 42 228 4 0
"Bland County" "201 - Davis" 79 17 61 1 0
"Bland County" "202 - Seddon" 512 107 400 5 0
"Bland County" "301 - Hollybrook" 226 29 196 1 0
"Bland County" "302 - Mechanicsburg" 128 15 111 1 1
"Bland County" "401 - Rocky Gap" 533 108 419 6 0
"Bland County" "Ab - Central Absentee Precinct" 95 26 67 2 0
"Bland County" Provisional 2 0 2 0 0
"Botetourt County" "101 - Daleville" 1323 433 880 10 0
"Botetourt County" "102 - Greenfield" 1429 340 1075 14 0
"Botetourt County" "201 - Blue Ridge" 1220 316 892 12 0
"Botetourt County" "202 - Rainbow Forest" 1301 326 959 15 1
"Botetourt County" "301 - Buchanan" 1015 250 754 10 1
"Botetourt County" "302 - Mill Creek" 1034 271 746 16 1
"Botetourt County" "403 - Eagle Rock" 694 145 542 7 0
"Botetourt County" "406 - Fincastle" 1445 401 1024 18 2
"Botetourt County" "501 - Troutville" 687 177 508 2 0
"Botetourt County" "502 - Cloverdale" 1682 512 1155 14 1
"Botetourt County" "Ab - Central Absentee Precinct" 667 235 428 4 0
"Botetourt County" Provisional 5 3 2 0 0
"Bristol City" "1 - First Ward" 656 192 459 4 1
"Bristol City" "2 - Second Ward" 1075 362 702 10 1
"Bristol City" "3 - Third Ward" 566 228 330 8 0
"Bristol City" "4 - Fourth Ward" 1717 371 1325 20 1
"Bristol City" "Ab - Central Absentee Precinct" 276 87 188 1 0
"Bristol City" Provisional 4 2 2 0 0
"Brunswick County" "101 - Brodnax" 231 120 111 0 0
"Brunswick County" "102 - Rock Store" 363 151 211 1 0
"Brunswick County" "103 - Tillman" 400 143 255 2 0
"Brunswick County" "201 - Dromgoole" 153 81 71 1 0
"Brunswick County" "202 - Edgerton" 394 268 123 3 0
"Brunswick County" "203 - Fitzhugh" 362 247 114 1 0
"Brunswick County" "301 - Alberta" 103 43 60 0 0
"Brunswick County" "302 - Danieltown" 443 234 208 1 0
"Brunswick County" "303 - Elmore" 201 99 102 0 0
"Brunswick County" "304 - Seymour" 180 109 71 0 0
"Brunswick County" "401 - Sturgeon" 671 399 266 6 0
"Brunswick County" "402 - King's Store" 254 177 76 1 0
"Brunswick County" "501 - Totaro" 723 534 188 1 0
"Brunswick County" "Ab - Central Absentee Precinct" 275 120 153 2 0
