COUNTY AREA TOTAL DEM REP
COUNTY AREA TOTAL DemReg RepReg
Butler "OXFORD 6" 658 657 1
Butler "OXFORD 7" 714 713 1
Butler "OXFORD 8" 926 925 1
Butler "OXFORD 9" 1077 1076 1
Butler "OXFORD 10" 731 730 1
Butler "OXFORD 11" 1047 1046 1
Butler "OXFORD 12" 578 577 1
Butler "OXFORD 13" 819 818 1
Butler "TRENTON 1" 235 234 1
Butler "TRENTON 2" 1143 1142 1
Butler "TRENTON 3" 1079 1078 1
Butler "TRENTON 4" 1149 1148 1
Butler "TRENTON 5" 544 543 1
Butler "TRENTON 6" 1311 1310 1
Butler "TRENTON 7" 1262 1261 1
Butler "FAIRFIELD TWP 1" 707 706 1
Butler "FAIRFIELD TWP 2" 681 680 1
Butler "FAIRFIELD TWP 3" 718 717 1
Butler "FAIRFIELD TWP 4" 1133 1132 1
Butler "FAIRFIELD TWP 5" 658 657 1
Butler "FAIRFIELD TWP 6" 1086 1085 1
Butler "FAIRFIELD TWP 7" 853 852 1
Butler "FAIRFIELD TWP 8" 793 792 1
Butler "FAIRFIELD TWP 9" 802 801 1
Butler "FAIRFIELD TWP 10" 815 814 1
Butler "FAIRFIELD TWP 11" 1199 1198 1
Butler "FAIRFIELD TWP 12" 1380 1379 1
Butler "FAIRFIELD TWP 13" 490 489 1
Butler "HANOVER TWP 1" 252 251 1
Butler "HANOVER TWP 2" 799 798 1
Butler "HANOVER TWP 3" 581 580 1
Butler "HANOVER TWP 4" 859 858 1
Butler "HANOVER TWP 5" 1005 1004 1
Butler "HANOVER TWP 6" 119 118 1
Butler "HANOVER TWP 7" 1002 1001 1
Butler "LEMON TWP 1" 460 459 1
Butler "LEMON TWP 2" 762 761 1
Butler "LIBERTY TWP 1" 1413 1412 1
Butler "LIBERTY TWP 2" 1416 1415 1
Butler "LIBERTY TWP 3" 2307 2306 1
Butler "LIBERTY TWP 4" 1396 1395 1
Butler "LIBERTY TWP 5" 1100 1099 1
Butler "LIBERTY TWP 6" 1598 1597 1
Butler "LIBERTY TWP 7" 1351 1350 1
Butler "LIBERTY TWP 8" 1024 1023 1
Butler "LIBERTY TWP 9" 1051 1050 1
Butler "LIBERTY TWP 10" 769 768 1
Butler "LIBERTY TWP 11" 2001 2000 1
Butler "LIBERTY TWP 12" 1334 1333 1
Butler "LIBERTY TWP 13" 1204 1203 1
Butler "MADISON TWP 1" 1321 1320 1
Butler "MADISON TWP 2" 1497 1496 1
Butler "MADISON TWP 3" 1295 1294 1
Butler "MADISON TWP 4" 1529 1528 1
Butler "MADISON TWP 5" 271 270 1
Butler "MILFORD TWP 1" 1131 1130 1
Butler "MILFORD TWP 2" 1492 1491 1
Butler "MORGAN TWP 1" 556 555 1
Butler "MORGAN TWP 2" 735 734 1
