COUNTY AREA TOTAL DEM REP LIB GRN Writein
COUNTY AREA TOTAL Clinton Trump Johnson Stein Writein
Bexar 0291133 0 0 2 0 0 0
Bexar 0291134 0 0 0 0 0 0
Bexar 0291135 0 1 1 0 0 0
Bexar 0291136 0 83 47 2 0 1
Bexar 0291137 0 0 0 0 0 0
Bexar 0291138 0 315 124 18 8 9
Bexar 0291139 0 243 94 14 6 6
Bexar 0291140 0 264 167 27 3 11
Bexar 0291141 0 313 199 31 6 14
Bexar 0291142 0 591 250 35 9 7
Bexar 0291143 0 602 537 50 8 23
Bexar 0291144a 0 389 465 25 5 12
Bexar 0291144b 0 24 29 2 0 1
Bexar 0291144c 0 20 23 1 0 1
Bexar 0291145 0 461 548 29 5 12
Bexar 0291146 0 44 55 1 0 1
Bexar 0291147 0 792 450 60 18 22
Bexar 0291148 0 124 64 6 3 1
Bexar 0291149 0 738 401 36 13 14
Bexar 0291150 0 976 662 97 18 34
Bexar 0291151 0 550 490 45 9 23
Bexar 0292001 0 276 45 9 6 2
Bexar 0292002 0 461 77 12 3 5
Bexar 0292003 0 689 96 7 6 2
Bexar 0292004 0 854 174 20 15 3
Bexar 0292005 0 405 89 13 10 3
Bexar 0292006 0 10 2 0 0 0
Bexar 0292007 0 596 116 12 5 8
Bexar 0292008 0 380 76 10 3 0
Bexar 0292009 0 668 260 50 13 23
Bexar 0292010 0 429 280 32 9 8
Bexar 0292011 0 654 126 12 11 8
Bexar 0292012 0 516 79 6 5 4
Bexar 0292013 0 436 117 20 7 3
Bexar 0292014 0 443 138 14 12 6
Bexar 0292015 0 589 89 11 15 4
Bexar 0292016 0 401 52 7 6 2
Bexar 0292017 0 323 58 10 4 3
Bexar 0292018 0 481 111 8 3 2
Bexar 0292019 0 508 98 16 10 3
Bexar 0292020 0 809 105 31 7 10
Bexar 0292021 0 885 160 21 11 5
Bexar 0292022 0 484 102 17 7 0
Bexar 0292023 0 1099 284 45 31 13
Bexar 0292024 0 605 210 25 11 6
Bexar 0292025 0 908 267 31 19 11
Bexar 0292026 0 772 367 28 10 11
Bexar 0292027 0 513 248 10 9 8
Bexar 0292028 0 909 378 23 19 5
Bexar 0292029 0 401 80 15 7 2
Bexar 0292030 0 505 86 5 11 1
Bexar 0292031 0 537 85 7 6 2
Bexar 0292032 0 183 44 4 5 3
Bexar 0292033 0 250 42 6 2 4
Bexar 0292034 0 260 52 8 4 1
Bexar 0292035 0 652 157 30 17 8
Bexar 0292036 0 734 313 28 14 20
Bexar 0292037 0 468 441 36 9 15
Bexar 0292038 0 470 289 10 21 14
Bexar 0292039 0 546 135 11 17 8
Bexar 0292040 0 868 320 40 17 12
Bexar 0292041 0 994 313 33 20 11
Bexar 0292042 0 599 152 13 10 4
Bexar 0292043 0 693 152 13 6 4
Bexar 0292044 0 729 174 17 10 3
Bexar 0292045 0 952 258 24 24 10
Bexar 0292046 0 919 311 29 21 12
Bexar 0292047 0 691 253 18 12 6
Bexar 0292048 0 555 147 21 11 6
Bexar 0292049 0 992 375 32 20 17
Bexar 0292050 0 631 274 24 12 15
Bexar 0292051 0 222 62 14 5 4
Bexar 0292052 0 337 83 6 6 7
Bexar 0292053 0 436 95 9 6 4
Bexar 0292054 0 880 201 27 24 13
Bexar 0292055 0 836 257 46 19 10
Bexar 0292056 0 494 180 21 8 4
Bexar 0292057 0 742 194 36 8 11
Bexar 0292058 0 749 249 24 15 6
Bexar 0292059 0 747 268 23 19 11
Bexar 0292060 0 512 184 17 12 6
Bexar 0292061 0 357 220 32 10 6
Bexar 0292062 0 422 220 18 6 9
Bexar 0292063a 0 167 295 14 4 8
Bexar 0292063b 0 184 323 18 4 10
Bexar 0292063c 0 6 11 1 0 0
Bexar 0292064 0 780 427 45 14 18
Bexar 0292065 0 1469 883 116 37 49
Bexar 0292066 0 1158 1139 87 20 50
Bexar 0292067 0 129 30 7 2 1
Bexar 0292068 0 1232 1077 89 33 29
Bexar 0292069 0 869 459 43 23 11
Bexar 0292070 0 730 85 15 10 7
Bexar 0292071 0 250 43 6 3 2
Bexar 0292072 0 987 718 97 32 35
Bexar 0292073 0 400 183 12 16 7
Bexar 0292074 0 337 74 2 3 1
Bexar 0292075 0 366 51 9 8 5
Bexar 0292076 0 718 599 54 21 27
Bexar 0292077 0 734 561 51 16 23
Bexar 0292078 0 784 445 46 17 13
Bexar 0292079 0 207 23 7 3 0
Bexar 0292080 0 421 217 22 8 6
Bexar 0292081 0 277 138 15 7 3
Bexar 0292082 0 461 214 22 16 5
Bexar 0292083 0 307 89 19 3 8
Bexar 0292084 0 944 1173 94 26 32
Bexar 0292085 0 524 177 13 11 10
Bexar 0292086 0 1018 793 80 34 32
Bexar 0292087 0 553 508 44 16 21
Bexar 0292088 0 1225 783 93 22 34
Bexar 0292089 0 165 36 4 1 2
Bexar 0292090 0 641 258 25 8 15
Bexar 0292091 0 966 402 80 26 26
Bexar 0292092 0 142 94 10 6 3
Bexar 0292093 0 305 222 26 8 8
Bexar 0292094 0 63 78 7 1 2
Bexar 0292095a 0 451 642 46 11 28
Bexar 0292095b 0 161 229 14 2 7
Bexar 0292095c 0 0 0 0 0 0
Bexar 0292096 0 706 361 67 30 27
Bexar 0292097 0 776 465 60 16 18
Bexar 0292098 0 417 226 40 17 5
Bexar 0292099 0 452 405 40 10 12
Bexar 0292100 0 403 205 18 10 11
Bexar 0292101 0 346 335 33 9 15
Bexar 0292102 0 833 698 51 23 22
Bexar 0292103 0 98 10 2 2 1
Bexar 0292104 0 103 14 6 2 0
Bexar 0292105 0 188 36 1 1 1
Bexar 0292106 0 172 76 10 5 4
Bexar 0292107 0 647 389 50 18 19
Bexar 0292108 0 317 404 29 6 16
Bexar 0292109 0 0 0 0 0 0
Bexar 0292110 0 404 301 21 9 12
Bexar 0292111 0 353 170 10 12 2
Bexar 0292112 0 558 397 27 12 16
Bexar 0292113 0 16 15 2 0 0
Bexar 0292114 0 733 370 42 13 12
Bexar 0292115 0 693 849 55 11 36
Bexar 0292116 0 1 1 0 0 0
Bexar 0292117 0 220 51 1 6 1
Bexar 0292118 0 14 1 0 0 0
Bexar 0292119 0 120 30 4 2 2
Bexar 0292120 0 113 161 11 1 6
Bexar 0292121 0 162 102 7 8 1
Bexar 0292122 0 494 184 36 7 11
Bexar 0292123 0 534 579 41 14 27
Bexar 0292124 0 232 154 11 5 4
Bexar 0292125 0 748 628 63 15 31
Bexar 0292126 0 446 283 21 10 6
Bexar 0292127 0 796 626 51 13 22
Bexar 0292128 0 698 146 19 11 5
Bexar 0292129 0 1 0 0 0 0
Bexar 0292130 0 698 435 58 13 11
Bexar 0292131 0 129 69 8 5 2
Bexar 0292132 0 2 0 0 0 0
Bexar 0292133 0 111 91 7 4 2
Bexar 0292134 0 410 177 33 15 10
Bexar 0292135 0 218 84 8 6 4
Bexar 0292136 0 1133 1100 103 20 45
Bexar 0292137 0 396 248 17 11 5
Bexar 0292138 0 308 183 18 14 9
Bexar 0292139 0 556 488 35 16 20
Bexar 0292140 0 506 243 32 10 13
Bexar 0292141 0 435 334 44 10 16
Bexar 0292142 0 175 85 8 3 6
Bexar 0292143 0 683 540 39 17 14
Bexar 0292144 0 670 380 24 15 12
Bexar 0292145 0 110 99 1 1 4
Bexar 0292146 0 20 7 2 0 0
Bexar 0292147 0 105 90 7 3 6
Bexar 0292148a 0 1121 543 77 29 17
Bexar 0292148b 0 0 0 0 0 0
Bexar 0292149 0 579 273 37 23 13
Bexar 0292150 0 5 0 0 0 1
Bexar 0292151 0 11 6 0 2 0
Bexar 0292152 0 217 35 7 7 7
Bexar 0292153 0 110 53 5 7 4
Bexar 0292154a 0 370 307 35 9 17
Bexar 0292154b 0 147 123 12 2 6
Bexar 0292154c 0 23 19 2 0 1
Bexar 0292154d 0 36 30 3 1 2
Bexar 0292155 0 2 2 0 0 0
Bexar 0292156 0 352 202 31 5 21
Bexar 0292157 0 0 0 0 0 0
Bexar 0292158 0 0 0 0 0 0
Bexar 0292159 0 75 42 6 1 0
Bexar 0292160 0 26 42 2 1 1
Bexar 0293001 0 781 1026 61 20 41
Bexar 0293002 0 718 693 45 19 20
Bexar 0293003 0 17 30 1 1 0
Bexar 0293004 0 0 2 0 0 0
Bexar 0293005 0 343 878 48 8 25
Bexar 0293006 0 349 393 35 6 9
Bexar 0293007 0 732 891 57 12 30
Bexar 0293008 0 23 37 2 1 1
Bexar 0293009 0 0 7 0 0 0
Bexar 0293010 0 190 103 8 4 10
Bexar 0293011 0 322 392 22 5 11
Bexar 0293012 0 166 376 25 1 6
Bexar 0293013 0 598 499 53 16 14
Bexar 0293014 0 177 159 19 5 3
Bexar 0293015 0 350 291 20 7 3
Bexar 0293016 0 56 80 3 4 1
Bexar 0293017a 0 270 842 36 2 16
Bexar 0293017b 0 19 49 2 0 1
Bexar 0293018 0 561 669 51 9 27
Bexar 0293019 0 233 137 14 4 6
Bexar 0293020 0 912 800 81 11 42
Bexar 0293021 0 509 1230 73 0 25
Bexar 0293022 0 532 546 36 9 24
Bexar 0293023 0 791 574 61 26 25
Bexar 0293024 0 1 1 0 0 0
Bexar 0293025 0 551 606 68 5 26
Bexar 0293026 0 478 530 47 8 29
Bexar 0293027 0 423 548 49 11 19
Bexar 0293028 0 552 617 52 14 14
Bexar 0293029 0 412 361 39 14 12
Bexar 0293030 0 601 906 50 5 42
Bexar 0293031 0 8 6 1 0 1
Bexar 0293032 0 732 426 67 17 15
Bexar 0293033 0 444 941 48 5 26
Bexar 0293034 0 390 1533 56 5 27
Bexar 0293035 0 270 235 11 5 5
Bexar 0293036 0 1092 758 95 47 42
Bexar 0293037 0 862 790 71 18 29
Bexar 0293038 0 408 377 18 6 12
Bexar 0293039 0 841 1622 109 18 58
Bexar 0293040 0 614 673 60 21 27
Bexar 0293041 0 164 211 18 1 10
Bexar 0293042 0 455 678 44 9 23
Bexar 0293043 0 499 1211 46 7 17
Bexar 0293044 0 419 520 37 7 12
Bexar 0293045 0 392 670 38 3 21
Bexar 0293046 0 520 528 38 9 19
Bexar 0293047 0 586 630 51 15 26
Bexar 0293048 0 504 493 45 11 27
Bexar 0293049 0 605 866 44 16 25
Bexar 0293050 0 339 424 24 7 16
Bexar 0293051 0 88 170 7 6 1
Bexar 0293052 0 1241 1604 86 25 30
Bexar 0293053 0 485 552 48 12 20
Bexar 0293054 0 592 425 36 20 12
Bexar 0293055 0 699 1751 87 10 47
Bexar 0293056 0 643 450 40 27 17
Bexar 0293057 0 183 194 18 5 5
Bexar 0293058 0 800 525 66 25 22
Bexar 0293059 0 459 584 35 12 15
Bexar 0293060 0 571 592 46 23 17
Bexar 0293061 0 569 499 58 21 13
Bexar 0293062 0 4 17 1 1 1
Bexar 0293063 0 614 575 45 17 17
Bexar 0293064 0 137 137 9 4 5
Bexar 0293065 0 11 7 1 0 0
Bexar 0293066 0 625 615 23 17 26
Bexar 0293067 0 484 564 43 6 22
Bexar 0293068 0 835 407 64 31 29
Bexar 0293069 0 957 1029 90 19 43
Bexar 0293070 0 801 952 51 12 18
Bexar 0293071 0 868 642 64 17 25
Bexar 0293072 0 890 1347 69 28 52
Bexar 0293073 0 518 510 41 10 25
Bexar 0293074 0 783 964 69 23 21
Bexar 0293075 0 737 1382 70 7 34
