DIST COUNTY AREA TOTAL DEM REP OTHER
DIST COUNTY AREA TOTAL Dem Rep Other
2 Gilchrist "2A Donnie Center" 0 0 1272 18
2 Gilchrist "3A Bell Community Center" 0 0 1125 30
2 Gilchrist "4A Cruse Center" 0 0 1113 43
2 Gilchrist "5A N Gilchrist Fire Station" 0 0 609 16
2 Gilchrist "6A Osteen Center" 0 0 1298 54
2 Gilchrist "7A Osceola Center" 0 0 851 24
2 Gilchrist "8A Southeast Center" 0 0 861 38
2 Gulf "Cape San Blas Fire Station" 0 0 517 46
2 Gulf "Centennial Building" 0 0 1215 30
2 Gulf "First Pentecostal Church Hall" 0 0 957 49
2 Gulf "Highland View Fire Station" 0 0 316 13
2 Gulf "Honeyville Community Center" 0 0 1526 28
2 Gulf "Howard Creek Fire Station" 0 0 169 6
2 Gulf "Overstreet Fire Station" 0 0 431 18
2 Gulf "Port St. Joe Fire Station" 0 0 761 67
2 Gulf "St. Joe Beach Fire Station" 0 0 730 39
2 Gulf "White City Fire Station" 0 0 184 5
2 Holmes "East Bonifay" 0 0 982 33
2 Holmes Noma 0 0 593 7
2 Holmes "West Bonifay" 0 0 1393 31
2 Jackson "Alford Comm Center" 0 0 2416 83
2 Jackson "Campbellton Comm Center" 0 0 617 77
2 Jackson "Citizens Lodge" 0 0 2218 122
2 Jackson "Co Comm Admin Bldg" 0 0 1406 137
2 Jackson "Cottondale Comm Center" 0 0 1331 66
2 Jackson "Cypress Park" 0 0 449 13
2 Jackson "Eastside Baptist Church" 0 0 2035 67
2 Jackson "Graceville Civic Ctr" 0 0 1806 45
2 Jackson "Grand Ridge Comm Ctr" 0 0 1057 40
2 Jackson "Greenwood Town Hall" 0 0 476 44
2 Jackson "Malone City Hall" 0 0 1068 45
2 Jackson "Shady Grove Methodist Ch" 0 0 717 13
2 Jackson "Sneads City Hall" 0 0 1586 62
2 Jackson "Welcome Assembly of God CH" 0 0 1080 108
2 Jefferson 10 0 0 16 0
2 Jefferson 11 0 0 22 0
2 Jefferson 12 0 0 234 0
2 Jefferson Absentee 0 0 136 0
2 Jefferson "Early Voting" 0 0 178 11
2 Jefferson Provisional 0 0 0 0
2 Lafayette "4th District Community Center" 0 0 870 5
2 Lafayette "Airline Community Center" 0 0 825 8
2 Lafayette "Day Community Center" 0 0 701 1
2 Lafayette "Lafayette Public Library" 0 0 540 4
2 Lafayette "Mayo Community Center" 0 0 371 2
2 Leon 1257 0 0 441 148
2 Leon 1259 0 0 53 32
2 Leon 1302 0 0 604 463
2 Leon 1303 0 0 243 239
2 Leon 1314 0 0 183 104
2 Leon 1362 0 0 27 35
2 Leon 1502 0 0 250 397
2 Leon 1507 0 0 1134 701
2 Leon 2252 0 0 840 370
2 Leon 2253 0 0 382 180
2 Leon 2502 0 0 427 388
2 Leon 2503 0 0 116 104
2 Leon 2506 0 0 1016 833
2 Leon 3101 0 0 746 766
2 Leon 3103 0 0 752 671
2 Leon 3109 0 0 358 363
2 Leon 3401 0 0 606 661
2 Leon 3403 0 0 438 511
2 Leon 3405 0 0 397 275
2 Leon 3413 0 0 0 0
2 Leon 3451 0 0 36 29
2 Leon 3453 0 0 733 665
2 Leon 3455 0 0 918 709
2 Leon 3459 0 0 783 484
2 Leon 3461 0 0 1040 571
2 Leon 4101 0 0 702 528
2 Leon 4103 0 0 1546 1087
2 Leon 4106 0 0 0 0
2 Leon 4107 0 0 223 173
2 Leon 4109 0 0 124 90
2 Leon 4119 0 0 2347 1650
2 Leon 4125 0 0 2554 1507
