COUNTY AREA TOTAL DEM REP LIB GRN CON IND ASC
COUNTY AREA TOTAL Clinton Trump Johnson Stein Castle McMullin Skewes
Beaufort "BURTON 1B" 452 335 97 14 2 3 0 1
Beaufort "BURTON 1C" 618 315 265 18 6 1 11 2
Beaufort "BURTON 2A" 657 205 420 21 2 4 3 2
Beaufort "BURTON 2B" 765 294 425 25 8 0 10 3
Beaufort "BURTON 2C" 844 249 558 20 2 3 9 3
Beaufort "BURTON 3" 230 125 85 4 9 2 5 0
Beaufort "CHECHESSEE 1" 839 260 541 22 2 0 14 0
Beaufort "CHECHESSEE 2" 734 217 475 26 6 1 9 0
Beaufort "Ladys Island 1A" 695 233 411 37 4 0 9 1
Beaufort "Ladys Island 1B" 714 282 404 23 1 0 4 0
Beaufort "Ladys Island 2A" 821 192 580 28 7 4 7 3
Beaufort "Ladys Island 2B" 591 178 380 18 6 0 9 0
Beaufort "Ladys Island 3A" 439 128 290 9 4 2 6 0
Beaufort "Ladys Island 3B" 541 146 364 14 11 1 4 1
Beaufort "Mossy Oaks 1A" 494 162 306 16 4 2 4 0
Beaufort "Mossy Oaks 1B" 586 166 383 21 3 1 12 0
Beaufort "Mossy Oaks 2" 559 203 314 28 7 1 5 1
Beaufort "PORT ROYAL 1" 513 213 275 11 2 5 3 4
Beaufort "PORT ROYAL 2" 510 236 243 16 6 5 4 0
Beaufort "DALE LOBECO" 520 324 177 11 4 1 2 1
Beaufort "SEABROOK 1" 492 204 266 7 5 4 5 1
Beaufort "SEABROOK 2" 411 282 119 4 2 0 3 1
Beaufort "SEABROOK 3" 653 343 280 17 4 2 6 1
Beaufort "SHELDON 1" 533 290 228 8 3 2 2 0
Beaufort "SHELDON 2" 367 317 40 3 2 1 4 0
Beaufort "BURTON 1D" 273 99 158 10 2 0 4 0
Beaufort "Saint Helena 1A" 524 406 101 14 2 0 1 0
Beaufort "Saint Helena 1B" 601 449 137 12 2 0 1 0
Beaufort "Saint Helena 1C" 788 252 494 25 5 1 9 2
Beaufort "Saint Helena 2A" 589 340 232 7 2 1 6 1
Beaufort "Saint Helena 2B" 599 434 148 4 3 2 6 2
Beaufort "Saint Helena 2C" 609 180 406 12 2 4 5 0
Beaufort "Ladys Island 2C" 485 151 298 23 6 0 5 2
Beaufort "Ladys Island 3C" 455 128 297 12 1 2 14 1
Beaufort DAUFUSKIE 225 75 139 9 0 0 2 0
