COUNTY AREA TOTAL DEM REP CON IND LIB REF
COUNTY AREA TOTAL Clinton Trump Castle Other Johnson DeLaFuente
Clark 2662 0 93 117 2 12 5 1
Clark 2663 0 226 558 3 23 22 3
Clark 2664 0 6 5 0 0 0 0
Clark 2665 0 33 110 0 3 1 0
Clark 2666 0 887 639 5 40 45 5
Clark 2671 0 475 858 15 26 44 2
Clark 2672 0 461 691 7 38 37 5
Clark 2673 0 38 72 1 1 4 0
Clark 2674 0 680 463 4 34 48 3
Clark 2675 0 4 17 0 0 1 0
Clark 2676 0 8 18 1 1 0 0
Clark 2681 0 1 1 1 1 1 1
Clark 2682 0 357 449 0 24 18 1
Clark 2683 0 1 1 1 1 1 1
Clark 2684 0 8 13 0 0 1 0
Clark 2685 0 1 1 1 1 1 1
Clark 2691 0 9 21 0 0 0 0
Clark 2692 0 406 541 4 22 26 2
Clark 2693 0 32 58 0 5 1 0
Clark 2694 0 1 1 1 1 1 1
Clark 2695 0 360 567 2 20 26 3
Clark 2696 0 20 19 0 1 0 0
Clark 2700 0 397 362 5 11 21 0
Clark 2701 0 478 605 7 30 43 5
Clark 2702 0 356 311 1 16 21 1
Clark 2703 0 1 1 1 1 1 1
Clark 2704 0 8 23 0 1 0 0
Clark 2705 0 402 403 2 27 25 0
Clark 2706 0 0 0 0 0 0 0
Clark 2709 0 278 304 0 15 20 2
Clark 2710 0 309 289 2 18 31 1
Clark 2711 0 420 451 4 25 21 5
Clark 2712 0 1 1 1 1 1 1
Clark 2713 0 407 186 4 17 18 4
Clark 2714 0 453 150 7 23 16 0
Clark 2715 0 1 1 1 1 1 1
Clark 2716 0 751 321 10 24 44 1
Clark 2720 0 0 0 0 0 0 0
Clark 2721 0 0 0 0 0 0 0
Clark 2722 0 189 77 4 13 14 1
Clark 2723 0 0 0 0 0 0 0
Clark 2724 0 556 275 6 23 32 4
Clark 2725 0 71 386 8 8 9 3
Clark 2726 0 71 374 6 14 8 1
Clark 2727 0 168 729 15 25 25 1
Clark 2729 0 301 86 2 10 19 2
Clark 2730 0 839 316 13 21 52 7
Clark 2731 0 529 895 12 32 26 3
Clark 2732 0 402 514 6 29 29 1
Clark 2733 0 422 216 2 22 29 4
Clark 2734 0 551 294 10 21 25 4
Clark 2735 0 493 184 3 18 19 2
Clark 2736 0 268 164 2 6 15 0
Clark 2737 0 620 165 8 13 27 0
Clark 2738 0 424 262 5 17 22 1
Clark 2740 0 606 251 3 17 20 4
Clark 2742 0 396 187 4 13 25 1
Clark 2743 0 625 353 7 30 25 7
Clark 2745 0 6 6 0 1 0 0
Clark 2746 0 403 244 5 16 19 1
Clark 2751 0 362 135 1 12 10 2
Clark 2752 0 837 184 7 20 18 5
Clark 2770 0 40 10 0 2 2 0
Clark 2775 0 459 858 6 39 21 2
Clark 2776 0 398 973 4 26 28 0
Clark 3036 0 263 352 1 15 5 1
Clark 3037 0 230 292 1 9 5 0
Clark 3040 0 326 558 3 11 10 0
Clark 3151 0 0 0 0 0 0 0
Clark 3152 0 22 37 0 1 5 0
Clark 3191 0 1 1 1 1 1 1
Clark 3217 0 677 622 4 26 43 4
Clark 3361 0 501 434 3 24 26 3
Clark 3363 0 564 697 1 40 30 0
Clark 3364 0 502 810 4 39 20 3
Clark 3365 0 337 355 0 15 15 0
Clark 3366 0 284 421 2 28 16 0
Clark 3370 0 350 370 2 13 17 0
Clark 3371 0 337 245 2 9 8 0
Clark 3372 0 493 466 0 24 29 2
Clark 3373 0 526 578 3 29 39 0
Clark 3374 0 358 364 1 16 23 1
Clark 3375 0 545 601 3 31 31 4
Clark 3380 0 270 172 1 12 15 1
Clark 3381 0 602 665 5 22 49 2
Clark 3382 0 507 458 1 19 44 0
Clark 3383 0 347 647 1 17 13 0
Clark 3385 0 623 730 5 29 32 2
Clark 3386 0 318 355 3 23 10 1
Clark 3391 0 332 279 0 18 24 1
Clark 3392 0 355 329 3 19 21 1
Clark 3393 0 272 244 5 17 18 0
Clark 3395 0 357 442 2 12 12 1
Clark 3413 0 308 449 0 12 13 1
Clark 3414 0 0 0 0 0 0 0
Clark 3416 0 494 476 5 28 36 1
Clark 3417 0 751 565 5 45 63 2
Clark 3418 0 246 281 1 6 20 0
Clark 3430 0 464 371 6 18 27 3
Clark 3431 0 446 421 5 12 23 2
Clark 3433 0 1 1 1 1 1 1
Clark 3435 0 595 463 12 29 46 4
Clark 3439 0 1 1 1 1 1 1
Clark 3457 0 1 1 1 1 1 1
Clark 3464 0 372 586 1 19 23 0
Clark 3465 0 350 404 2 15 16 3
Clark 3518 0 2 7 0 2 0 0
Clark 3532 0 54 171 1 4 6 0
Clark 3535 0 17 37 1 2 5 0
Clark 3537 0 0 0 0 0 0 0
Clark 3540 0 122 245 1 10 11 0
Clark 3544 0 406 524 3 31 34 0
Clark 3545 0 0 0 0 0 0 0
Clark 3546 0 589 496 8 30 49 4
Clark 3547 0 793 959 2 44 63 5
Clark 3552 0 0 0 0 0 0 0
Clark 3553 0 0 0 0 0 0 0
Clark 3557 0 752 686 5 47 39 2
Clark 3559 0 1 1 1 1 1 1
Clark 3560 0 0 0 0 0 0 0
Clark 3562 0 0 11 0 0 0 0
Clark 3564 0 59 198 1 4 9 0
Clark 3565 0 416 443 6 22 33 1
Clark 3566 0 1 1 1 1 1 1
Clark 3571 0 1 1 1 1 1 1
Clark 3574 0 0 0 0 0 0 0
Clark 3576 0 233 348 1 18 17 1
Clark 3578 0 7 20 0 1 3 0
Clark 3579 0 3 7 0 0 0 0
Clark 3580 0 0 0 0 0 0 0
Clark 3581 0 1 1 1 1 1 1
Clark 3582 0 6 4 0 1 0 0
Clark 3602 0 605 658 5 32 55 1
Clark 3604 0 762 597 8 39 78 4
Clark 3605 0 91 191 2 8 19 0
Clark 3606 0 422 409 6 24 20 1
Clark 3607 0 1008 649 10 51 90 3
Clark 3608 0 322 777 4 30 25 2
Clark 3609 0 336 684 6 27 33 2
Clark 3610 0 380 560 4 16 37 5
Clark 3611 0 0 0 0 0 0 0
Clark 3612 0 0 0 0 0 0 0
Clark 3700 0 1 1 1 1 1 1
Clark 3701 0 0 0 0 0 0 0
Clark 3702 0 657 544 7 31 28 1
Clark 3703 0 8 8 0 0 0 0
Clark 3704 0 367 214 4 12 20 2
Clark 3706 0 989 980 10 51 103 6
Clark 3707 0 803 888 8 32 60 3
Clark 3708 0 194 223 2 17 18 1
