COUNTY AREA TOTAL DEM REP Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
COUNTY AREA TOTAL Clinton Trump Castle Stein Vacek Johnson Kahn DeLaFuente McMullin LaRiva Writein
Cass "Atlantic 4" 0 227 555 0 1 0 25 3 0 9 0 9
Cass "Atlantic 5" 0 258 515 3 8 0 19 4 0 1 0 4
Cass "Bear Grove/Cass Twp/Lewis" 0 108 320 1 1 0 20 1 0 3 0 6
Cass "Benton/Franklin Twp/Wiota" 0 75 171 0 1 0 11 0 0 4 0 2
Cass "Brighton/Grove/Pymosa/Washington Twp/Marne" 0 139 564 4 5 0 13 0 0 5 0 8
Cass "Edna/Victoria Twp" 0 31 105 2 0 0 4 0 0 1 0 2
Cass "Grant/Lincoln Twp/Anita" 0 243 441 3 3 1 20 0 0 1 0 4
Cass "Massena Twp/Massena City" 0 80 192 3 3 0 4 1 0 2 0 2
Cass "Noble/Pleasant Twp/Griswold" 0 181 615 3 2 0 19 1 0 5 1 3
Cass "Cass-Union Twp/Cumberland Total" 0 44 170 1 1 2 5 0 0 0 0 1
Cedar CASS/CENTER/IOWA/ROCHESTER 0 420 765 3 6 0 39 1 1 4 0 11
Cedar DAYTON/FAIRFIELD 0 223 478 5 9 2 17 0 0 3 0 3
Cedar "FARMINGTON/SUGAR CREEK" 0 404 883 9 10 3 53 2 0 7 0 13
Cedar "FREMONT/RED OAK" 0 184 333 4 6 1 20 1 1 0 0 8
Cedar GOWER/SPRINGDALE 0 353 303 1 4 0 25 1 0 6 0 18
Cedar INLAND 0 112 249 1 1 3 16 0 0 2 0 1
Cedar LINN/PIONEER 0 382 553 3 6 0 48 1 0 7 0 16
Cedar MASSILLON/SPRINGFIELD 0 205 498 3 7 1 23 3 0 3 0 10
Cedar "TIPTON 1" 0 191 217 1 3 3 18 1 0 1 0 3
Cedar "TIPTON 2" 0 214 243 3 4 2 22 0 0 0 0 6
Cedar "TIPTON 3" 0 249 315 1 3 0 29 0 0 3 0 8
