DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
DIST COUNTY AREA TOTAL DEM REP LIB OTH1 OTH2
2 Harris 2010224 0 1262 831 31 0 0
2 Harris 2010244 0 1156 1073 38 0 0
2 Harris 2010246 0 1456 1888 59 0 0
2 Harris 2010260 0 545 571 11 0 0
2 Harris 2010262 0 1374 1556 62 0 0
2 Harris 2010263 0 1020 2248 41 0 0
2 Harris 2010274 0 706 1146 26 0 0
2 Harris 2010299 0 562 336 23 0 0
2 Harris 2010310 0 486 733 21 0 0
2 Harris 2010313 0 13 28 3 0 0
2 Harris 2010323 0 708 484 29 0 0
2 Harris 2010330 0 970 798 46 0 0
2 Harris 2010340 0 848 2133 54 0 0
2 Harris 2010350 0 1652 765 41 0 0
2 Harris 2010351 0 1000 2912 40 0 0
2 Harris 2010357 0 757 2008 31 0 0
2 Harris 2010361 0 996 149 9 0 0
2 Harris 2010363 0 2232 1265 89 0 0
2 Harris 2010380 0 2203 2093 79 0 0
2 Harris 2010388 0 2412 2195 93 0 0
2 Harris 2010398 0 1426 1287 50 0 0
2 Harris 2010407 0 1226 1725 49 0 0
2 Harris 2010421 0 886 783 26 0 0
2 Harris 2010424 0 453 512 12 0 0
2 Harris 2010444 0 1198 1500 44 0 0
2 Harris 2010445 0 625 938 19 0 0
2 Harris 2010446 0 80 54 4 0 0
2 Harris 2010447 0 1959 2811 43 0 0
2 Harris 2010451 0 520 1681 16 0 0
2 Harris 2010459 0 776 2317 28 0 0
2 Harris 2010464 0 724 1049 34 0 0
2 Harris 2010469 0 480 1676 15 0 0
2 Harris 2010472 0 569 343 9 0 0
2 Harris 2010477 0 1144 2137 51 0 0
2 Harris 2010478 0 1339 1904 47 0 0
2 Harris 2010479 0 799 2104 33 0 0
2 Harris 2010482 0 1238 2177 56 0 0
2 Harris 2010484 0 1158 1809 50 0 0
2 Harris 2010493a 0 1344 1000 41 0 0
2 Harris 2010493b 0 0 0 0 0 0
2 Harris 2010496 0 854 596 28 0 0
2 Harris 2010500 0 1100 1684 60 0 0
2 Harris 2010513 0 778 1601 22 0 0
2 Harris 2010514 0 1062 2115 56 0 0
2 Harris 2010515 0 642 1893 19 0 0
2 Harris 2010516 0 982 979 21 0 0
2 Harris 2010523 0 1066 1397 71 0 0
2 Harris 2010546 0 334 1706 18 0 0
2 Harris 2010548 0 801 719 47 0 0
2 Harris 2010551 0 1151 3131 53 0 0
2 Harris 2010563 0 745 2175 24 0 0
2 Harris 2010577 0 634 943 17 0 0
2 Harris 2010586 0 1276 1545 85 0 0
2 Harris 2010588 0 1181 1763 58 0 0
2 Harris 2010590 0 423 1298 17 0 0
2 Harris 2010593 0 1478 1479 68 0 0
2 Harris 2010597 0 1373 920 66 0 0
2 Harris 2010599 0 1556 784 57 0 0
2 Harris 2010601 0 976 2264 40 0 0
2 Harris 2010604 0 363 2257 29 0 0
2 Harris 2010609 0 1324 1890 48 0 0
2 Harris 2010610 0 733 618 21 0 0
2 Harris 2010612 0 676 1924 30 0 0
2 Harris 2010621 0 521 429 22 0 0
2 Harris 2010622 0 1485 1820 68 0 0
2 Harris 2010623 0 1297 1675 59 0 0
2 Harris 2010628 0 784 587 47 0 0
2 Harris 2010631 0 871 1413 32 0 0
2 Harris 2010633 0 1128 2096 47 0 0
2 Harris 2010634 0 996 1179 63 0 0
2 Harris 2010635 0 672 1743 46 0 0
2 Harris 2010636 0 405 3499 43 0 0
2 Harris 2010648 0 952 1768 39 0 0
2 Harris 2010658 0 793 1175 43 0 0
2 Harris 2010659 0 1277 2703 47 0 0
2 Harris 2010661 0 1600 1639 64 0 0
2 Harris 2010666 0 0 0 0 0 0
2 Harris 2010668 0 1273 1724 62 0 0
