COUNTY AREA TOTAL DEM REP Herzog Writein
COUNTY AREA TOTAL Greenfield Ernst Herzog Writein
Delaware "Manchester Ward 1" 778 334 421 2 2
Delaware "Manchester Ward 2" 954 377 556 6 0
Delaware "Manchester Ward 3" 939 409 505 7 1
Delaware Milo/Prairie 1112 336 753 6 0
Delaware "Oneida/N Fork/Bremen" 1575 366 1169 15 0
Delaware "Richland/Coffins Grove" 674 231 424 4 0
Delaware "South Fork/Union" 745 289 434 5 0
"Des Moines" "Pct 1T" 1728 784 892 17 3
"Des Moines" "Pct 2" 1468 802 588 20 0
"Des Moines" "Pct 3" 1218 681 462 25 2
"Des Moines" "Pct 4" 1084 610 397 23 6
"Des Moines" "Pct 5" 1263 659 557 20 0
"Des Moines" "Pct 6" 663 415 205 10 1
"Des Moines" "Pct 7" 1509 812 618 26 3
"Des Moines" "Pct 8C" 1833 954 819 17 2
"Des Moines" "Pct 9" 1565 843 660 7 2
"Des Moines" "Pct DM" 1010 319 638 15 3
"Des Moines" "Pct FM" 1474 605 813 14 0
"Des Moines" "Pct HJ" 769 230 522 3 0
"Des Moines" "Pct MY" 1630 508 1071 6 4
"Des Moines" "Pct PW" 442 109 320 0 1
"Des Moines" "Pct UNION" 476 182 278 2 0
"Des Moines" "Pct WB" 1484 783 628 27 2
Dickinson "Precinct No. 1" 803 236 544 8 0
Dickinson "Precinct No. 2" 715 214 494 3 0
Dickinson "Precinct No. 3" 655 207 441 3 0
Dickinson "Precinct No. 4 - NS Ballot #1" 258 91 156 0 1
Dickinson "Precinct No. 5" 1023 362 640 7 0
Dickinson "Precinct No. 6 - NS Ballot #1" 289 105 173 4 0
Dickinson "Precinct No. 7" 123 42 75 4 0
Dickinson "Precinct No. 8" 2133 706 1371 16 0
Dickinson "Precinct No. 9 - NS Ballot #1" 109 35 67 0 0
Dickinson "Precinct No. 10 - S Ballot #1" 533 180 347 1 0
Dickinson "Precinct No. 11" 685 261 417 2 0
Dickinson "Precinct No. 12" 601 177 416 1 0
Dickinson "Precinct No. 13 - S Ballot #1" 879 305 548 8 1
Dickinson "Precinct No. 14 - S Ballot #1" 627 241 376 2 1
Dickinson "Precinct No. 15" 1751 629 1084 7 1
Dubuque "1 Rockdale" 2153 983 1110 16 0
Dubuque "2 Theisens" 1986 1042 909 11 2
Dubuque "3 ARC" 1136 602 491 14 0
Dubuque "4 EMA" 2259 1143 1053 11 4
Dubuque "5 Arbor Oaks" 1949 1056 850 11 2
Dubuque "6 Summit" 1684 833 798 15 0
Dubuque "7 St. Peter Lutheran" 1973 1102 803 21 2
Dubuque "8 Emmaus" 1150 614 506 7 0
Dubuque "9 Westminster" 1320 745 530 11 0
Dubuque "10 Westminster" 1707 957 675 13 4
Dubuque "11 UAW" 1462 759 643 13 0
Dubuque "12 Windsor" 1749 937 733 21 2
Dubuque "13 Moose Lodge" 1105 588 473 12 2
Dubuque "14 Sacred Heart" 871 520 309 14 3
Dubuque "15 Holy Trinity" 1426 808 551 18 1
Dubuque "16 Election Annex" 781 514 227 10 0
Dubuque "17 St. Johns" 754 468 246 8 3
Dubuque "18 Federal Building" 1097 742 307 13 0
Dubuque "19 YMCA" 1444 876 521 12 1
Dubuque "20 Fogarty Hall" 1750 987 709 16 1
Dubuque "31 Asbury City Hall" 2021 1052 924 8 0
Dubuque "32 Meadows" 2541 1077 1413 11 0
Dubuque "33 Cascade" 1555 627 885 12 0
Dubuque "34 Peosta" 2630 1019 1547 16 1
Dubuque "35 Luxemburg" 1491 423 1037 8 0
Dubuque "36 Hope Church" 1779 716 1018 18 1
Dubuque "37 DYV Social Center" 693 247 428 4 0
Dubuque "38 DYV Social Center" 732 247 462 6 0
Dubuque "39 Beckman/Theisens" 1604 472 1095 13 1
Dubuque "40 Farley" 892 368 500 5 1
Dubuque "41 Epworth" 1660 656 954 16 0
Dubuque "42 Sherrill" 1859 699 1109 15 3
Dubuque "43 Key West" 2099 871 1175 14 3
Dubuque "44 Bernard" 373 121 240 4 0
Dubuque "45 Swiss Valley" 1395 562 803 11 0
Emmet AG-IL-Armstrong 672 181 464 3 0
Emmet CN-SL-Gruver 235 56 172 2 0
Emmet DM-JC-Ringsted 320 89 217 5 0
Emmet EL-LN-Dolliver 205 57 139 2 0
Emmet Emmet-Estherville 340 73 261 3 0
Emmet "Estherville Ward 1" 683 237 423 9 0
Emmet "Estherville Ward 2" 569 207 337 6 0
Emmet "Estherville Ward 3" 581 261 297 2 1
Emmet "Estherville Ward 4" 467 207 235 3 0
Emmet "Estherville Ward 5" 388 168 195 8 0
Emmet HL-TM-Wallingford 337 101 225 4 0
Fayette "AUBURN TWP." 294 90 197 4 0
Fayette "BANKS-FREMONT TWP." 473 134 326 3 0
Fayette "BETHEL-WINDSOR TWP." 545 171 358 4 0
Fayette "CENTER TWP." 176 49 122 0 1
Fayette "CLERMONT TWP." 477 156 314 0 0
Fayette "DOVER TWP." 312 69 239 1 1
Fayette "EDEN TWP." 293 89 194 0 1
Fayette "FAIRBANK, INC." 226 94 128 0 0
Fayette "FAIRFIELD-PUTNAM TWP." 510 151 347 6 1
Fayette "HARLAN TWP." 424 167 241 2 0
Fayette "ILLYRIA TWP." 290 105 176 4 0
Fayette "JEFFERSON TWP." 318 130 172 1 0
Fayette "OELWEIN-WARD 1" 674 340 312 5 1
Fayette "OELWEIN-WARD 2" 579 319 219 11 0
Fayette "OELWEIN-WARD 3" 554 307 224 5 1
Fayette "OELWEIN-WARD 4" 839 415 387 18 0
Fayette "ORAN TWP." 273 95 169 3 1
Fayette "PLEASANT VALLEY TWP." 530 184 335 3 0
Fayette "SCOTT TWP." 131 41 89 1 0
Fayette "SMITHFIELD TWP." 135 36 97 1 0
Fayette "UNION TWP." 240 61 173 0 0
Fayette "WEST UNION-WARD 1" 451 190 251 4 0
Fayette "WEST UNION-WARD 2" 330 124 192 4 0
Fayette "WEST UNION-WARD 3" 412 149 254 2 0
Fayette "WESTFIELD TWP." 616 246 349 7 0
Floyd "CC1 - Courthouse" 1114 531 534 13 2
