DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
DIST COUNTY AREA TOTAL DEM REP NPA WRITEIN OVERVOTES UNDERVOTES
20 Broward H011 2050 1623 427 0 0 0 85
20 Broward J001 1293 953 340 0 0 2 49
20 Broward J002 1425 951 474 0 0 0 47
20 Broward J003 1449 930 519 0 0 2 44
20 Broward J004 1706 1272 434 0 0 0 63
20 Broward J005 1449 1057 392 0 0 0 74
20 Broward J006 576 381 195 0 0 0 27
20 Broward J007 1655 1314 341 0 0 0 55
20 Broward J008 381 266 115 0 0 1 11
20 Broward J009 1324 943 381 0 0 1 47
20 Broward J010 1314 926 388 0 0 0 45
20 Broward J011 2522 1825 697 0 0 1 90
20 Broward J012 3766 2773 993 0 0 1 122
20 Broward J013 1711 1306 405 0 0 0 65
20 Broward J014 1531 1080 451 0 0 2 56
20 Broward J015 1493 1048 445 0 0 1 25
20 Broward J016 589 432 157 0 0 0 22
20 Broward J017 1432 1213 219 0 0 1 49
20 Broward J018 1724 1263 461 0 0 2 45
20 Broward J019 3046 2141 905 0 0 1 101
20 Broward J020 1322 1061 261 0 0 0 48
20 Broward J021 1994 1346 648 0 0 1 68
20 Broward J022 1688 1241 447 0 0 0 49
20 Broward J023 1229 806 423 0 0 0 42
20 Broward J024 934 694 240 0 0 0 32
20 Broward K001 1055 994 61 0 0 0 29
20 Broward K002 1258 1164 94 0 0 0 32
20 Broward K003 2177 2051 126 0 0 0 48
20 Broward K004 1555 1460 95 0 0 1 33
20 Broward K005 1143 1082 61 0 0 0 26
20 Broward K006 1365 1274 91 0 0 3 31
20 Broward K007 1385 1328 57 0 0 0 32
20 Broward K008 1237 1107 130 0 0 0 18
20 Broward K009 1384 1229 155 0 0 0 54
20 Broward K010 511 453 58 0 0 1 11
20 Broward K011 1345 1227 118 0 0 1 38
20 Broward L001 3822 3089 733 0 0 0 105
20 Broward L002 968 922 46 0 0 0 20
20 Broward L003 961 873 88 0 0 1 19
20 Broward L004 3737 3572 165 0 0 0 79
20 Broward L005 1263 1180 83 0 0 0 30
20 Broward L006 2554 2404 150 0 0 1 52
20 Broward L007 950 834 116 0 0 1 17
20 Broward L008 1588 1518 70 0 0 3 27
20 Broward L009 1667 1388 279 0 0 0 48
20 Broward L010 3576 3036 540 0 0 3 117
20 Broward L011 973 891 82 0 0 0 23
20 Broward L012 1024 953 71 0 0 0 15
20 Broward L013 2921 2416 505 0 0 1 59
20 Broward L014 915 895 20 0 0 0 11
20 Broward L015 699 675 24 0 0 0 5
20 Broward L016 1169 1140 29 0 0 0 20
20 Broward L017 752 716 36 0 0 1 10
20 Broward L018 1162 1112 50 0 0 0 19
20 Broward L019 461 440 21 0 0 1 10
20 Broward M002 2111 1883 228 0 0 2 50
20 Broward M003 2388 2161 227 0 0 0 52
20 Broward M004 1131 996 135 0 0 0 37
20 Broward M005 1352 1059 293 0 0 0 48
20 Broward M007 845 602 243 0 0 0 45
20 Broward M008 1165 847 318 0 0 0 74
20 Broward M009 1739 1277 462 0 0 0 61
20 Broward M013 1193 924 269 0 0 1 55
20 Broward M015 1756 1253 503 0 0 1 58
20 Broward M024 1215 886 329 0 0 0 39
20 Broward M026 1902 1399 503 0 0 0 60
20 Broward M027 17 6 11 0 0 0 1
20 Broward M028 1586 1223 363 0 0 1 38
20 Broward M031 729 627 102 0 0 0 17
20 Broward M032 1031 819 212 0 0 0 36
