COUNTY AREA TOTAL DEM REP LMN GRN Writein
COUNTY AREA TOTAL Klobuchar Newberger Schuller Overby Writein
Benton "Sauk Rapids P-4" 932 484 406 28 14 0
Benton "Sauk Rapids P-5" 1339 660 621 44 13 1
Benton "Sauk Rapids P-6" 0 0 0 0 0 0
Benton "Sauk Rapids Twp" 294 133 153 8 0 0
Benton "Watab Twp" 1554 634 861 46 13 0
"Big Stone" "Akron Twp" 94 61 31 2 0 0
"Big Stone" "Almond Twp" 64 37 25 2 0 0
"Big Stone" "Artichoke Twp" 46 27 18 1 0 0
"Big Stone" Barry 10 7 2 1 0 0
"Big Stone" "Big Stone Twp" 185 80 99 4 2 0
"Big Stone" "Browns Valley Twp" 71 51 20 0 0 0
"Big Stone" Beardsley 90 56 30 3 1 0
"Big Stone" Clinton 191 127 57 6 1 0
"Big Stone" Correll 11 4 6 1 0 0
"Big Stone" "Foster Twp" 77 41 29 5 2 0
"Big Stone" Graceville 304 169 125 6 3 1
"Big Stone" "Graceville Twp" 47 26 21 0 0 0
"Big Stone" Johnson 17 9 7 1 0 0
"Big Stone" "Malta Twp" 50 26 22 1 1 0
"Big Stone" "Moonshine Twp" 53 24 28 1 0 0
"Big Stone" Odessa 52 26 20 5 1 0
"Big Stone" "Odessa Twp" 73 27 46 0 0 0
"Big Stone" "Ortonville P-1" 609 310 270 20 9 0
"Big Stone" "Ortonville P-2" 326 154 158 13 1 0
"Big Stone" "Ortonville Twp" 48 18 29 1 0 0
"Big Stone" "Otrey Twp" 45 21 23 1 0 0
"Big Stone" "Prior Twp" 106 60 44 2 0 0
"Big Stone" "Toqua Twp" 25 7 17 1 0 0
"Blue Earth" Amboy 204 95 100 6 3 0
"Blue Earth" "Beauford Twp" 176 71 100 3 1 1
"Blue Earth" "Butternut Valley Twp" 147 72 74 1 0 0
"Blue Earth" "Cambria Twp" 111 69 38 4 0 0
"Blue Earth" "Ceresco Twp" 79 35 42 2 0 0
"Blue Earth" "Danville Twp" 144 73 68 3 0 0
"Blue Earth" "Decoria Twp" 595 284 297 7 7 0
"Blue Earth" "Eagle Lake" 1283 698 525 42 16 2
"Blue Earth" "Garden City Twp" 379 187 172 18 2 0
"Blue Earth" "Good Thunder" 201 115 79 5 2 0
"Blue Earth" "Jamestown Twp" 362 174 179 6 3 0
"Blue Earth" "Judson Twp" 298 158 130 7 3 0
"Blue Earth" "Lake Crystal" 1079 664 379 28 8 0
"Blue Earth" "Le Ray Twp" 376 195 175 4 2 0
"Blue Earth" "Lime Twp" 516 243 262 9 2 0
"Blue Earth" "Lincoln Twp" 100 46 51 2 1 0
"Blue Earth" "Lyra Twp" 142 68 71 3 0 0
"Blue Earth" "McPherson Twp" 207 98 105 1 3 0
"Blue Earth" "Madison Lake" 585 315 243 23 4 0
"Blue Earth" "Mankato W-5 P-1" 528 352 138 26 11 1
"Blue Earth" "Mankato W-5 P-2" 187 120 50 15 2 0
"Blue Earth" "Mankato W-5 P-3" 731 479 219 26 7 0
"Blue Earth" "Mankato W-5 P-4" 355 274 69 8 4 0
"Blue Earth" "Mankato W-5 P-5" 527 341 148 27 11 0
"Blue Earth" "Mankato W-5 P-6" 689 388 204 87 10 0
"Blue Earth" "Mankato W-3 P-7" 694 473 171 39 11 0
"Blue Earth" "Mankato W-3 P-8" 1145 723 375 38 9 0
"Blue Earth" "Mankato W-3 P-9" 1346 842 407 78 18 1
"Blue Earth" "Mankato W-4 P-10" 1051 750 222 58 20 1
"Blue Earth" "Mankato W-4 P-10A" 1137 749 325 48 15 0
"Blue Earth" "Mankato W-1 P-11" 1232 821 321 72 17 1
"Blue Earth" "Mankato W-1 P-12" 709 454 244 9 2 0
"Blue Earth" "Mankato W-4 P-13" 635 383 199 41 11 1
"Blue Earth" "Mankato W-1 P-14" 1564 973 526 50 14 1
