COUNTY AREA TOTAL DEM REP LIB CST
COUNTY AREA TOTAL Cooper Forest DiFiore Pisano
CRAVEN 11 0 543 1580 23 12
CRAVEN 16 0 1088 1988 45 9
CRAVEN 17 0 531 1281 27 10
CRAVEN 19 0 1113 1124 13 11
CRAVEN 20 0 987 1603 13 7
CRAVEN 21 0 798 1710 16 8
CRAVEN 23 0 1699 2569 46 12
CRAVEN CFB8 0 420 729 8 3
CRAVEN CLR4 0 865 873 23 4
CRAVEN DFB9 0 311 361 4 2
CRAVEN N1 0 968 577 16 8
CRAVEN N2 0 1181 327 13 5
CRAVEN N3N5 0 1555 1061 45 12
CRAVEN N4 0 2012 1320 47 26
CRAVEN N6 0 1795 1815 37 13
CRAVEN TE13 0 182 781 7 5
CRAVEN VE14 0 1261 1991 19 15
CUMBERLAND AH49 0 1700 618 37 20
CUMBERLAND AL51 0 1494 2635 37 11
CUMBERLAND CC01 0 1332 174 23 5
CUMBERLAND CC03 0 619 285 23 8
CUMBERLAND CC04 0 521 337 17 1
CUMBERLAND CC06 0 462 390 24 9
CUMBERLAND CC07 0 391 391 16 8
CUMBERLAND CC08 0 473 620 17 4
CUMBERLAND CC10 0 504 299 17 3
CUMBERLAND CC12 0 498 894 17 4
CUMBERLAND CC13 0 994 74 9 4
CUMBERLAND CC14 0 989 1036 31 15
CUMBERLAND CC15 0 979 1046 26 4
CUMBERLAND CC16 0 1394 38 14 6
CUMBERLAND CC17 0 1433 195 16 7
CUMBERLAND CC18 0 524 682 10 6
CUMBERLAND CC21 0 1686 622 44 13
CUMBERLAND CC24 0 672 303 16 8
CUMBERLAND CC25 0 859 496 22 9
CUMBERLAND CC26 0 1881 497 42 13
CUMBERLAND CC27 0 2024 554 55 20
CUMBERLAND CC29 0 1062 407 28 15
CUMBERLAND CC31 0 795 502 22 11
CUMBERLAND CC32 0 698 155 22 7
CUMBERLAND CC33 0 1192 532 22 15
CUMBERLAND CC34 0 792 844 33 5
CUMBERLAND CC519 0 1567 184 36 12
CUMBERLAND CL57-1 0 1686 558 48 24
CUMBERLAND CL57-2 0 1854 428 28 11
CUMBERLAND CU02 0 825 519 21 8
CUMBERLAND EO61-1 0 908 1466 17 14
CUMBERLAND EO61-2 0 685 958 6 8
CUMBERLAND G10A 0 2044 1779 62 26
CUMBERLAND G10B 0 1219 899 33 10
CUMBERLAND G10C 0 1403 1592 33 12
CUMBERLAND G11B 0 833 817 101 34
CUMBERLAND G1A 0 1051 453 21 4
