COUNTY AREA TOTAL DEM REP LIB GRN WI1 WI2 WI3 WI4 WI5 WI6
COUNTY AREA TOTAL Biden Trump Jorgensen Hawkins Boddie Carroll Hoefling Hunter Simmons Wells
Ashtabula "ROAMING SHORES VILLAGE" 932 279 634 8 4 0 0 0 0 0 0
Athens "ATHENS 1-1" 711 576 110 12 4 0 0 0 0 0 0
Athens "ATHENS 1-2" 389 348 31 4 2 0 0 0 0 0 0
Athens "ATHENS 1-3" 460 367 83 7 1 0 0 0 0 0 0
Athens "ATHENS 1-4" 50 36 13 0 1 0 0 0 0 0 0
Athens "ATHENS 1-5" 79 59 17 1 1 0 0 0 0 0 0
Athens "ATHENS 2-1" 86 67 17 2 0 0 0 0 0 0 0
Athens "ATHENS 2-2" 218 172 37 4 2 0 0 0 0 0 0
Athens "ATHENS 2-3" 533 389 128 7 2 0 0 0 0 0 0
Athens "ATHENS 2-4" 656 510 130 9 1 0 0 0 0 0 0
Athens "ATHENS 3-1" 166 130 32 3 0 0 0 0 0 0 0
Athens "ATHENS 3-2" 287 213 70 3 0 0 0 0 0 0 0
Athens "ATHENS 3-3" 211 160 50 1 0 0 0 0 0 0 0
Athens "ATHENS 3-4" 495 401 76 6 6 0 0 0 0 0 0
Athens "ATHENS 3-5" 586 534 45 5 1 0 0 0 0 0 0
Athens "ATHENS 3-6" 438 374 53 2 3 0 0 0 0 0 0
Athens "ATHENS 4-1" 563 430 120 4 2 0 0 0 0 0 0
Athens "ATHENS 4-2" 461 391 58 3 2 0 0 0 0 0 0
Athens "ATHENS 4-3" 337 295 39 2 1 0 0 0 0 0 0
Athens "ATHENS 4-4" 336 260 66 6 3 0 0 0 0 0 0
Athens "NELSONVILLE 1" 374 156 199 12 0 0 0 0 0 0 0
Athens "NELSONVILLE 2" 271 123 134 10 0 0 0 0 0 0 0
Athens "NELSONVILLE 3" 410 199 192 5 5 0 0 0 0 0 0
Athens "NELSONVILLE 4" 403 206 176 6 8 0 0 0 0 0 0
Athens "ALEXANDER EAST" 1017 404 589 14 4 0 0 0 0 0 0
Athens "ALEXANDER WEST" 580 291 272 4 5 0 0 0 0 0 0
Athens "AMES TOWNSHIP" 600 342 239 10 3 0 0 0 0 0 0
Athens "AMESVILLE VLG" 95 52 42 0 0 0 0 0 0 0 0
Athens "ATHENS BAKER" 1016 638 353 10 3 0 0 0 0 0 0
Athens "ATHENS EAST" 345 260 78 5 1 0 0 0 0 0 0
Athens "ATHENS SOUTH" 673 465 191 4 2 0 0 0 0 0 0
Athens "PLAINS 1" 646 382 249 3 1 0 0 0 0 0 0
Athens "PLAINS 2" 887 515 348 12 5 0 0 0 0 0 0
Athens "BERN TOWNSHIP" 269 145 113 4 3 0 0 0 0 0 0
Athens "CANAAN TOWNSHIP" 854 558 268 16 4 0 0 0 0 0 0
Athens "CARTHAGE TOWNSHIP" 751 180 557 8 1 0 0 0 0 0 0
Athens "CHAUNCEY VLG" 337 143 181 6 1 0 0 0 0 0 0
Athens "CIRCLE HILL" 494 291 189 8 0 0 0 0 0 0 0
Athens MILLFIELD 466 207 240 3 8 0 0 0 0 0 0
Athens "SUGAR CREEK" 266 171 90 1 2 0 0 0 0 0 0
Athens "ALBANY VILLAGE" 473 201 265 2 1 0 0 0 0 0 0
Athens "LEE TOWNSHIP" 1140 437 670 14 3 0 0 0 0 0 0
