DIST COUNTY AREA TOTAL DEM REP LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Lib Other
7 Jefferson 14 0 52 20 0 0
7 Jefferson 15 0 33 126 0 0
7 Jefferson 16 0 34 41 0 0
7 Jefferson 2 0 18 46 0 0
7 Jefferson 3 0 70 47 0 0
7 Jefferson 4 0 49 144 0 0
7 Jefferson 5 0 172 50 0 0
7 Jefferson 6 0 82 68 0 0
7 Jefferson 7 0 91 95 0 0
7 Jefferson 8 0 82 102 0 0
7 Jefferson 9 0 30 94 0 0
7 Jefferson Absentee 0 1438 977 0 0
7 Jefferson "Early Voting" 0 1122 2130 0 0
7 Jefferson Provisional 0 3 3 0 0
7 Lafayette "4th District Community Center" 0 89 825 0 0
7 Lafayette "Airline Community Center" 0 86 791 0 0
7 Lafayette "Day Community Center" 0 65 668 0 0
7 Lafayette "Lafayette Public Library" 0 67 507 0 0
7 Lafayette "Mayo Community Center" 0 150 303 0 0
7 Leon 2251 0 223 176 0 16
7 Leon 2253 0 206 323 0 33
7 Leon 2358 0 161 110 0 13
7 Leon 2365 0 793 1939 0 174
7 Leon 2366 0 106 179 0 10
7 Liberty Annex 0 87 107 0 0
7 Liberty Bristol 0 113 671 0 0
7 Liberty Hosford 0 63 408 0 0
7 Liberty "Lake Mystic" 0 61 712 0 0
7 Liberty Orange 0 39 161 0 0
7 Liberty "Rock Bluff" 0 173 85 0 0
7 Liberty Sumatra 0 10 113 0 0
7 Liberty Telogia 0 62 423 0 0
7 Wakulla "01 Wakulla Station" 0 623 1602 0 0
7 Wakulla "02 Crawfordville" 0 1245 3475 0 0
7 Wakulla "03 Sopchoppy" 0 300 779 0 0
7 Wakulla "04 Smith Creek" 0 14 163 0 0
7 Wakulla "05 St. Marks" 0 77 248 0 0
7 Wakulla "06 Medart" 0 226 1035 0 0
7 Wakulla "07 Ivan" 0 728 2224 0 0
7 Wakulla "08 Shell Point" 0 199 562 0 0
7 Wakulla "09 Panacea" 0 81 361 0 0
7 Wakulla "10 Ochlockonee Bay" 0 78 316 0 0
7 Wakulla "11 Bethel" 0 466 976 0 0
7 Wakulla "12 Shadeville" 0 573 1348 0 0
9 Leon 1230 0 342 107 0 16
9 Leon 1257 0 203 341 0 45
9 Leon 1258 0 0 0 0 0
9 Leon 1259 0 27 49 0 9
9 Leon 1302 0 601 363 0 103
9 Leon 1502 0 478 133 0 36
9 Leon 1507 0 985 626 0 224
9 Leon 2252 0 558 586 0 66
9 Leon 2503 0 145 50 0 25
9 Leon 2506 0 1218 467 0 164
9 Leon 3101 0 949 513 0 50
9 Leon 3103 0 868 504 0 51
9 Leon 3104 0 360 174 0 29
9 Leon 3107 0 649 331 0 39
9 Leon 3109 0 482 215 0 24
9 Leon 3110 0 942 451 0 59
9 Leon 3401 0 862 361 0 44
9 Leon 3403 0 568 332 0 49
9 Leon 3405 0 348 292 0 32
9 Leon 3412 0 292 112 0 15
9 Leon 3413 0 0 0 0 0
9 Leon 3414 0 26 26 0 0
9 Leon 3451 0 42 22 0 1
9 Leon 3453 0 789 547 0 62
9 Leon 3455 0 933 613 0 81
9 Leon 3457 0 346 289 0 39
9 Leon 3459 0 651 554 0 62
9 Leon 3461 0 827 724 0 60
9 Leon 3467 0 1313 959 0 93
9 Leon 3473 0 784 591 0 72
9 Leon 3475 0 148 56 0 7
9 Leon 3477 0 310 224 0 21
9 Leon 3551 0 0 0 0 0
9 Leon 4101 0 737 436 0 57
9 Leon 4103 0 1411 1081 0 141
9 Leon 4105 0 112 16 0 6
9 Leon 4106 0 0 0 0 0
9 Leon 4107 0 232 143 0 21
9 Leon 4109 0 112 95 0 7
9 Leon 4119 0 2092 1750 0 155
