COUNTY AREA TOTAL DEM REP Others
COUNTY AREA TOTAL Bellows Collins Others
SOM "BRIGHTON PLT" 0 14 23 0
SOM CAMBRIDGE 0 34 178 0
SOM CANAAN 0 290 623 0
SOM CARATUNK 0 3 43 0
SOM "CONCORD TWP" 0 0 0 0
SOM CORNVILLE 0 166 466 0
SOM "DENNISTOWN PLT" 0 2 22 0
SOM DETROIT 0 94 216 0
SOM EMBDEN 0 122 318 0
SOM FAIRFIELD 0 858 1894 0
SOM HARMONY 0 113 299 3
SOM HARTLAND 0 172 577 3
SOM "HIGHLAND PLT" 0 28 84 0
SOM JACKMAN 0 66 400 0
SOM "LEXINGTON TWP/SPRING LAKE TWP" 0 0 6 0
SOM MADISON 0 596 1300 1
SOM MERCER 0 118 238 1
SOM "MOOSE RIVER" 0 8 93 0
SOM MOSCOW 0 54 163 0
SOM "NEW PORTLAND" 0 101 267 0
SOM NORRIDGEWOCK 0 378 1052 0
SOM PALMYRA 0 191 663 0
SOM PITTSFIELD 0 399 1146 0
SOM "PLEASANT RIDGE PLT" 0 5 39 0
SOM RIPLEY 0 50 162 0
SOM "ROCKWOOD STRIP TWP" 0 42 160 0
SOM "SAINT ALBANS" 2 192 726 2
SOM SKOWHEGAN 0 1044 2365 0
SOM SMITHFIELD 0 142 368 0
SOM SOLON 0 169 350 0
SOM STARKS 0 109 182 0
SOM "THE FORKS PLT" 0 8 37 0
SOM "WEST FORKS PLT" 0 13 29 0
WAL BELFAST 0 1436 1671 0
WAL BELMONT 0 122 303 0
WAL BROOKS 0 143 312 0
WAL BURNHAM 0 139 382 0
WAL FRANKFORT 0 153 411 0
WAL FREEDOM 0 133 241 0
WAL ISLESBORO 0 164 177 1
WAL JACKSON 0 71 184 2
WAL KNOX 0 89 255 0
WAL LIBERTY 0 165 295 0
WAL LINCOLNVILLE 0 502 700 0
WAL MONROE 0 188 267 0
WAL MONTVILLE 0 205 276 0
WAL MORRILL 0 117 311 0
WAL NORTHPORT 0 315 537 0
WAL PALERMO 0 182 545 0
WAL PROSPECT 0 101 225 0
WAL SEARSMONT 0 216 419 0
WAL SEARSPORT 0 399 784 0
WAL "STOCKTON SPRINGS" 0 291 541 0
WAL SWANVILLE 3 199 389 3
WAL THORNDIKE 0 106 238 0
WAL TROY 0 131 320 0
WAL UNITY 0 238 538 0
WAL WALDO 0 106 272 0
WAL WINTERPORT 0 468 1223 1
WAS ADDISON 0 130 406 0
WAS ALEXANDER 0 74 179 0
WAS BAILEYVILLE 0 149 391 0
WAS "BARING PLT" 0 32 70 0
WAS BEALS 0 54 167 0
WAS BEDDINGTON 0 12 27 0
WAS "BERRY/CATHANCE/MARION TWPS" 0 6 19 0
WAS CALAIS 1 302 892 1
WAS "CENTERVILLE TWP" 0 1 17 0
WAS CHARLOTTE 0 36 119 0
WAS CHERRYFIELD 0 156 385 0
WAS COLUMBIA 0 41 131 0
WAS "COLUMBIA FALLS" 0 47 196 0
WAS COOPER 0 26 71 0
WAS CRAWFORD 0 8 53 0
WAS CUTLER 0 53 197 0
WAS DANFORTH 0 62 236 0
WAS DEBLOIS 0 6 21 0
WAS DENNYSVILLE 0 90 214 0
WAS "EAST MACHIAS" 1 159 449 1
WAS EASTPORT 0 314 422 0
WAS "GRAND LAKE STREAM PLT" 0 23 71 0
WAS HARRINGTON 0 105 300 0
WAS "INDIAN TOWNSHIP" 0 84 92 0
WAS JONESBORO 0 88 188 0
WAS JONESPORT 3 144 384 3
WAS LUBEC 0 255 462 0
WAS MACHIAS 0 216 500 0
WAS MACHIASPORT 0 114 315 1
