COUNTY AREA TOTAL DEM REP CON WRI
COUNTY AREA TOTAL Harrison Graham Bledsoe Writein
Charleston "Charleston 7" 804 496 301 7 0
Charleston "Charleston 8" 756 661 89 5 1
Charleston "Charleston 9" 554 424 129 0 1
Charleston "Charleston 10" 294 241 52 1 0
Charleston "Charleston 11" 875 605 262 8 0
Charleston "Charleston 12" 1115 864 243 7 1
Charleston "Charleston 13" 835 727 102 5 1
Charleston "Charleston 14" 664 523 139 1 1
Charleston "Charleston 15" 756 656 93 7 0
Charleston "Charleston 16" 830 707 120 2 1
Charleston "Charleston 17" 872 718 152 2 0
Charleston "Charleston 18" 984 852 126 6 0
Charleston "Charleston 19" 584 497 86 1 0
Charleston "Charleston 20" 1030 826 200 4 0
Charleston "Charleston 21" 530 481 46 1 2
Charleston "Mt. Pleasant 1" 1311 611 695 4 1
Charleston "Mt. Pleasant 2" 896 420 464 12 0
Charleston "Mt. Pleasant 3" 1376 745 624 6 1
Charleston "Mt. Pleasant 4" 1283 617 657 9 0
Charleston "Mt. Pleasant 5" 1116 453 654 7 2
Charleston "Mt. Pleasant 6" 1625 750 859 16 0
Charleston "Mt. Pleasant 7" 838 385 443 10 0
Charleston "Mt. Pleasant 8" 762 354 400 6 2
Charleston "Mt. Pleasant 9" 916 401 507 6 2
Charleston "Mt. Pleasant 10" 965 373 585 7 0
Charleston "Mt. Pleasant 11" 1032 435 585 11 1
Charleston "Mt. Pleasant 12" 2012 984 1002 25 1
Charleston "Mt. Pleasant 13" 794 400 385 9 0
Charleston "Mt. Pleasant 14" 993 483 501 8 1
Charleston "Mt. Pleasant 15" 2096 1029 1055 11 1
Charleston "Mt. Pleasant 16" 680 237 441 2 0
Charleston "Mt. Pleasant 17" 2348 969 1356 21 2
Charleston "Mt. Pleasant 18" 1044 403 631 8 2
Charleston "Mt. Pleasant 19" 1662 810 836 16 0
Charleston "Mt. Pleasant 20" 1240 595 629 14 2
Charleston "Mt. Pleasant 21" 1359 591 755 11 2
Charleston "Mt. Pleasant 22" 1512 720 770 21 1
Charleston "Mt. Pleasant 23" 1545 817 697 30 1
Charleston "Mt. Pleasant 24" 675 316 348 10 1
Charleston "Mt. Pleasant 25" 931 360 562 9 0
Charleston "Mt. Pleasant 26" 491 470 21 0 0
Charleston "Mt. Pleasant 27" 2450 996 1428 24 2
Charleston "Mt. Pleasant 28" 1035 440 589 6 0
Charleston "Mt. Pleasant 29" 291 112 177 2 0
Charleston "Mt. Pleasant 30" 1763 716 1038 8 1
Charleston "Mt. Pleasant 31" 1285 618 656 11 0
Charleston "Mt. Pleasant 32" 2396 809 1558 27 2
Charleston "Mt. Pleasant 33" 3792 1340 2432 19 1
Charleston "Mt. Pleasant 34" 1497 619 866 11 1
Charleston "Mt. Pleasant 35" 4359 1676 2631 45 7
Charleston "Mt. Pleasant 36" 1381 708 647 21 5
Charleston "Mt. Pleasant 37" 2968 1508 1437 20 3
Charleston "Mt. Pleasant 38" 1551 597 946 8 0
Charleston "Mt. Pleasant 39" 3448 1268 2148 31 1
Charleston "James Island 1A" 1702 994 697 11 0
Charleston "James Island 1B" 833 685 140 7 1
Charleston "James Island 3" 701 613 78 7 3
Charleston "James Island 5A" 1204 542 651 10 1
Charleston "James Island 5B" 678 248 416 13 1
Charleston "James Island 6" 1345 769 562 13 1
Charleston "James Island 7" 1674 899 762 13 0
Charleston "James Island 8A" 1254 757 481 16 0
Charleston "James Island 8B" 1500 872 599 25 4
Charleston "James Island 9" 1212 651 543 16 2
Charleston "James Island 10" 1229 658 556 14 1
Charleston "James Island 11" 1530 738 770 22 0
Charleston "James Island 12" 1128 509 615 4 0
Charleston "James Island 13" 1388 625 757 4 2
Charleston "James Island 14" 727 322 395 10 0
Charleston "James Island 15" 1284 734 531 17 2
Charleston "James Island 17" 1379 737 624 17 1
Charleston "James Island 19" 1235 722 495 16 2
